Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
reTOUCH:TD(Case1),10,1000,1000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,NL,2,100,100,290675,29.0675,290845,0,2,0.0002,12,2,0.001,0,0.001,0.291,0.29,0.003,0.296,0,0,0.003,0,0,23.8095,422,47.2857,103.346,1,1,1,0.291,5,0,141,9,165,420,253,0,0,0,0,0,139,30,170,422,237,0,0,0,0,0,10.5216,10.4582,10.4967,10.4969,10.4976,0,0,0,0,0,10.5035,10.4793,10.499,10.49,10.5018,0,0,0,0,0,0.20003,0.173969,0.206804,0.20111,0.195847,0,0,0,0,0,0.208523,0.21071,0.19994,0.203966,0.195689,0,0,0,0,0,
reTOUCH:TD(Case1),10,1000,1000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,NL,2,100,100,290675,29.0675,290845,0,2,0.0002,12,2,0.001,0,0.001,0.295,0.295,0.004,0.302,0,0,0.004,0,0,23.8095,422,47.2857,103.346,1,1,1,0.295,5,0,141,9,165,420,253,0,0,0,0,0,139,30,170,422,237,0,0,0,0,0,10.5216,10.4582,10.4967,10.4969,10.4976,0,0,0,0,0,10.5035,10.4793,10.499,10.49,10.5018,0,0,0,0,0,0.20003,0.173969,0.206804,0.20111,0.195847,0,0,0,0,0,0.208523,0.21071,0.19994,0.203966,0.195689,0,0,0,0,0,
dTOUCH:TD(Case1),10,1000,1000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,NL,2,100,100,367936,36.7936,367936,0,2,0.0002,1,2,0.001,0,0.296,0.352,0.351,0.005,0.383,0,0.023,0.005,0,0,25,738,59.8214,136.649,1,1,1,0.352,5,4,1000,0,0,0,0,0,0,0,0,0,132,63,66,738,0,0,0,0,0,0,10.501,0,0,0,0,0,0,0,0,0,10.512,10.4779,10.4988,10.4813,10.4984,0,0,0,0,0,0.200635,0,0,0,0,0,0,0,0,0,-nan,0.221932,0.20191,0.202216,0.137664,0,0,0,0,0,
TOUCH:TD(Case1),10,2000,2000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,295,0.007375,2805800,69,17,0.000425,0,0,0.029,0,0,0.007,0.004,0.004,0.132,0,0,0.004,0.003,0,42.6829,805,48.7805,119.309,26,26,1,0.01,6,0,2000,0,0,0,0,0,0,0,0,0,4,7,0,710,805,474,0,0,0,0,10.498,0,0,0,0,0,0,0,0,0,10.505,10.539,0,10.4944,10.4994,10.4994,0,0,0,0,0.201419,0,0,0,0,0,0,0,0,0,0.238237,0.201313,0,0.205267,0.202395,0.197781,0,0,0,0,
TOUCH:TD(Case1),10,4000,4000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,1203,0.00751875,11315200,249,75,0.00046875,0,0,0.005,0,0,0.017,0.011,0.01,0.032,0,0,0.009,0.006,0,47.5309,1611,49.3827,169.868,45,45,1,0.023,7,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,1415,1611,974,0,0,0,10.4969,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4976,10.4974,10.4944,0,0,0,0.20354,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205646,0.203355,0.203465,0,0,0,
TOUCH:TD(Case1),10,8000,8000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,4679,0.00731094,44396000,1116,336,0.000525,0,0,0.006,0,0.001,0.038,0.022,0.019,0.066,0,0,0.018,0.016,0.001,46.8944,3218,49.6894,237.924,89,89,1,0.054,8,0,8000,0,0,0,0,0,0,0,0,0,76,30,44,162,0,2525,3218,1945,0,0,10.4996,0,0,0,0,0,0,0,0,0,10.5,10.4797,10.4508,10.5037,0,10.4988,10.4957,10.5,0,0,0.204097,0,0,0,0,0,0,0,0,0,0.210402,0.214895,0.207686,0.202084,0,0.204606,0.204008,0.201966,0,0,
TOUCH:TD(Case1),10,8000,8000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,4679,0.00731094,44396000,1116,336,0.000525,0,0,0.008,0,0,0.033,0.02,0.017,0.06,0,0,0.016,0.012,0.001,46.8944,3218,49.6894,237.924,89,89,1,0.045,8,0,8000,0,0,0,0,0,0,0,0,0,76,30,44,162,0,2525,3218,1945,0,0,10.4996,0,0,0,0,0,0,0,0,0,10.5,10.4797,10.4508,10.5037,0,10.4988,10.4957,10.5,0,0,0.204097,0,0,0,0,0,0,0,0,0,0.210402,0.214895,0.207686,0.202084,0,0.204606,0.204008,0.201966,0,0,
TOUCH:TD(Case1),10,8000,8000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,4679,0.00731094,44396000,1116,336,0.000525,0,0,0.006,0,0,0.039,0.023,0.019,0.065,0,0,0.018,0.016,0.001,46.8944,3218,49.6894,237.924,89,89,1,0.055,8,0,8000,0,0,0,0,0,0,0,0,0,76,30,44,162,0,2525,3218,1945,0,0,10.4996,0,0,0,0,0,0,0,0,0,10.5,10.4797,10.4508,10.5037,0,10.4988,10.4957,10.5,0,0,0.204097,0,0,0,0,0,0,0,0,0,0.210402,0.214895,0.207686,0.202084,0,0.204606,0.204008,0.201966,0,0,
TOUCH:TD(Case1),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18565,0.00725195,202901600,4377,1334,0.000521094,0,0,0.041,0,0.001,0.08,0.047,0.034,0.158,0.002,0,0.033,0.031,0.001,49.0654,10224,49.8442,435.856,167,167,1,0.111,9,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,157,453,0,1195,10224,3971,0,10.4997,0,0,0,0,0,0,0,0,0,0,0,0,10.4822,10.4956,0,10.5001,10.4983,10.4989,0,0.20411,0,0,0,0,0,0,0,0,0,0,0,0,0.204626,0.195728,0,0.205199,0.203995,0.203941,0,
dTOUCH:TD(Case1),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18385,0.00718164,7742359,4257,1334,0.000521094,0,0,0.013,0,0.003,0.074,0.055,0.064,0.204,0,0,0.061,0.046,0.003,25.2595,9942,52.4031,426.781,304,304,1,0.12,9,9,16000,0,0,0,0,0,0,0,0,0,177,166,193,272,1174,772,1239,9942,2065,0,10.4997,0,0,0,0,0,0,0,0,0,10.4982,0,0,10.4763,10.5019,0,10.5035,10.5014,10.4921,0,0.20411,0,0,0,0,0,0,0,0,0,0.20374,0,0,0.204615,0.195119,0,0.211471,0.20458,0.206609,0,
cTOUCH:TD(Case1),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18450,0.00720703,50731087,4256,1334,0.000521094,0,0,0.015,0,0.017,0.065,0.054,0.079,0.236,0,0,0.075,0.055,0.004,44.3838,6086,24.961,295.752,1283,1283,1,0.12,10,0,689,406,285,288,439,68,2356,1836,6086,3547,655,368,232,293,438,246,2253,1700,6032,3783,10.5121,10.4896,10.4975,10.495,10.4953,10.514,10.5013,10.4928,10.5016,10.4987,10.4931,10.5016,10.4876,10.4808,10.5027,10.4982,10.4992,10.4981,10.4991,10.4987,0.206047,0.202064,0.208232,0.205203,0.203292,0.195755,0.20348,0.206751,0.203966,0.202878,0.205003,0.2042,0.202909,0.199092,0.208127,0.201374,0.2025,0.204754,0.203923,0.203903,
reTOUCH:TD(Case1),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18519,0.00723398,169511934,4294,1334,0.000521094,0,0,0.013,0.001,0.004,0.051,0.037,0.036,0.174,0,0,0.034,0.068,0.001,49.0654,10360,49.8442,616.629,1285,1285,1,0.119,9,0,0,0,0,169,487,0,1126,10360,3858,0,0,0,0,157,453,0,1195,10224,3971,0,0,0,0,10.4854,10.5061,0,10.5038,10.4997,10.4983,0,0,0,0,10.4822,10.4956,0,10.5001,10.4983,10.4989,0,0,0,0,0.20305,0.201664,0,0.2034,0.204716,0.202984,0,0,0,0,0.204626,0.195728,0,0.205199,0.203995,0.203941,0,
rereTOUCH:TD(Case1),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18578,0.00725703,0,4335,1334,0.000521094,0,0,0.012,0,0.007,0.048,0.041,0.041,0.174,0,0,0.039,0.063,0.001,49.2212,12460,49.8442,662.62,1285,1285,1,0.111,9,0,0,0,0,169,487,0,1126,10360,3858,0,0,0,0,176,489,0,1246,12460,1629,0,0,0,0,10.4854,10.5061,0,10.5038,10.4997,10.4983,0,0,0,0,10.4802,10.4964,0,10.5005,10.4979,10.5023,0,0,0,0,0.20305,0.201664,0,0.2034,0.204716,0.202984,0,0,0,0,0.204464,0.197227,0,0.20498,0.203953,0.204003,0,
SGrid:TD(Case1),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,NL,0,0,1000000,18579,0.00725742,0,4364,1334,0.000521094,0,0,0.015,0,0.038,0.034,0,0,0.087,0,0,0,0,0,0,0,0,0,1,1,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SGrid:TD(Case1),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,NL,0,0,1000000,18579,0.00725742,0,4364,1334,0.000521094,0,0,0.013,0,0.036,0.034,0,0,0.085,0.001,0,0,0,0,0,0,0,0,1,1,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
rereTOUCH:TD(Case1),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18578,0.00725703,0,4335,1334,0.000521094,0,0,0.013,0,0.007,0.046,0.039,0.034,0.167,0,0,0.033,0.065,0.001,49.2212,12460,49.8442,662.62,1285,1285,1,0.111,9,0,24308,12568,0,0,0,169,487,0,1126,10360,3858,0,0,0,0,176,489,0,1246,12460,1629,0,0,0,0,10.4854,10.5061,0,10.5038,10.4997,10.4983,0,0,0,0,10.4802,10.4964,0,10.5005,10.4979,10.5023,0,0,0,0,0.20305,0.201664,0,0.2034,0.204716,0.202984,0,0,0,0,0.204464,0.197227,0,0.20498,0.203953,0.204003,0,
rereTOUCH:TD(Case1),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18578,0.00725703,0,4335,1334,0.000521094,0,0,0.009,0,0.006,0.048,0.04,0.034,0.167,0,0.001,0.032,0.067,0.001,49.2212,12460,49.8442,662.62,1285,1285,1,0.115,9,0,24308,12568,0,0,0,169,487,0,1126,10360,3858,0,0,0,0,176,489,0,1246,12460,1629,0,0,0,0,10.4854,10.5061,0,10.5038,10.4997,10.4983,0,0,0,0,10.4802,10.4964,0,10.5005,10.4979,10.5023,0,0,0,0,0.20305,0.201664,0,0.2034,0.204716,0.202984,0,0,0,0,0.204464,0.197227,0,0.20498,0.203953,0.204003,0,
rereTOUCH:TD(Case1),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18578,0.00725703,0,4335,1334,0.000521094,0,0,0.014,0,0.007,0.051,0.041,0.039,0.192,0,0,0.037,0.079,0.001,49.2212,12460,49.8442,662.62,1285,1285,1,0.13,9,0,24308,12568,0,0,0,169,487,0,1126,10360,3858,0,0,0,0,176,489,0,1246,12460,1629,0,0,0,0,10.4854,10.5061,0,10.5038,10.4997,10.4983,0,0,0,0,10.4802,10.4964,0,10.5005,10.4979,10.5023,0,0,0,0,0.20305,0.201664,0,0.2034,0.204716,0.202984,0,0,0,0,0.204464,0.197227,0,0.20498,0.203953,0.204003,0,
rereTOUCH:TD(Case1),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18578,0.00725703,0,4335,1334,0.000521094,0,0,0.012,0,0.007,0.05,0.04,0.038,0.176,0,0,0.036,0.066,0.002,49.2212,12460,49.8442,662.62,1285,1285,1,0.116,9,0,24312,12660,0,0,0,169,487,0,1126,10360,3858,0,0,0,0,176,489,0,1246,12460,1629,0,0,0,0,10.4854,10.5061,0,10.5038,10.4997,10.4983,0,0,0,0,10.4802,10.4964,0,10.5005,10.4979,10.5023,0,0,0,0,0.20305,0.201664,0,0.2034,0.204716,0.202984,0,0,0,0,0.204464,0.197227,0,0.20498,0.203953,0.204003,0,
cTOUCH:TD(Case1),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18450,0.00720703,50731087,4256,1334,0.000521094,0,0,0.011,0,0.018,0.068,0.052,0.08,0.241,0.001,0,0.074,0.058,0.005,44.3838,6086,24.961,295.752,1283,1283,1,0.126,10,0,33340,21776,689,406,285,288,439,68,2356,1836,6086,3547,655,368,232,293,438,246,2253,1700,6032,3783,10.5121,10.4896,10.4975,10.495,10.4953,10.514,10.5013,10.4928,10.5016,10.4987,10.4931,10.5016,10.4876,10.4808,10.5027,10.4982,10.4992,10.4981,10.4991,10.4987,0.206047,0.202064,0.208232,0.205203,0.203292,0.195755,0.20348,0.206751,0.203966,0.202878,0.205003,0.2042,0.202909,0.199092,0.208127,0.201374,0.2025,0.204754,0.203923,0.203903,
cTOUCH:TD(Case1),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18450,0.00720703,50731087,4256,1334,0.000521094,0,0,0.013,0,0.018,0.064,0.051,0.08,0.238,0,0.001,0.075,0.055,0.005,44.3838,6086,24.961,295.752,1283,1283,1,0.119,10,0,33340,21772,689,406,285,288,439,68,2356,1836,6086,3547,655,368,232,293,438,246,2253,1700,6032,3783,10.5121,10.4896,10.4975,10.495,10.4953,10.514,10.5013,10.4928,10.5016,10.4987,10.4931,10.5016,10.4876,10.4808,10.5027,10.4982,10.4992,10.4981,10.4991,10.4987,0.206047,0.202064,0.208232,0.205203,0.203292,0.195755,0.20348,0.206751,0.203966,0.202878,0.205003,0.2042,0.202909,0.199092,0.208127,0.201374,0.2025,0.204754,0.203923,0.203903,
cTOUCH:BU(Case4),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18450,0.00720703,244842989,4256,1334,0.000521094,0,0,0.012,0,0.017,0.189,0,0.084,0.309,0,0,0.079,0.052,0.006,44.3838,6086,24.961,295.752,1283,1283,1,0.241,10,0,33340,21772,689,406,285,288,439,68,2356,1836,6086,3547,655,368,232,293,438,246,2253,1700,6032,3783,10.5121,10.4896,10.4975,10.495,10.4953,10.514,10.5013,10.4928,10.5016,10.4987,10.4931,10.5016,10.4876,10.4808,10.5027,10.4982,10.4992,10.4981,10.4991,10.4987,0.206047,0.202064,0.208232,0.205203,0.203292,0.195755,0.20348,0.206751,0.203966,0.202878,0.205003,0.2042,0.202909,0.199092,0.208127,0.201374,0.2025,0.204754,0.203923,0.203903,
cTOUCH:TD(Case1),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18450,0.00720703,50731087,4256,1334,0.000521094,0,0,0.007,0,0.018,0.065,0.049,0.086,0.241,0,0,0.081,0.057,0.006,44.3838,6086,24.961,295.752,1283,1283,1,0.122,10,0,33340,21772,689,406,285,288,439,68,2356,1836,6086,3547,655,368,232,293,438,246,2253,1700,6032,3783,10.5121,10.4896,10.4975,10.495,10.4953,10.514,10.5013,10.4928,10.5016,10.4987,10.4931,10.5016,10.4876,10.4808,10.5027,10.4982,10.4992,10.4981,10.4991,10.4987,0.206047,0.202064,0.208232,0.205203,0.203292,0.195755,0.20348,0.206751,0.203966,0.202878,0.205003,0.2042,0.202909,0.199092,0.208127,0.201374,0.2025,0.204754,0.203923,0.203903,
cTOUCH:BU(Case4),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18450,0.00720703,244842989,4256,1334,0.000521094,0,0,0.011,0,0.018,0.192,0,0.077,0.306,0.002,0.001,0.071,0.055,0.005,44.3838,6086,24.961,295.752,1283,1283,1,0.247,10,0,33340,21776,689,406,285,288,439,68,2356,1836,6086,3547,655,368,232,293,438,246,2253,1700,6032,3783,10.5121,10.4896,10.4975,10.495,10.4953,10.514,10.5013,10.4928,10.5016,10.4987,10.4931,10.5016,10.4876,10.4808,10.5027,10.4982,10.4992,10.4981,10.4991,10.4987,0.206047,0.202064,0.208232,0.205203,0.203292,0.195755,0.20348,0.206751,0.203966,0.202878,0.205003,0.2042,0.202909,0.199092,0.208127,0.201374,0.2025,0.204754,0.203923,0.203903,
cTOUCH:BU(Case4),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18450,0.00720703,244842989,4256,1334,0.000521094,0,0,0.008,0,0.02,0.184,0,0.089,0.308,0.001,0,0.083,0.058,0.006,44.3838,6086,24.961,295.752,1283,1283,1,0.242,10,0,33340,21776,689,406,285,288,439,68,2356,1836,6086,3547,655,368,232,293,438,246,2253,1700,6032,3783,10.5121,10.4896,10.4975,10.495,10.4953,10.514,10.5013,10.4928,10.5016,10.4987,10.4931,10.5016,10.4876,10.4808,10.5027,10.4982,10.4992,10.4981,10.4991,10.4987,0.206047,0.202064,0.208232,0.205203,0.203292,0.195755,0.20348,0.206751,0.203966,0.202878,0.205003,0.2042,0.202909,0.199092,0.208127,0.201374,0.2025,0.204754,0.203923,0.203903,
cTOUCH:BU(Case4),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18450,0.00720703,244842989,4256,1334,0.000521094,0,0,0.013,0,0.023,0.18,0,0.079,0.302,0,0.001,0.074,0.064,0.005,44.3838,6086,24.961,295.752,1283,1283,1,0.244,10,0,33340,21772,689,406,285,288,439,68,2356,1836,6086,3547,655,368,232,293,438,246,2253,1700,6032,3783,10.5121,10.4896,10.4975,10.495,10.4953,10.514,10.5013,10.4928,10.5016,10.4987,10.4931,10.5016,10.4876,10.4808,10.5027,10.4982,10.4992,10.4981,10.4991,10.4987,0.206047,0.202064,0.208232,0.205203,0.203292,0.195755,0.20348,0.206751,0.203966,0.202878,0.205003,0.2042,0.202909,0.199092,0.208127,0.201374,0.2025,0.204754,0.203923,0.203903,
cTOUCH:TD(Case1),10,16000,16000,../data/RandomData-100K.bin,../data/RandomData-1600K.bin,SGrid,2,100,100,18450,0.00720703,50731087,4256,1334,0.000521094,0,0,0.012,0,0.018,0.066,0.057,0.081,0.241,0.001,0.001,0.076,0.056,0.005,44.3838,6086,24.961,295.752,1283,1283,1,0.122,10,0,33340,21772,689,406,285,288,439,68,2356,1836,6086,3547,655,368,232,293,438,246,2253,1700,6032,3783,10.5121,10.4896,10.4975,10.495,10.4953,10.514,10.5013,10.4928,10.5016,10.4987,10.4931,10.5016,10.4876,10.4808,10.5027,10.4982,10.4992,10.4981,10.4991,10.4987,0.206047,0.202064,0.208232,0.205203,0.203292,0.195755,0.20348,0.206751,0.203966,0.202878,0.205003,0.2042,0.202909,0.199092,0.208127,0.201374,0.2025,0.204754,0.203923,0.203903,
