Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.123942,4.90123,0.000572603,0.63905
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.123942,4.90123,0.000572603,0.63905
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.123942,4.90123,0.000572603,0.63905
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.123942,4.90123,0.000572603,0.63905
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.123942,4.90123,0.000572603,0.63905
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.123942,4.90123,0.000572603,0.63905
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.123942,4.90123,0.000572603,0.63905
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.123942,4.90123,0.000572603,0.63905
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.123942,4.90123,0.000572603,0.63905
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.123942,4.90123,0.000572603,0.63905
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.123942,4.90123,0.000572603,0.63905
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.123942,4.90123,0.000572603,0.63905
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.123942,4.90123,0.000572603,0.63905
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.123942,4.90123,0.000572603,0.63905
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.031607,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.031607,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.031607,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.031607,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.031607,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.00994987,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.00994987,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.00994987,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.00994987,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.031607,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.031607,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.031607,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.031607,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.031607,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,17949.7,967180,806.146,99605.6
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,17949.7,967180,806.146,99605.6
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,19182.3,3.23191e+06,806.146,99605.6
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,16464.2,282643,806.146,99605.6
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,17949.7,967180,806.146,99605.6
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,17949.7,967180,806.146,99605.6
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,19182.3,3.23191e+06,806.146,99605.6
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,19180.5,3.23172e+06,799.619,99597.9
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.099995,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.099995,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.031607,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.099995,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.099995,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.099995,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.099995,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.099995,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.099995,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.099995,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.099995,0.001,0.001
Filename, Average, Standard deviation, Minimum, Maximum
./sample1.bin,0.001,0.099995,0.001,0.001
