Filename, Average, Standard deviation, Minimum, Maximum
../data/samplesAxExpDifLen/80000/sample1.bin,23.794,19571.7,0,1459.35
../data/samplesAxExpDifLen/80000/sample2.bin,23.5885,19319.1,0,1459.33
../data/samplesAxExpDifLen/80000/sample3.bin,23.4738,19151,0,1459.29
../data/samplesAxExpDifLen/80000/sample4.bin,23.5544,19283.3,0,1459.17
../data/samplesAxExpDifLen/80000/sample5.bin,23.6702,19558.6,0,1459.32
../data/samplesAxExpDifLen/80000/sample6.bin,23.6537,19359.1,0,1459.14
../data/samplesAxExpDifLen/80000/sample7.bin,37.3749,21373.3,0,1457.54
../data/samplesAxExpDifLen/80000/sample8.bin,32.9682,18708.2,0,1028.75
../data/samplesAxExpDifLen/80000/sample9.bin,42.5076,22205.2,0,1051.86
../data/samplesAxExpDifLen/80000/sample10.bin,33.5339,19087.6,0,1172.31
