Filename, Average, Standard deviation, Minimum, Maximum
../data/samplesAxExpDifLenSmall/30000/sample1.bin,23.7565,11989,0,1459.35
../data/samplesAxExpDifLenSmall/30000/sample2.bin,23.5345,11683.6,0,1458.91
../data/samplesAxExpDifLenSmall/30000/sample3.bin,23.6544,11938.3,0,1458.97
../data/samplesAxExpDifLenSmall/30000/sample4.bin,23.6576,11821.4,0,1459.33
../data/samplesAxExpDifLenSmall/30000/sample5.bin,23.7537,12074.2,0,1458.93
../data/samplesAxExpDifLenSmall/30000/sample6.bin,24.0203,12023,0,1459.19
../data/samplesAxExpDifLenSmall/30000/sample7.bin,23.1717,11457,0,1459.29
../data/samplesAxExpDifLenSmall/30000/sample8.bin,23.3989,11786.3,0,1458.14
../data/samplesAxExpDifLenSmall/30000/sample9.bin,24.2857,12469.7,0,1459.17
../data/samplesAxExpDifLenSmall/30000/sample10.bin,23.2212,11482.7,0,1455.24
