Filename, Average, Standard deviation, Minimum, Maximum
./samplesAxons/6000/sample1.bin,24.3829,5405.03,0,1455.62
./samplesAxons/6000/sample2.bin,24.0076,5528.95,0,1456.83
./samplesAxons/6000/sample3.bin,24.1608,5560.98,0,1459.35
./samplesAxons/6000/sample4.bin,24.9233,5605.95,0,1459.34
./samplesAxons/6000/sample5.bin,21.3342,4650.32,0,1287.36
./samplesAxons/6000/sample6.bin,24.3829,5712.33,0,1458.91
./samplesAxons/6000/sample7.bin,23.8229,4935.88,0,1235.15
./samplesAxons/6000/sample8.bin,22.2474,4673.16,0,1406.2
./samplesAxons/6000/sample9.bin,23.4584,5491.8,0,1449.89
./samplesAxons/6000/sample10.bin,23.7771,5247.32,0,1458.59
