Filename, Average, Standard deviation, Minimum, Maximum
./samplesDendrites/6000/sample1.bin,3.00141,854.13,0,494.18
./samplesDendrites/6000/sample2.bin,2.62478,758.135,0,360.159
./samplesDendrites/6000/sample3.bin,2.967,739.91,0,286.094
./samplesDendrites/6000/sample4.bin,3.43203,1113.07,0,455.785
./samplesDendrites/6000/sample5.bin,2.17649,585.996,0,372.121
./samplesDendrites/6000/sample6.bin,3.79441,953.281,0.00259851,349.229
./samplesDendrites/6000/sample7.bin,3.07268,1328.15,0,1086.5
./samplesDendrites/6000/sample8.bin,2.73357,719.599,0,302.199
./samplesDendrites/6000/sample9.bin,3.16256,824.472,0,352.239
./samplesDendrites/6000/sample10.bin,3.90146,1067.8,0.00259851,453.749
