Filename, Average, Standard deviation, Minimum, Maximum
../data/samplesExpNum//sample1.bin,216000,6.8271e+06,216000,216000
Filename, Average, Standard deviation, Minimum, Maximum
../data/samplesExpNum//sample1.bin,216000,6.8271e+06,216000,216000
Filename, Average, Standard deviation, Minimum, Maximum
../data/samplesExpNum//sample1.bin,216000,6.8271e+06,216000,216000
Filename, Average, Standard deviation, Minimum, Maximum
../data/samplesExpNum//sample1.bin,216000,6.8271e+06,216000,216000
Filename, Average, Standard deviation, Minimum, Maximum
../data/samplesExpNum//sample1.bin,216000,6.8271e+06,216000,216000
Filename, Average, Standard deviation, Minimum, Maximum
../data/samplesExpNum//sample1.bin,344970,1.1014e+07,230841,490666
Filename, Average, Standard deviation, Minimum, Maximum
../data/samplesExpNum//sample1.bin,341685,1.09192e+07,227853,496602
