Filename, Average, Standard deviation, Minimum, Maximum
./sampleExt/8000/sample1.bin,0.124564,14.0568,9.29342e-05,0.67912
./sampleExt/8000/sample2.bin,0.124225,14.0642,9.92053e-05,0.71731
./sampleExt/8000/sample3.bin,0.123986,13.931,0.000354001,0.718043
./sampleExt/8000/sample4.bin,0.123289,13.8485,0.000775315,0.699113
./sampleExt/8000/sample5.bin,0.124387,14.0761,5.86738e-05,0.725715
./sampleExt/8000/sample6.bin,0.124343,14.0565,3.80542e-05,0.692348
./sampleExt/8000/sample7.bin,0.125741,14.184,0.000154472,0.819185
./sampleExt/8000/sample8.bin,0.123564,13.9588,0.000324498,0.647932
./sampleExt/8000/sample9.bin,0.123931,13.964,0.000134537,0.727531
./sampleExt/8000/sample10.bin,0.122942,13.8404,0.000490639,0.733196
