Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
PS,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample1.bin,NL,0,0,0,45430,1.13575,0,0,2000,0.05,0,0,0.003,0,0,0,0,0,0.078,0,0,0.002,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SGrid,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample1.bin,NL,0,0,1000000,7404,0.1851,0,5334,2000,0.05,0,0,0.001,0,0.002,0.007,0,0,0.011,0.001,0,0,0,0,0,0,0,0,1,1,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample1.bin,SGrid,3,100,100,7404,0.1851,2566100,5334,2000,0.05,0,0,0.002,0,0.001,0.01,0.007,0.009,0.023,0,0,0.009,0.003,0,19.3548,1031,64.5161,137.937,29,29,1,0.013,4,0,2000,0,0,0,0,0,0,0,0,0,271,252,446,1031,0,0,0,0,0,0,166.745,0,0,0,0,0,0,0,0,0,166.981,166.609,166.495,166.825,0,0,0,0,0,0,10.6698,0,0,0,0,0,0,0,0,0,11.2956,11.127,10.2719,10.5521,0,0,0,0,0,0,
PBSM,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample1.bin,NL,0,0,1000000,15208,0.3802,0,12908,2000,0.05,0,0,0.002,0,0.011,0.051,0,0,0.065,0,0,0,0,0,0,0,0,0,1,1,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cTOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample1.bin,SGrid,3,100,100,4691,0.117275,64076,2592,2000,0.05,0,0,0.001,0,0.002,0.006,0.004,0.017,0.029,0,0,0.017,0.002,0,15.3226,516,32.2581,70.4471,125,125,1,0.008,5,0,589,245,210,631,325,0,0,0,0,0,661,316,253,495,275,0,0,0,0,0,167.01,166.993,165.605,166.95,166.417,0,0,0,0,0,166.897,167.15,166.83,166.592,166.113,0,0,0,0,0,11.3037,10.4839,10.747,10.3611,10.0943,0,0,0,0,0,11.0554,10.8936,10.3599,10.4204,10.1454,0,0,0,0,0,
dTOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample1.bin,SGrid,3,100,100,4382,0.10955,954320,2250,2000,0.05,49,0,0.001,0,0.022,0.009,0.006,0.006,0.034,0,0.014,0.006,0.002,0,18.1818,891,74.3409,145.647,69,69,1,0.011,4,4,2000,0,0,0,0,0,0,0,0,0,367,254,439,891,0,0,0,0,0,0,166.745,0,0,0,0,0,0,0,0,0,166.935,165.995,166.328,166.969,0,0,0,0,0,0,10.6698,0,0,0,0,0,0,0,0,0,8.26603,11.0723,10.9033,10.0278,0,0,0,0,0,0,
reTOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample1.bin,SGrid,3,100,100,5328,0.1332,1247239,3228,2000,0.05,0,0,0.001,0,0.002,0.009,0.006,0.004,0.024,0.001,0,0.003,0.007,0,19.3548,1031,64.5161,189.093,125,125,1,0.016,4,0,309,214,446,1031,0,0,0,0,0,0,271,252,446,1031,0,0,0,0,0,0,167.092,166.381,166.495,166.825,0,0,0,0,0,0,166.981,166.609,166.495,166.825,0,0,0,0,0,0,11.4223,10.898,10.2719,10.5521,0,0,0,0,0,0,11.2956,11.127,10.2719,10.5521,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample1.bin,SGrid,3,100,100,5339,0.133475,0,3245,2000,0.05,0,0,0,0,0.001,0.007,0.006,0.005,0.018,0,0,0.004,0.004,0,19.3548,1031,64.5161,188.113,125,125,1,0.011,4,0,309,214,446,1031,0,0,0,0,0,0,316,214,452,1018,0,0,0,0,0,0,167.092,166.381,166.495,166.825,0,0,0,0,0,0,167.262,165.992,166.494,166.855,0,0,0,0,0,0,11.4223,10.898,10.2719,10.5521,0,0,0,0,0,0,11.4187,10.8223,10.3158,10.5393,0,0,0,0,0,0,
PS,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample2.bin,NL,0,0,0,43965,1.09912,0,0,3,7.5e-05,0,0,0.012,0,0,0,0,0,0.08,0,0,0.002,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SGrid,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample2.bin,NL,0,0,1000000,57,0.001425,0,11,3,7.5e-05,0,0,0.002,0,0.004,0.002,0,0,0.009,0,0,0,0,0,0,0,0,0,1,1,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
