Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
SGrid,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample1.bin,NL,0,0,1000000,7577,0.189425,0,5521,2002,0.05005,0,0,0.002,0,0.001,0.006,0,0,0.028,0,0,0,0,0,0,0,0,0,1,1,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample1.bin,SGrid,3,100,100,7577,0.189425,2469800,5521,2002,0.05005,0,0,0.001,0,0,0.009,0.008,0.003,0.013,0,0,0.003,0.001,0,25.8065,964,64.5161,129.968,27,27,1,0.01,4,0,2000,0,0,0,0,0,0,0,0,0,267,295,474,964,0,0,0,0,0,0,165.952,0,0,0,0,0,0,0,0,0,165.731,166.676,165.954,165.792,0,0,0,0,0,0,10.4727,0,0,0,0,0,0,0,0,0,9.95147,10.839,10.3033,10.5721,0,0,0,0,0,0,
PBSM,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample1.bin,NL,0,0,1000000,15155,0.378875,0,12893,2002,0.05005,0,0,0.001,0,0.005,0.049,0,0,0.055,0,0,0,0,0,0,0,0,0,1,1,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample1.bin,SGrid,3,100,100,5045,0.126125,90822,2951,2002,0.05005,0,0,0.001,0,0.002,0.006,0.006,0.009,0.021,0,0,0.009,0.002,0.001,19.3548,496,32.2581,69.992,125,125,1,0.008,5,0,688,332,160,535,285,0,0,0,0,0,664,353,244,504,235,0,0,0,0,0,165.964,167.053,166.292,165.487,165.326,0,0,0,0,0,165.79,166.443,167.019,165.647,165.223,0,0,0,0,0,10.3799,10.2726,11.2382,10.5671,10.1911,0,0,0,0,0,10.3177,10.3452,11.14,10.5646,10.0651,0,0,0,0,0,
dTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample1.bin,SGrid,3,100,100,4451,0.111275,1199400,2324,2002,0.05005,11,0,0.001,0,0.006,0.006,0.003,0.006,0.017,0.001,0,0.006,0.003,0,18.1818,953,74.7955,189.484,69,69,1,0.009,4,4,2000,0,0,0,0,0,0,0,0,0,137,12,956,884,0,0,0,0,0,0,165.952,0,0,0,0,0,0,0,0,0,166.081,167.514,165.299,165.041,0,0,0,0,0,0,10.4727,0,0,0,0,0,0,0,0,0,8.31429,11.0655,10.1921,9.94776,0,0,0,0,0,0,
reTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample1.bin,SGrid,3,100,100,4896,0.1224,1122207,2824,2002,0.05005,0,0,0,0,0.001,0.004,0.004,0.003,0.013,0.001,0,0.003,0.003,0,25.8065,964,64.5161,177.461,125,125,1,0.007,4,0,295,267,474,964,0,0,0,0,0,0,267,295,474,964,0,0,0,0,0,0,165.885,166.605,165.954,165.792,0,0,0,0,0,0,165.731,166.676,165.954,165.792,0,0,0,0,0,0,10.0552,10.8315,10.3033,10.5721,0,0,0,0,0,0,9.95147,10.839,10.3033,10.5721,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample1.bin,SGrid,3,100,100,4984,0.1246,0,2890,2002,0.05005,0,0,0.001,0,0.001,0.005,0.004,0.004,0.014,0,0,0.003,0.003,0,25.8065,964,64.5161,175.208,125,125,1,0.008,4,0,295,267,474,964,0,0,0,0,0,0,302,300,458,940,0,0,0,0,0,0,165.885,166.605,165.954,165.792,0,0,0,0,0,0,165.883,166.84,165.712,165.809,0,0,0,0,0,0,10.0552,10.8315,10.3033,10.5721,0,0,0,0,0,0,10.0721,10.7772,10.2027,10.6149,0,0,0,0,0,0,
SGrid,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample2.bin,NL,0,0,1000000,50,0.00125,0,10,2,5e-05,0,0,0.001,0,0.001,0.001,0,0,0.013,0,0,0,0,0,0,0,0,0,1,1,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample2.bin,SGrid,3,100,100,44,0.0011,2481000,6,2,5e-05,0,6,0.001,0,0,0.004,0,0.004,0.009,0,0,0.004,0.004,0,22.5806,960,64.4194,130.173,28,28,1,0.008,4,0,2000,0,0,0,0,0,0,0,0,0,249,284,501,960,0,0,0,0,0,0,165.952,0,0,0,0,0,0,0,0,0,165.335,166.872,166.474,166.63,0,0,0,0,0,0,10.4727,0,0,0,0,0,0,0,0,0,10.7572,10.1833,10.7126,10.701,0,0,0,0,0,0,
PBSM,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample2.bin,NL,0,0,1000000,256,0.0064,0,10,2,5e-05,0,0,0.002,0,0.005,0.037,0,0,0.044,0,0,0,0,0,0,0,0,0,1,1,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample2.bin,SGrid,3,100,100,100,0.0025,76370,1,2,5e-05,11,20,0.001,0,0.002,0.002,0.001,0.007,0.015,0,0,0.006,0.002,0.001,18.5484,507,32.0081,72.0314,125,125,1,0.004,5,0,556,346,196,592,299,0,0,0,0,0,651,275,258,530,266,0,0,0,0,0,166.008,167.352,166.012,165.48,165.123,0,0,0,0,0,166.741,165.802,167.176,166.242,166.032,0,0,0,0,0,10.0548,10.8575,10.6668,10.6752,10.0928,0,0,0,0,0,10.9026,10.2568,10.5994,10.5441,10.8101,0,0,0,0,0,
dTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample2.bin,SGrid,3,100,100,125,0.003125,1008817,3,2,5e-05,61,6,0,0,0.004,0.005,0.002,0.005,0.013,0,0.001,0.004,0.001,0,19.0476,934,77.0476,156.24,67,67,1,0.006,4,4,2000,0,0,0,0,0,0,0,0,0,281,256,468,934,0,0,0,0,0,0,165.952,0,0,0,0,0,0,0,0,0,166.712,166.588,166.823,166.871,0,0,0,0,0,0,10.4727,0,0,0,0,0,0,0,0,0,8.45287,10.3555,10.8317,10.0974,0,0,0,0,0,0,
reTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample2.bin,SGrid,3,100,100,93,0.002325,1124943,2,2,5e-05,13,6,0.001,0,0.001,0.002,0.001,0.003,0.01,0,0,0.003,0.003,0,22.5806,967,64.2097,178.057,125,125,1,0.005,4,0,254,287,479,967,0,0,0,0,0,0,249,284,501,960,0,0,0,0,0,0,165.745,166.613,165.924,165.804,0,0,0,0,0,0,165.335,166.872,166.474,166.63,0,0,0,0,0,0,10.3244,10.5788,10.3034,10.5758,0,0,0,0,0,0,10.7572,10.1833,10.7126,10.701,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample2.bin,SGrid,3,100,100,105,0.002625,12571,2,2,5e-05,13,21,0.001,0,0.001,0.002,0.001,0.003,0.009,0,0,0.003,0.002,0,29.0323,967,63.9677,177.376,125,125,1,0.004,4,0,254,287,479,967,0,0,0,0,0,0,213,318,498,950,0,0,0,0,0,0,165.745,166.613,165.924,165.804,0,0,0,0,0,0,164.957,166.563,166.727,166.604,0,0,0,0,0,0,10.3244,10.5788,10.3034,10.5758,0,0,0,0,0,0,10.8798,10.0585,10.6899,10.7707,0,0,0,0,0,0,
