Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
reTOUCH:BU(Case4),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,100,4,96054,2.40135,971346,78833,917,0.022925,122,1466,0.006,0,0.001,0.267,0,0.007,0.282,0.001,0,0.007,0.07,0,47.561,1008,29.4146,136.808,165,165,1,0.337,6,0,0,0,60,329,1008,481,0,0,0,0,0,0,0,39,495,0,0,0,0,0,0,0,1743.3,1452.15,1581.86,1597.78,0,0,0,0,0,0,0,2183.29,1724.87,0,0,0,0,0,0,0,323.919,217.304,338.425,347.36,0,0,0,0,0,0,0,666.693,590.149,0,0,0,0,0,
TOUCH:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,100,4,145394,3.63485,823200,135,917,0.022925,0,1466,0.006,0,0,0.355,0.355,0.007,0.369,0,0,0.007,0,0,47.561,495,30.9024,67.0129,23,23,1,0.355,6,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,39,495,0,0,0,0,0,1577.21,0,0,0,0,0,0,0,0,0,0,0,0,2183.29,1724.87,0,0,0,0,0,332.485,0,0,0,0,0,0,0,0,0,0,0,0,666.693,590.149,0,0,0,0,0,
cTOUCH:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,1000,4,162762,4.06905,153262,138567,917,0.022925,815,1469,0.002,0,0.001,0.321,0.321,0.015,0.401,0.001,0,0.015,0.06,0,14.2857,439,122.571,146.38,15,15,1,0.381,3,0,443,671,71,0,0,0,0,0,0,0,344,111,76,0,0,0,0,0,0,0,1506.7,1579.61,1557.43,0,0,0,0,0,0,0,1581.92,2129.63,1952.57,0,0,0,0,0,0,0,359.697,284.973,207.07,0,0,0,0,0,0,0,392.603,819.771,654.116,0,0,0,0,0,0,0,
dTOUCH:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,100,4,220002,5.50005,178470,192490,917,0.022925,1309,1466,0.003,0,0.374,0.436,0.434,0.01,0.601,0.001,0,0.009,0.149,0,27.2727,334,51.8182,80.5406,51,51,1,0.585,6,4,2000,0,0,0,0,0,0,0,0,0,327,0,334,30,0,0,0,0,0,0,1577.21,0,0,0,0,0,0,0,0,0,1754.21,0,0,2159.42,1729.63,0,0,0,0,0,332.485,0,0,0,0,0,0,0,0,0,614.373,0,0,657.339,539.787,0,0,0,0,0,
SGrid:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,NL,0,0,1000000,17927,0.448175,0,7477,917,0.022925,0,0,0.003,0,0.007,0.041,0,0,0.052,0.001,0,0,0,0,0,0,0,0,1,1,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
reTOUCH:BU(Case4),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,2,100,4,0,0,1819,0,0,0,122,1999,0.012,0,0,0.052,0,0.005,0.099,0,0,0.005,0.052,0,48.7805,1008,22.9146,126.688,165,165,1,0.104,6,0,0,0,60,329,1008,481,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1743.3,1452.15,1581.86,1597.78,0,0,0,0,0,0,0,0,1716.35,0,0,0,0,0,0,0,323.919,217.304,338.425,347.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOUCH:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,2,100,4,286,0.00715,1600,0,0,0,0,1999,0.004,0,0.001,0.001,0.001,0.009,0.016,0,0,0.009,0,0,48.7805,100,24.4024,42.9367,22,22,1,0.001,6,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1577.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1716.35,0,0,0,0,0,332.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cTOUCH:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,2,1000,4,0,0,0,0,0,0,1569,1985,0.003,0.001,0,0,0,0.016,0.036,0,0,0.016,0.016,0,35.7143,382,31.8571,97.5111,15,15,1,0.016,3,0,405,26,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1572.56,1676.82,0,0,0,0,0,0,0,0,1624.37,0,0,0,0,0,0,0,0,0,228.567,377.449,0,0,0,0,0,0,0,0,176.682,0,0,0,0,0,0,0,0,0,
dTOUCH:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,2,100,4,0,0,0,0,0,0,2000,1999,0.003,0,0,0.001,0,0.007,0.099,0,0,0.007,0.088,0,0,100,0.5,0.5,43,43,1,0.089,6,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1577.21,0,0,0,0,0,0,0,0,0,1716.35,0,0,0,0,0,0,0,0,0,332.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SGrid:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,NL,0,0,1000000,0,0,0,0,0,0,0,0,0.006,0,0.006,0.002,0,0,0.015,0,0,0,0,0,0,0,0,0,1,1,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
