Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
cTOUCH:TDDemand(Case3),1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,18667,0.466675,466014,18134,13,0.000325,741,1571,0.006,0,0.001,1.576,0,0.016,1.6,0,0,0.016,1.529,0,40.3226,784,13.6129,76.5289,125,125,1,3.105,5,0,43,86,100,246,784,0,0,0,0,0,115,25,41,231,17,0,0,0,0,0,32.0621,20.4293,24.9882,19.919,17.2325,0,0,0,0,0,27.5046,30.7113,64.931,24.2919,88.138,0,0,0,0,0,44.3257,41.7693,46.4459,29.435,14.1225,0,0,0,0,0,47.5533,52.1008,71.5424,24.26,104.142,0,0,0,0,0,
cTOUCH:TD(Case1),1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,15173,0.379325,25375,14984,13,0.000325,741,1571,0.003,0,0.001,0.041,0.041,0.016,1.584,0.001,0,0.016,1.522,0,40.3226,784,13.6129,76.5289,125,125,1,1.563,5,0,43,86,100,246,784,0,0,0,0,0,115,25,41,231,17,0,0,0,0,0,32.0621,20.4293,24.9882,19.919,17.2325,0,0,0,0,0,27.5046,30.7113,64.931,24.2919,88.138,0,0,0,0,0,44.3257,41.7693,46.4459,29.435,14.1225,0,0,0,0,0,47.5533,52.1008,71.5424,24.26,104.142,0,0,0,0,0,
cTOUCH:BU(Case4),1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,15173,0.379325,466014,14984,13,0.000325,741,1571,0.003,0,0.001,1.562,0,0.01,1.576,0,0,0.01,1.519,0,40.3226,784,13.6129,76.5289,125,125,1,3.081,5,0,43,86,100,246,784,0,0,0,0,0,115,25,41,231,17,0,0,0,0,0,32.0621,20.4293,24.9882,19.919,17.2325,0,0,0,0,0,27.5046,30.7113,64.931,24.2919,88.138,0,0,0,0,0,44.3257,41.7693,46.4459,29.435,14.1225,0,0,0,0,0,47.5533,52.1008,71.5424,24.26,104.142,0,0,0,0,0,
dTOUCH:TD(Case1),1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,2027,0.050675,84660,1752,13,0.000325,1476,1503,0.002,0,0.016,0.01,0.009,0.009,0.057,0,0,0.008,0.036,0,18.75,191,60.125,56.0913,51,51,1,0.046,4,3,2000,0,0,0,0,0,0,0,0,0,357,148,19,0,0,0,0,0,0,0,19.9483,0,0,0,0,0,0,0,0,0,35.1515,114,46.8026,29.7414,0,0,0,0,0,0,28.8906,0,0,0,0,0,0,0,0,0,68.4903,96.2372,8.9611,36.5068,0,0,0,0,0,0,
reTOUCH:TDDemand(Case3),1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,22782,0.56955,849082,22044,13,0.000325,289,1503,0.006,0,0,0.733,0,0.006,0.746,0.001,0,0.006,0.672,0,40.3226,1483,35.6129,195.376,125,125,1,1.405,4,0,22,6,200,1483,0,0,0,0,0,0,5,10,20,462,0,0,0,0,0,0,11.2454,188.158,22.1473,19.1771,0,0,0,0,0,0,93.7668,71.871,41.1731,34.2118,0,0,0,0,0,0,7.33016,23.2991,36.2129,26.9093,0,0,0,0,0,0,66.7191,85.234,20.2223,67.2407,0,0,0,0,0,0,
reTOUCH:TD(Case1),1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,36623,0.915575,696208,36589,13,0.000325,289,1503,0.003,0,0,0.083,0.083,0.008,0.758,0.001,0,0.007,0.662,0,40.3226,1483,35.6129,195.376,125,125,1,0.745,4,0,22,6,200,1483,0,0,0,0,0,0,5,10,20,462,0,0,0,0,0,0,11.2454,188.158,22.1473,19.1771,0,0,0,0,0,0,93.7668,71.871,41.1731,34.2118,0,0,0,0,0,0,7.33016,23.2991,36.2129,26.9093,0,0,0,0,0,0,66.7191,85.234,20.2223,67.2407,0,0,0,0,0,0,
reTOUCH:BU(Case4),1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,22352,0.5588,849082,21614,13,0.000325,289,1503,0.003,0,0,0.727,0,0.005,0.735,0,0,0.004,0.661,0,40.3226,1483,35.6129,195.376,125,125,1,1.388,4,0,22,6,200,1483,0,0,0,0,0,0,5,10,20,462,0,0,0,0,0,0,11.2454,188.158,22.1473,19.1771,0,0,0,0,0,0,93.7668,71.871,41.1731,34.2118,0,0,0,0,0,0,7.33016,23.2991,36.2129,26.9093,0,0,0,0,0,0,66.7191,85.234,20.2223,67.2407,0,0,0,0,0,0,
rereTOUCH:TDDemand(Case3),1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,6620,0.1655,794112,6592,9,0.000225,289,1508,0.006,0,0.001,0.316,0,0.006,0.331,0,0,0.006,0.299,0,45.1613,1483,35.5323,194.212,125,125,1,0.615,4,0,22,6,200,1483,0,0,0,0,0,0,3,0,63,426,0,0,0,0,0,0,11.2454,188.158,22.1473,19.1771,0,0,0,0,0,0,201.031,0,69.3181,29.3256,0,0,0,0,0,0,7.33016,23.2991,36.2129,26.9093,0,0,0,0,0,0,17.2071,0,127.924,48.3016,0,0,0,0,0,0,
rereTOUCH:TD(Case1),1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,22780,0.5695,345539,22044,13,0.000325,289,1508,0.002,0,0.001,0.061,0.061,0.007,0.369,0.001,0,0.007,0.297,0,45.1613,1483,35.5323,194.212,125,125,1,0.358,4,0,22,6,200,1483,0,0,0,0,0,0,3,0,63,426,0,0,0,0,0,0,11.2454,188.158,22.1473,19.1771,0,0,0,0,0,0,201.031,0,69.3181,29.3256,0,0,0,0,0,0,7.33016,23.2991,36.2129,26.9093,0,0,0,0,0,0,17.2071,0,127.924,48.3016,0,0,0,0,0,0,
rereTOUCH:BU(Case4),1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,6620,0.1655,794112,6592,9,0.000225,289,1508,0.006,0,0,0.315,0,0.01,0.332,0,0,0.009,0.299,0,45.1613,1483,35.5323,194.212,125,125,1,0.614,4,0,22,6,200,1483,0,0,0,0,0,0,3,0,63,426,0,0,0,0,0,0,11.2454,188.158,22.1473,19.1771,0,0,0,0,0,0,201.031,0,69.3181,29.3256,0,0,0,0,0,0,7.33016,23.2991,36.2129,26.9093,0,0,0,0,0,0,17.2071,0,127.924,48.3016,0,0,0,0,0,0,
