Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
reTOUCH:BU(Case4),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,100,4,487303,12.1826,1027735,190960,47286,1.18215,47,1465,0.005,0,0.001,0.973,0,0.009,0.99,0.007,0,0.009,0.001,0,47.561,1082,30.3415,149.557,165,165,1,0.974,6,0,0,0,32,187,1082,652,0,0,0,0,0,0,0,8,527,0,0,0,0,0,0,0,146114,134759,137415,138050,0,0,0,0,0,0,0,144608,140547,0,0,0,0,0,0,0,5708.6,4422.11,5993.64,5774.81,0,0,0,0,0,0,0,5469.69,10131.8,0,0,0,0,0,
TOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,100,4,419260,10.4815,849600,17147,47286,1.18215,0,1465,0.002,0,0,0.914,0.908,0.009,0.926,0.005,0,0.009,0,0,47.561,527,30.9146,69.7928,23,23,1,0.914,6,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,8,527,0,0,0,0,0,137593,0,0,0,0,0,0,0,0,0,0,0,0,144608,140547,0,0,0,0,0,6023.65,0,0,0,0,0,0,0,0,0,0,0,0,5469.69,10131.8,0,0,0,0,0,
cTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,1000,4,416219,10.4055,381155,149232,47286,1.18215,549,1465,0.005,0,0,0.828,0.826,0.012,0.855,0.005,0,0.012,0.001,0.001,21.4286,614,141.857,185.577,15,15,1,0.829,3,0,195,792,464,0,0,0,0,0,0,0,179,109,247,0,0,0,0,0,0,0,135006,137338,137309,0,0,0,0,0,0,0,137625,139172,143403,0,0,0,0,0,0,0,4405.1,5509.82,6821.61,0,0,0,0,0,0,0,9754.86,5029.77,11190.4,0,0,0,0,0,0,0,
dTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,100,4,486279,12.157,402938,196719,47286,1.18215,923,1465,0.006,0,0.823,0.968,0.967,0.011,0.993,0.006,0,0.011,0.001,0,27.2727,563,69.5909,125.332,51,51,1,0.969,6,4,2000,0,0,0,0,0,0,0,0,0,237,30,563,247,0,0,0,0,0,0,137593,0,0,0,0,0,0,0,0,0,140509,0,0,141401,141151,0,0,0,0,0,6023.65,0,0,0,0,0,0,0,0,0,10245.1,0,0,1245.59,9266.26,0,0,0,0,0,
SGrid:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,NL,0,0,1000000,7652943,191.324,0,6605677,47286,1.18215,0,0,0.003,0,0.073,15.811,0,0,15.957,0.068,0,0,0,0,0,0,0,0,1,1,0,15.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
reTOUCH:BU(Case4),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,2,100,4,445,0.011125,27989,22,35,0.000875,45,1961,0.003,0,0.001,0.002,0,0.005,0.011,0,0,0.005,0,0,47.561,1082,24.3171,139.02,165,165,1,0.002,6,0,2,0,32,187,1082,652,0,0,0,0,38,0,0,0,1,0,0,0,0,0,140666,0,146114,134759,137415,138050,0,0,0,0,138910,0,0,0,140721,0,0,0,0,0,2001.1,0,5708.6,4422.11,5993.64,5774.81,0,0,0,0,2974.35,0,0,0,0,0,0,0,0,0,
TOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,2,100,4,1984,0.0496,5400,32,35,0.000875,0,1961,0.002,0,0,0.007,0.006,0.005,0.014,0,0,0.005,0,0,47.561,100,24.8659,42.8758,22,22,1,0.007,6,0,2000,0,0,0,0,0,0,0,0,0,38,0,0,0,1,0,0,0,0,0,137593,0,0,0,0,0,0,0,0,0,138910,0,0,0,140721,0,0,0,0,0,6023.65,0,0,0,0,0,0,0,0,0,2974.35,0,0,0,0,0,0,0,0,0,
cTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,2,1000,4,789,0.019725,112,22,35,0.000875,1056,1940,0.006,0,0.001,0.002,0.002,0.018,0.029,0,0,0.017,0.001,0,35.7143,528,71.7143,141.72,15,15,1,0.003,3,0,602,230,112,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,137393,139148,137725,0,0,0,0,0,0,0,139422,0,0,0,0,0,0,0,0,0,5325.33,7081.27,6054.76,0,0,0,0,0,0,0,4051.89,0,0,0,0,0,0,0,0,0,
dTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,2,100,4,476,0.0119,0,0,0,0,2000,1961,0.002,0,0,0.001,0.001,0.006,0.01,0,0,0.005,0.001,0,0,100,0.5,0.5,43,43,1,0.002,6,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137593,0,0,0,0,0,0,0,0,0,279631,0,0,0,0,0,0,0,0,0,6023.65,0,0,0,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,
SGrid:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,NL,0,0,1000000,6485,0.162125,0,2679,35,0.000875,0,0,0.006,0,0.034,0.023,0,0,0.063,0,0,0,0,0,0,0,0,0,1,1,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
reTOUCH:BU(Case4),50,2000,2000,../../../data/samplesDendrites/2000/sample2.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,100,4,503546,12.5886,1785442,147395,43662,1.09155,102,1015,0.004,0,0.001,1.021,0,0.01,1.037,0.006,0,0.01,0.003,0,41.4634,1204,35.1585,152.518,165,165,1,1.024,6,0,50,0,124,58,462,1204,0,0,0,0,514,32,22,0,119,298,0,0,0,0,136831,0,134167,134266,133625,133639,0,0,0,0,149735,141318,138761,0,136824,142699,0,0,0,0,3906.06,0,3126.16,3155.27,3670.81,4102.77,0,0,0,0,14236.1,4317.39,4827.67,0,5912.27,12364.8,0,0,0,0,
TOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample2.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,100,4,583380,14.5845,853000,100603,43662,1.09155,0,1015,0.003,0,0.001,1.21,1.204,0.006,1.22,0.005,0,0.006,0,0,41.4634,468,36.4024,71.2666,25,25,1,1.21,6,0,2000,0,0,0,0,0,0,0,0,0,514,32,22,0,119,298,0,0,0,0,133741,0,0,0,0,0,0,0,0,0,149735,141318,138761,0,136824,142699,0,0,0,0,3890.81,0,0,0,0,0,0,0,0,0,14236.1,4317.39,4827.67,0,5912.27,12364.8,0,0,0,0,
cTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample2.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,1000,4,504371,12.6093,371555,147430,43662,1.09155,98,1002,0.002,0,0.001,1.006,1.005,0.015,1.034,0.005,0,0.015,0.002,0,7.14286,1083,207.143,323.945,15,15,1,1.008,3,0,24,795,1083,0,0,0,0,0,0,0,660,137,201,0,0,0,0,0,0,0,136409,133861,133584,0,0,0,0,0,0,0,146224,143051,144550,0,0,0,0,0,0,0,3396.05,4070.09,3834.78,0,0,0,0,0,0,0,13781,13057.2,11756.3,0,0,0,0,0,0,0,
dTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample2.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,100,4,488754,12.2188,375002,139447,43662,1.09155,268,1015,0.002,0,0.886,1,1,0.01,1.022,0.003,0,0.01,0.003,0,27.2727,740,97,186.837,51,51,1,1.003,6,4,2000,0,0,0,0,0,0,0,0,0,796,103,532,301,0,0,0,0,0,0,133741,0,0,0,0,0,0,0,0,0,141477,140767,137821,0,137789,142979,0,0,0,0,3890.81,0,0,0,0,0,0,0,0,0,4554.45,4266.97,4234.83,0,5490.12,10487.3,0,0,0,0,
SGrid:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample2.bin,../../../data/samplesAxons/2000/sample1.bin,NL,0,0,1000000,7426467,185.662,0,6018920,43662,1.09155,0,0,0.002,0,0.064,13.631,0,0,13.766,0.067,0,0,0,0,0,0,0,0,1,1,0,13.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
reTOUCH:BU(Case4),50,2000,2000,../../../data/samplesDendrites/2000/sample2.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,2,100,4,2,5e-05,5296,0,0,0,152,1997,0.002,0,0.001,0.002,0,0.008,0.014,0,0,0.008,0.002,0,47.561,1204,22.5732,141.422,165,165,1,0.004,6,0,0,0,124,58,462,1204,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,134167,134266,133625,133639,0,0,0,0,154159,0,0,0,140721,0,0,0,0,0,0,0,3126.16,3155.27,3670.81,4102.77,0,0,0,0,5780.33,0,0,0,0,0,0,0,0,0,
TOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample2.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,2,100,4,381,0.009525,1800,0,0,0,0,1997,0.003,0,0,0.001,0.001,0.009,0.013,0,0,0.009,0,0,47.561,100,24.4268,42.9234,22,22,1,0.001,6,0,2000,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,133741,0,0,0,0,0,0,0,0,0,154159,0,0,0,140721,0,0,0,0,0,3890.81,0,0,0,0,0,0,0,0,0,5780.33,0,0,0,0,0,0,0,0,0,
cTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample2.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,2,1000,4,2,5e-05,1,0,0,0,1999,1997,0.002,0,0.001,0,0,0.013,0.016,0,0,0.012,0,0,35.7143,2,0.285714,0.589015,15,15,1,0,3,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,137113,0,0,0,0,0,0,0,154159,140721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5780.33,0,0,0,0,0,0,0,0,0,
dTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample2.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,2,100,4,4,0.0001,0,0,0,0,2000,1997,0.003,0,0,0.001,0,0.008,0.015,0,0,0.008,0.001,0.001,0,100,0.5,0.5,43,43,1,0.002,6,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133741,0,0,0,0,0,0,0,0,0,294880,0,0,0,0,0,0,0,0,0,3890.81,0,0,0,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,
SGrid:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample2.bin,../../../data/samplesAxons/2000/sample2.bin,NL,0,0,1000000,6,0.00015,0,0,0,0,0,0,0.002,0,0.058,0.042,0,0,0.102,0,0,0,0,0,0,0,0,0,1,1,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
reTOUCH:BU(Case4),50,4000,4000,../../../data/samplesDendrites/4000/sample1.bin,../../../data/samplesAxons/4000/sample1.bin,SGrid,2,100,4,980237,6.12648,4349119,300441,90942,0.568388,30,2878,0.037,0,0.002,3.778,0,0.031,3.875,0.016,0,0.03,0.007,0,46.9136,2057,31.4321,207.49,325,325,1,3.785,7,0,25,0,71,70,265,2057,1482,0,0,0,245,0,0,2,116,759,0,0,0,0,137671,0,134985,135237,136804,135659,135428,0,0,0,149806,0,0,143462,139473,143732,0,0,0,0,3417.2,0,4712.21,4710.49,4660.65,5812.75,5041.58,0,0,0,15329.2,0,0,2831.55,5148.79,12326,0,0,0,0,
TOUCH:TD(Case1),50,4000,4000,../../../data/samplesDendrites/4000/sample1.bin,../../../data/samplesAxons/4000/sample1.bin,SGrid,2,100,4,1062607,6.64129,2640500,23430,90942,0.568388,0,2878,0.009,0,0,2.266,2.252,0.014,2.29,0.011,0,0.013,0,0,46.9136,759,31.6173,73.3624,44,44,1,2.266,7,0,4000,0,0,0,0,0,0,0,0,0,245,0,0,2,116,759,0,0,0,0,135665,0,0,0,0,0,0,0,0,0,149806,0,0,143462,139473,143732,0,0,0,0,5425.28,0,0,0,0,0,0,0,0,0,15329.2,0,0,2831.55,5148.79,12326,0,0,0,0,
cTOUCH:TD(Case1),50,4000,4000,../../../data/samplesDendrites/4000/sample1.bin,../../../data/samplesAxons/4000/sample1.bin,SGrid,2,1000,4,934414,5.84009,1412636,302144,90942,0.568388,58,2795,0.004,0,0.002,1.846,1.841,0.028,1.896,0.011,0,0.027,0.002,0,23.3333,2054,171.567,402.578,31,31,1,1.848,4,0,79,933,2195,735,0,0,0,0,0,0,480,57,414,254,0,0,0,0,0,0,140141,134553,135926,135829,0,0,0,0,0,0,147625,139224,142955,143113,0,0,0,0,0,0,6535.49,4105.38,5424.77,6397.46,0,0,0,0,0,0,14465,4444.45,11314.9,11223.1,0,0,0,0,0,0,
dTOUCH:TD(Case1),50,4000,4000,../../../data/samplesDendrites/4000/sample1.bin,../../../data/samplesAxons/4000/sample1.bin,SGrid,2,100,4,909731,5.68582,1839699,319437,90942,0.568388,342,2878,0.006,0,1.535,1.807,1.804,0.016,1.847,0.011,0,0.016,0.003,0,23.3333,2836,146.967,514.795,97,97,1,1.81,7,4,4000,0,0,0,0,0,0,0,0,0,709,30,83,2836,0,0,0,0,0,0,135665,0,0,0,0,0,0,0,0,0,143612,0,0,0,138661,142470,0,0,0,0,5425.28,0,0,0,0,0,0,0,0,0,9308.55,0,0,0,3936.67,10516.5,0,0,0,0,
SGrid:TD(Case1),50,4000,4000,../../../data/samplesDendrites/4000/sample1.bin,../../../data/samplesAxons/4000/sample1.bin,NL,0,0,1000000,8333795,52.0862,0,6515168,90942,0.568388,0,0,0.005,0,0.062,18.97,0,0,19.127,0.085,0,0,0,0,0,0,0,0,1,1,0,18.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
reTOUCH:BU(Case4),50,4000,4000,../../../data/samplesDendrites/4000/sample1.bin,../../../data/samplesAxons/4000/sample2.bin,SGrid,2,100,4,269235,1.68272,4045157,69198,21501,0.134381,14,2885,0.013,0,0.001,0.547,0,0.011,0.631,0.004,0,0.01,0.003,0,44.4444,2075,31.4877,203.849,325,325,1,0.55,7,0,23,0,71,70,265,2075,1482,0,0,0,528,0,20,58,9,37,463,0,0,0,137411,0,134985,135237,136804,135671,135428,0,0,0,144137,0,140250,132385,142802,137946,143567,0,0,0,3390.7,0,4712.21,4710.49,4660.65,5798.11,5041.58,0,0,0,13609.1,0,3780.45,3700.02,4596.39,6034.37,12757.7,0,0,0,
TOUCH:TD(Case1),50,4000,4000,../../../data/samplesDendrites/4000/sample1.bin,../../../data/samplesAxons/4000/sample2.bin,SGrid,2,100,4,434130,2.71331,2092000,7520,21501,0.134381,0,2885,0.011,0,0.001,0.941,0.938,0.011,0.964,0.002,0,0.011,0,0,44.4444,463,31.5741,58.579,46,46,1,0.941,7,0,4000,0,0,0,0,0,0,0,0,0,528,0,20,58,9,37,463,0,0,0,135665,0,0,0,0,0,0,0,0,0,144137,0,140250,132385,142802,137946,143567,0,0,0,5425.28,0,0,0,0,0,0,0,0,0,13609.1,0,3780.45,3700.02,4596.39,6034.37,12757.7,0,0,0,
cTOUCH:TD(Case1),50,4000,4000,../../../data/samplesDendrites/4000/sample1.bin,../../../data/samplesAxons/4000/sample2.bin,SGrid,2,1000,4,266193,1.66371,725533,66419,21501,0.134381,783,2641,0.007,0,0.004,0.533,0.53,0.026,0.576,0.002,0,0.026,0.002,0,26.6667,2071,152.533,405.052,31,31,1,0.535,4,0,2094,102,868,153,0,0,0,0,0,0,1077,11,271,0,0,0,0,0,0,0,135732,136935,135219,135881,0,0,0,0,0,0,144039,132669,139852,0,0,0,0,0,0,0,5674.03,3690.58,4104.89,5837.25,0,0,0,0,0,0,12589.4,4179.5,12553.8,0,0,0,0,0,0,0,
dTOUCH:TD(Case1),50,4000,4000,../../../data/samplesDendrites/4000/sample1.bin,../../../data/samplesAxons/4000/sample2.bin,SGrid,2,100,4,247234,1.54521,891561,56803,21501,0.134381,51,2885,0.01,0,0.464,0.509,0.507,0.012,0.54,0.003,0,0.012,0.004,0,25,1882,186.25,435.21,93,93,1,0.513,7,4,4000,0,0,0,0,0,0,0,0,0,2082,0,826,1041,0,0,0,0,0,0,135665,0,0,0,0,0,0,0,0,0,142881,0,141560,132200,141272,136565,140771,0,0,0,5425.28,0,0,0,0,0,0,0,0,0,8633.46,0,3967.35,3560.32,0,3760.64,8923.57,0,0,0,
SGrid:TD(Case1),50,4000,4000,../../../data/samplesDendrites/4000/sample1.bin,../../../data/samplesAxons/4000/sample2.bin,NL,0,0,1000000,1835437,11.4715,0,1304750,21501,0.134381,0,0,0.004,0,0.057,3.384,0,0,3.461,0.014,0,0,0,0,0,0,0,0,1,1,0,3.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
reTOUCH:BU(Case4),50,4000,4000,../../../data/samplesDendrites/4000/sample2.bin,../../../data/samplesAxons/4000/sample1.bin,SGrid,2,100,4,635939,3.97462,2972060,150964,48948,0.305925,62,3129,0.019,0,0.001,1.89,0,0.015,1.985,0.017,0,0.014,0.004,0,44.4444,1620,29.6852,157.526,325,325,1,1.894,7,0,0,0,113,618,892,1620,695,0,0,0,47,0,77,41,66,535,105,0,0,0,0,0,133814,134545,135189,133992,134514,0,0,0,144828,0,137907,137705,132907,140607,135309,0,0,0,0,0,5600.81,4752.71,5575.31,3965.3,5169.93,0,0,0,11113.4,0,10572.2,9717.11,4469.29,10090.1,6526.4,0,0,0,
TOUCH:TD(Case1),50,4000,4000,../../../data/samplesDendrites/4000/sample2.bin,../../../data/samplesAxons/4000/sample1.bin,SGrid,2,100,4,772270,4.82669,2305900,27712,48948,0.305925,0,3129,0.012,0,0,2.924,2.917,0.031,2.968,0.006,0,0.03,0,0,44.4444,535,30.0679,59.032,47,47,1,2.924,7,0,4000,0,0,0,0,0,0,0,0,0,47,0,77,41,66,535,105,0,0,0,134436,0,0,0,0,0,0,0,0,0,144828,0,137907,137705,132907,140607,135309,0,0,0,4777.1,0,0,0,0,0,0,0,0,0,11113.4,0,10572.2,9717.11,4469.29,10090.1,6526.4,0,0,0,
cTOUCH:TD(Case1),50,4000,4000,../../../data/samplesDendrites/4000/sample2.bin,../../../data/samplesAxons/4000/sample1.bin,SGrid,2,1000,4,576257,3.60161,742107,155442,48948,0.305925,796,3278,0.004,0,0.002,1.159,1.158,0.027,1.2,0.005,0,0.027,0.002,0,30,1011,130.867,259.548,31,31,1,1.161,4,0,354,1160,1114,576,0,0,0,0,0,0,231,36,198,257,0,0,0,0,0,0,136499,134824,134773,133685,0,0,0,0,0,0,137517,142911,137972,143045,0,0,0,0,0,0,5105.52,5326.68,4309.05,3426.95,0,0,0,0,0,0,8635.59,8034.61,9677.33,11179.5,0,0,0,0,0,0,
dTOUCH:TD(Case1),50,4000,4000,../../../data/samplesDendrites/4000/sample2.bin,../../../data/samplesAxons/4000/sample1.bin,SGrid,2,100,4,623301,3.89563,1004000,166947,48948,0.305925,962,3129,0.011,0,1.106,1.274,1.273,0.014,1.31,0.007,0,0.013,0.002,0,25,1392,132.964,326.385,95,95,1,1.276,7,4,4000,0,0,0,0,0,0,0,0,0,361,1272,13,1392,0,0,0,0,0,0,134436,0,0,0,0,0,0,0,0,0,139159,0,138980,138057,130769,141152,131980,0,0,0,4777.1,0,0,0,0,0,0,0,0,0,5150.63,0,12841.8,10142,4002.37,12441.3,4218.85,0,0,0,
SGrid:TD(Case1),50,4000,4000,../../../data/samplesDendrites/4000/sample2.bin,../../../data/samplesAxons/4000/sample1.bin,NL,0,0,1000000,4105500,25.6594,0,2901158,48948,0.305925,0,0,0.004,0,0.06,9.482,0,0,9.583,0.035,0,0,0,0,0,0,0,0,1,1,0,9.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
reTOUCH:BU(Case4),50,4000,4000,../../../data/samplesDendrites/4000/sample2.bin,../../../data/samplesAxons/4000/sample2.bin,SGrid,2,100,4,193099,1.20687,2687345,51525,16371,0.102319,63,3155,0.009,0,0.001,0.393,0,0.012,0.415,0.002,0,0.011,0.002,0,44.4444,1455,29.5185,146.006,325,325,1,0.395,7,0,0,0,129,602,1056,1455,695,0,0,0,62,14,12,325,119,0,313,0,0,0,0,0,133885,134549,135345,133746,134514,0,0,0,139523,148331,134052,146069,149266,0,136864,0,0,0,0,0,5362.36,4787.7,5420.96,3836,5169.93,0,0,0,8706.12,9595.28,3170.8,13226.1,11847.7,0,8877.59,0,0,0,
TOUCH:TD(Case1),50,4000,4000,../../../data/samplesDendrites/4000/sample2.bin,../../../data/samplesAxons/4000/sample2.bin,SGrid,2,100,4,514070,3.21294,1716200,7439,16371,0.102319,0,3155,0.004,0,0.001,1.081,1.079,0.015,1.102,0.001,0,0.015,0,0,44.4444,313,29.9074,53.1977,47,47,1,1.081,7,0,4000,0,0,0,0,0,0,0,0,0,62,14,12,325,119,0,313,0,0,0,134436,0,0,0,0,0,0,0,0,0,139523,148331,134052,146069,149266,0,136864,0,0,0,4777.1,0,0,0,0,0,0,0,0,0,8706.12,9595.28,3170.8,13226.1,11847.7,0,8877.59,0,0,0,
