Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
reTOUCH:BU(Case4),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,100,4,435315,10.8829,1027735,144754,47286,1.18215,47,1465,0.006,0,0.001,0.885,0,0.007,0.9,0.006,0,0.007,0.001,0,47.561,1082,30.3415,149.557,165,165,1,0.886,6,0,0,0,32,187,1082,652,0,0,0,0,0,0,0,8,527,0,0,0,0,0,0,0,146114,134759,137415,138050,0,0,0,0,0,0,0,144608,140547,0,0,0,0,0,0,0,5708.6,4422.11,5993.64,5774.81,0,0,0,0,0,0,0,5469.69,10131.8,0,0,0,0,0,
TOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,100,4,419260,10.4815,849600,17147,47286,1.18215,0,1465,0.002,0,0.001,0.926,0.92,0.006,0.935,0.005,0,0.006,0,0,47.561,527,30.9146,69.7928,23,23,1,0.926,6,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,8,527,0,0,0,0,0,137593,0,0,0,0,0,0,0,0,0,0,0,0,144608,140547,0,0,0,0,0,6023.65,0,0,0,0,0,0,0,0,0,0,0,0,5469.69,10131.8,0,0,0,0,0,
cTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,1000,4,558817,13.9704,381155,209649,47286,1.18215,549,1465,0.004,0,0.001,1.111,1.11,0.016,1.142,0.006,0,0.015,0.001,0,21.4286,614,141.857,185.577,15,15,1,1.112,3,0,195,792,464,0,0,0,0,0,0,0,179,109,247,0,0,0,0,0,0,0,135006,137338,137309,0,0,0,0,0,0,0,137625,139172,143403,0,0,0,0,0,0,0,4405.1,5509.82,6821.61,0,0,0,0,0,0,0,9754.86,5029.77,11190.4,0,0,0,0,0,0,0,
dTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,100,4,681511,17.0378,402938,385696,47286,1.18215,923,1465,0.002,0,1.122,1.342,1.339,0.007,1.364,0.007,0,0.006,0.003,0,27.2727,563,69.5909,125.332,51,51,1,1.345,6,4,2000,0,0,0,0,0,0,0,0,0,237,30,563,247,0,0,0,0,0,0,137593,0,0,0,0,0,0,0,0,0,140509,0,0,141401,141151,0,0,0,0,0,6023.65,0,0,0,0,0,0,0,0,0,10245.1,0,0,1245.59,9266.26,0,0,0,0,0,
SGrid:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,NL,0,0,1000000,7652943,191.324,0,6605677,47286,1.18215,0,0,0.003,0,0.074,14.24,0,0,14.387,0.068,0,0,0,0,0,0,0,0,1,1,0,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
reTOUCH:BU(Case4),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,2,100,4,1491,0.037275,27989,868,35,0.000875,45,1961,0.007,0,0.001,0.004,0,0.012,0.026,0,0,0.012,0.001,0,47.561,1082,24.3171,139.02,165,165,1,0.005,6,0,2,0,32,187,1082,652,0,0,0,0,38,0,0,0,1,0,0,0,0,0,140666,0,146114,134759,137415,138050,0,0,0,0,138910,0,0,0,140721,0,0,0,0,0,2001.1,0,5708.6,4422.11,5993.64,5774.81,0,0,0,0,2974.35,0,0,0,0,0,0,0,0,0,
TOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,2,100,4,1984,0.0496,5400,32,35,0.000875,0,1961,0.006,0,0,0.005,0.005,0.008,0.019,0,0,0.008,0,0,47.561,100,24.8659,42.8758,22,22,1,0.005,6,0,2000,0,0,0,0,0,0,0,0,0,38,0,0,0,1,0,0,0,0,0,137593,0,0,0,0,0,0,0,0,0,138910,0,0,0,140721,0,0,0,0,0,6023.65,0,0,0,0,0,0,0,0,0,2974.35,0,0,0,0,0,0,0,0,0,
cTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,2,1000,4,1721,0.043025,112,868,35,0.000875,1056,1940,0.003,0,0.001,0.004,0.004,0.013,0.021,0,0,0.013,0,0,35.7143,528,71.7143,141.72,15,15,1,0.004,3,0,602,230,112,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,137393,139148,137725,0,0,0,0,0,0,0,139422,0,0,0,0,0,0,0,0,0,5325.33,7081.27,6054.76,0,0,0,0,0,0,0,4051.89,0,0,0,0,0,0,0,0,0,
dTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,2,100,4,684,0.0171,0,0,0,0,2000,1961,0.002,0,0.001,0.002,0.002,0.007,0.015,0,0,0.007,0.003,0,0,100,0.5,0.5,43,43,1,0.005,6,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137593,0,0,0,0,0,0,0,0,0,279631,0,0,0,0,0,0,0,0,0,6023.65,0,0,0,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,
SGrid:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,NL,0,0,1000000,6485,0.162125,0,2679,35,0.000875,0,0,0.002,0,0.03,0.023,0,0,0.055,0,0,0,0,0,0,0,0,0,1,1,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
reTOUCH:BU(Case4),50,2000,2000,../../../data/samplesDendrites/2000/sample2.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,100,4,511265,12.7816,1785442,99663,43662,1.09155,102,1015,0.004,0,0.001,1.067,0,0.008,1.08,0.006,0,0.008,0.001,0,41.4634,1204,35.1585,152.518,165,165,1,1.068,6,0,50,0,124,58,462,1204,0,0,0,0,514,32,22,0,119,298,0,0,0,0,136831,0,134167,134266,133625,133639,0,0,0,0,149735,141318,138761,0,136824,142699,0,0,0,0,3906.06,0,3126.16,3155.27,3670.81,4102.77,0,0,0,0,14236.1,4317.39,4827.67,0,5912.27,12364.8,0,0,0,0,
TOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample2.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,100,4,583380,14.5845,853000,100603,43662,1.09155,0,1015,0.002,0,0.001,1.233,1.227,0.008,1.245,0.005,0,0.008,0,0,41.4634,468,36.4024,71.2666,25,25,1,1.233,6,0,2000,0,0,0,0,0,0,0,0,0,514,32,22,0,119,298,0,0,0,0,133741,0,0,0,0,0,0,0,0,0,149735,141318,138761,0,136824,142699,0,0,0,0,3890.81,0,0,0,0,0,0,0,0,0,14236.1,4317.39,4827.67,0,5912.27,12364.8,0,0,0,0,
cTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample2.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,2,1000,4,590002,14.75,371555,154830,43662,1.09155,98,1002,0.002,0,0.001,1.213,1.212,0.016,1.241,0.006,0,0.016,0.001,0,7.14286,1083,207.143,323.945,15,15,1,1.214,3,0,24,795,1083,0,0,0,0,0,0,0,660,137,201,0,0,0,0,0,0,0,136409,133861,133584,0,0,0,0,0,0,0,146224,143051,144550,0,0,0,0,0,0,0,3396.05,4070.09,3834.78,0,0,0,0,0,0,0,13781,13057.2,11756.3,0,0,0,0,0,0,0,
