Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
cTOUCH:BU(Case4),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,413047,10.3262,836333,161818,47286,1.18215,356,1445,0.005,0,0.001,0.815,0,0.015,0.837,0.007,0,0.015,0.001,0,45.9677,1141,17.7339,108.335,125,125,1,0.816,5,0,33,77,45,348,1141,0,0,0,0,0,8,152,47,74,274,0,0,0,0,0,140659,139825,136453,136136,137066,0,0,0,0,0,133101,137710,142468,137589,143137,0,0,0,0,0,6758.45,6363.92,5091.68,4517.89,5695.16,0,0,0,0,0,4260.47,10160.5,5107.34,4114.62,11006.5,0,0,0,0,0,
cTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,413047,10.3262,171925,161818,47286,1.18215,356,1445,0.002,0,0.001,0.834,0.832,0.015,0.861,0.005,0,0.015,0.001,0,45.9677,1141,17.7339,108.335,125,125,1,0.835,5,0,33,77,45,348,1141,0,0,0,0,0,8,152,47,74,274,0,0,0,0,0,140659,139825,136453,136136,137066,0,0,0,0,0,133101,137710,142468,137589,143137,0,0,0,0,0,6758.45,6363.92,5091.68,4517.89,5695.16,0,0,0,0,0,4260.47,10160.5,5107.34,4114.62,11006.5,0,0,0,0,0,
dTOUCH:BU(Case4),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,477306,11.9327,517296,179846,47286,1.18215,923,1465,0.005,0,0.855,0.951,0,0.011,0.969,0.006,0,0.01,0.002,0,18.75,746,97.6875,174.602,26,26,1,0.953,4,3,2000,0,0,0,0,0,0,0,0,0,179,152,746,0,0,0,0,0,0,0,137593,0,0,0,0,0,0,0,0,0,140617,0,141401,140473,0,0,0,0,0,0,6023.65,0,0,0,0,0,0,0,0,0,10248.3,0,1245.59,8530.03,0,0,0,0,0,0,
dTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,477306,11.9327,469296,179846,47286,1.18215,923,1465,0.005,0,0.927,1.013,1.013,0.009,1.037,0.003,0,0.009,0.002,0,18.75,746,97.6875,174.602,26,26,1,1.015,4,3,2000,0,0,0,0,0,0,0,0,0,179,152,746,0,0,0,0,0,0,0,137593,0,0,0,0,0,0,0,0,0,140617,0,141401,140473,0,0,0,0,0,0,6023.65,0,0,0,0,0,0,0,0,0,10248.3,0,1245.59,8530.03,0,0,0,0,0,0,
reTOUCH:BU(Case4),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,487325,12.1831,1011086,190960,47286,1.18215,110,1465,0.003,0,0.001,0.963,0,0.007,0.974,0.007,0,0.007,0.001,0,46.7742,1766,39.1129,231.239,125,125,1,0.964,4,0,0,0,124,1766,0,0,0,0,0,0,0,0,8,527,0,0,0,0,0,0,0,0,134712,137807,0,0,0,0,0,0,0,0,144608,140547,0,0,0,0,0,0,0,0,4144.55,6023.2,0,0,0,0,0,0,0,0,5469.69,10131.8,0,0,0,0,0,0,
reTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,487325,12.1831,958986,190960,47286,1.18215,110,1465,0.002,0,0,0.968,0.967,0.006,0.987,0.007,0,0.005,0.002,0,46.7742,1766,39.1129,231.239,125,125,1,0.97,4,0,0,0,124,1766,0,0,0,0,0,0,0,0,8,527,0,0,0,0,0,0,0,0,134712,137807,0,0,0,0,0,0,0,0,144608,140547,0,0,0,0,0,0,0,0,4144.55,6023.2,0,0,0,0,0,0,0,0,5469.69,10131.8,0,0,0,0,0,0,
cTOUCH:BU(Case4),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,3,100,100,296,0.0074,11305,27,35,0.000875,1167,1985,0.002,0,0.001,0.001,0,0.014,0.019,0,0,0.014,0,0,48.3871,643,6.83871,58.4441,125,125,1,0.001,5,0,0,85,14,91,643,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,137964,150235,136949,138429,0,0,0,0,0,0,0,138565,0,140721,0,0,0,0,0,0,6698.77,7270.29,4705.26,7167.85,0,0,0,0,0,0,0,3569.7,0,0,0,0,0,0,0,
cTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,3,100,100,296,0.0074,99,27,35,0.000875,1167,1985,0.002,0,0.001,0.001,0.001,0.013,0.019,0,0,0.013,0.001,0,48.3871,643,6.83871,58.4441,125,125,1,0.002,5,0,0,85,14,91,643,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,137964,150235,136949,138429,0,0,0,0,0,0,0,138565,0,140721,0,0,0,0,0,0,6698.77,7270.29,4705.26,7167.85,0,0,0,0,0,0,0,3569.7,0,0,0,0,0,0,0,
dTOUCH:BU(Case4),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,3,100,100,420,0.0105,3800,0,0,0,1887,1961,0.002,0,0.001,0.003,0,0.005,0.01,0,0,0.005,0.002,0,0,114,57,57,22,22,1,0.005,4,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137593,0,0,0,0,0,0,0,0,0,138952,0,0,0,0,0,0,0,0,0,6023.65,0,0,0,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,
dTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,3,100,100,420,0.0105,0,0,0,0,1887,1961,0.003,0,0,0.002,0.001,0.007,0.013,0,0,0.007,0.001,0,0,114,57,57,22,22,1,0.003,4,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137593,0,0,0,0,0,0,0,0,0,138952,0,0,0,0,0,0,0,0,0,6023.65,0,0,0,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,
reTOUCH:BU(Case4),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,3,100,100,445,0.011125,69076,22,35,0.000875,108,1961,0.003,0,0,0.004,0,0.007,0.014,0,0,0.007,0.002,0,46.7742,1766,31.1452,222.652,125,125,1,0.006,4,0,2,0,124,1766,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,140666,0,134712,137807,0,0,0,0,0,0,138910,0,0,140721,0,0,0,0,0,0,2001.1,0,4144.55,6023.2,0,0,0,0,0,0,2974.35,0,0,0,0,0,0,0,0,0,
reTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,3,100,100,445,0.011125,2108,22,35,0.000875,108,1961,0.003,0,0,0.002,0,0.007,0.014,0,0,0.007,0.002,0,46.7742,1766,31.1452,222.652,125,125,1,0.004,4,0,2,0,124,1766,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,140666,0,134712,137807,0,0,0,0,0,0,138910,0,0,140721,0,0,0,0,0,0,2001.1,0,4144.55,6023.2,0,0,0,0,0,0,2974.35,0,0,0,0,0,0,0,0,0,
cTOUCH:BU(Case4),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample3.bin,SGrid,3,100,100,72841,1.82102,375570,18336,5169,0.129225,1100,1582,0.003,0,0,0.155,0,0.012,0.17,0,0,0.011,0,0,46.7742,713,10.629,72.1519,125,125,1,0.155,5,0,0,4,31,152,713,0,0,0,0,0,18,9,0,354,37,0,0,0,0,0,0,135686,140025,140320,136945,0,0,0,0,0,132442,154315,0,142371,148657,0,0,0,0,0,0,1374.58,5284.64,7916.34,6039.49,0,0,0,0,0,5059.73,11748.7,0,12387.3,11185.6,0,0,0,0,0,
cTOUCH:TD(Case1),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample3.bin,SGrid,3,100,100,72841,1.82102,89065,18336,5169,0.129225,1100,1582,0.002,0,0,0.154,0.154,0.015,0.173,0.001,0,0.014,0.001,0,46.7742,713,10.629,72.1519,125,125,1,0.155,5,0,0,4,31,152,713,0,0,0,0,0,18,9,0,354,37,0,0,0,0,0,0,135686,140025,140320,136945,0,0,0,0,0,132442,154315,0,142371,148657,0,0,0,0,0,0,1374.58,5284.64,7916.34,6039.49,0,0,0,0,0,5059.73,11748.7,0,12387.3,11185.6,0,0,0,0,0,
dTOUCH:BU(Case4),50,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample3.bin,SGrid,3,100,100,81857,2.04643,154280,16116,5169,0.129225,1464,1548,0.002,0,0.152,0.176,0,0.006,0.185,0,0,0.006,0.001,0,12.5,326,102.25,93.7147,24,24,1,0.177,4,2,2000,0,0,0,0,0,0,0,0,0,406,130,0,0,0,0,0,0,0,0,137593,0,0,0,0,0,0,0,0,0,142255,0,151002,142717,0,0,0,0,0,0,6023.65,0,0,0,0,0,0,0,0,0,-nan,0,13047.5,10776.8,0,0,0,0,0,0,
