Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
cTOUCH:BU(Case4)D2,5,10000,10000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,8161,0.008161,12379897,1741,714,0.000714,8101,1947,0.015,0,0.004,0.031,0,0.063,0.115,0,0.001,0.061,0.008,0,47.1854,3311,16.4768,176.972,605,605,1,0.039,6,0,22,34,136,124,730,853,0,0,0,0,0,61,655,483,5429,1425,0,0,0,0,8.1685,7.63828,6.25934,7.67571,7.09368,7.42052,0,0,0,0,0,6.10437,6.70703,6.35262,6.26675,6.23192,0,0,0,0,2.81796,1.95452,1.08007,1.81526,1.74933,1.87682,0,0,0,0,0,0.872399,1.39321,0.960688,0.918517,0.888024,0,0,0,0
dTOUCH:BU(Case4)D2,5,10000,10000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,7894,0.007894,18013144,2288,714,0.000714,8281,1245,0.011,0,0.026,0.041,0,0.056,0.11,0,0,0.055,0.02,0,16.8103,1288,40.5647,94.733,178,178,1,0.061,6,5,10000,0,0,0,0,0,0,0,0,0,242,14,3,172,1288,0,0,0,0,0,7.29391,0,0,0,0,0,0,0,0,0,6.30603,0,0,6.35785,6.25338,6.28601,0,0,0,0,1.80539,0,0,0,0,0,0,0,0,0,0.97001,0,0,0.929595,0.815469,0.964088,0,0,0,0
reTOUCH:BU(Case4)D2,5,10000,10000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,7863,0.007863,86484820,1941,714,0.000714,108,1245,0.016,0,0.002,0.04,0,0.029,0.089,0,0,0.028,0.018,0.001,48.366,5764,60.9379,531.106,613,613,1,0.058,6,0,0,0,0,65,4864,4963,0,0,0,0,53,0,0,570,2368,5764,0,0,0,0,0,0,0,6.72473,7.27592,7.32539,0,0,0,0,6.34302,0,0,6.3039,6.30238,6.30287,0,0,0,0,0,0,0,0.993012,1.76866,1.85643,0,0,0,0,0.797059,0,0,0.893192,0.91965,0.992118,0,0,0,0
cTOUCH:BU(Case4)D2,5,30000,30000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,53244,0.005916,196929194,12596,4777,0.000530778,17917,3205,0.034,0,0.017,0.204,0,0.205,0.463,0.001,0,0.198,0.04,0.003,47.7827,8192,21.551,306.288,1805,1805,1,0.244,7,0,197,238,487,1510,2912,4952,1787,0,0,0,181,367,90,877,1536,15552,8192,0,0,0,7.01,7.54576,7.41844,7.19206,7.15493,7.37774,7.46011,0,0,0,6.60326,6.27019,6.37582,6.38324,6.40682,6.27262,6.28659,0,0,0,1.36686,1.93836,1.80887,1.75882,1.66552,1.90005,1.99646,0,0,0,1.19363,0.948674,1.00304,1.06533,1.01132,0.948788,0.966418,0,0,0
dTOUCH:BU(Case4)D2,5,30000,30000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,51111,0.005679,303426056,15205,4777,0.000530778,16386,3266,0.035,0.001,0.186,0.238,0,0.173,0.453,0.001,0,0.166,0.063,0.003,17.0699,8968,51.1022,344.344,546,546,1,0.301,7,7,30000,0,0,0,0,0,0,0,0,0,1210,0,286,0,2879,8968,271,0,0,0,7.28693,0,0,0,0,0,0,0,0,0,6.29164,0,0,6.50798,6.27491,6.28344,6.31101,0,0,0,1.80839,0,0,0,0,0,0,0,0,0,0.966991,0,0,0.948816,0.785251,0.925092,0.995581,0,0,0
reTOUCH:BU(Case4)D2,5,30000,30000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,51660,0.00574,798910401,13156,4777,0.000530778,50,3266,0.039,0,0.007,0.214,0,0.098,0.36,0.002,0,0.095,0.067,0.001,49.4481,18707,62.5651,968.88,1813,1813,1,0.281,7,0,0,0,58,0,189,12933,16770,0,0,0,52,0,0,43,495,7437,18707,0,0,0,0,0,6.88722,0,6.36759,7.23207,7.34205,0,0,0,6.29326,0,0,6.30544,6.25886,6.26522,6.30344,0,0,0,0,0,1.03166,0,1.20403,1.74665,1.85909,0,0,0,0.673494,0,0,0.879565,0.811088,0.922978,0.988264,0,0,0
cTOUCH:BU(Case4)D2,5,50000,50000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,122951,0.00491804,1709321877,28010,11002,0.00044008,10551,5834,0.056,0.001,0.028,0.513,0,0.361,0.966,0.002,0.001,0.348,0.093,0.007,49.0365,31122,27.7791,769.14,3011,3011,1,0.606,8,0,156,189,1637,1500,2446,847,6520,26154,0,0,59,34,45,1405,1433,119,9949,31122,0,0,7.34013,8.03088,7.1712,7.40392,7.25768,7.13079,7.16556,7.34258,0,0,6.6554,6.62501,6.61139,6.25695,6.27945,6.96824,6.33754,6.3028,0,0,1.99632,1.99838,1.78927,1.84272,1.83722,1.78937,1.70033,1.85517,0,0,1.14551,0.992498,1.01874,0.939153,0.908869,1.34511,1.00334,0.972163,0,0
dTOUCH:BU(Case4)D2,5,50000,50000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,118610,0.0047444,1390943109,33604,11002,0.00044008,13141,5890,0.059,0,0.546,0.641,0,0.303,1.016,0.002,0,0.292,0.089,0.006,16.8277,26317,62.8309,771.994,913,913,1,0.73,7,7,50000,0,0,0,0,0,0,0,0,0,553,215,0,2004,1181,6589,26317,0,0,0,7.28316,0,0,0,0,0,0,0,0,0,6.31242,0,5.98319,6.96545,6.54716,6.18739,6.29902,0,0,0,1.80776,0,0,0,0,0,0,0,0,0,0.979421,0,0.948047,1.9065,1.27196,0.856876,0.952096,0,0,0
reTOUCH:BU(Case4)D2,5,50000,50000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,124474,0.00497896,2197464843,35973,11002,0.00044008,24,5890,0.054,0,0.01,0.423,0,0.164,0.653,0.001,0,0.157,0.104,0.002,49.4024,42955,62.4741,1555.31,3013,3013,1,0.527,7,0,0,0,7,0,776,6238,42955,0,0,0,138,0,3,5,126,1637,42201,0,0,0,0,0,7.04017,0,7.13212,7.02441,7.32374,0,0,0,6.22592,0,6.65995,6.71829,6.46001,6.19351,6.31505,0,0,0,0,0,0.732991,0,1.7159,1.62643,1.83143,0,0,0,0.763565,0,1.37318,1.54018,1.28417,0.897631,0.980017,0,0,0
cTOUCH:BU(Case4)D2,5,70000,70000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,208608,0.00425731,3916907153,59415,18948,0.000386694,2972,8540,0.072,0.001,0.045,0.956,0,0.523,1.609,0.002,0.001,0.504,0.146,0.011,48.1684,46302,30.5633,907.464,4205,4205,1,1.102,8,0,181,1641,1402,1366,1593,4837,9706,46302,0,0,191,354,1705,2080,1085,4705,27589,23751,0,0,7.76796,7.16563,7.46694,7.51944,7.52263,7.14657,7.38929,7.25297,0,0,6.52445,6.4013,6.37198,6.25651,6.28351,6.4609,6.32461,6.31598,0,0,2.34222,1.84364,1.89107,1.95532,1.88423,1.73572,1.85603,1.79273,0,0,1.11149,0.968913,1.03713,0.895261,0.936007,1.11172,0.987101,0.942474,0,0
