Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
cTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample1.bin,SGrid,3,100,10,1251260,1.25126,98021409,129152,74856,0.074856,0,0,0.018,0,0.006,2.701,0,0.083,2.812,0.008,0,0.08,0.011,0.003,44.0397,8373,33.1126,476.597,605,605,1,2.712,6,0,330,277,90,455,665,8183,0,0,0,0,288,224,75,369,671,8373,0,0,0,0,7.34992,7.01896,6.76533,7.63664,7.09782,7.30365,0,0,0,0,7.26378,7.0628,6.53668,7.82123,7.1171,7.29884,0,0,0,0,1.78094,1.15648,0.926862,1.92816,1.77168,1.82297,0,0,0,0,1.83907,1.16101,0.882223,2.00404,1.76647,1.81245,0,0,0,0,
dTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample1.bin,SGrid,3,100,10,443212,0.443212,81582225,163975,74856,0.074856,17,0,0.017,0,0.813,0.938,0,0.054,1.012,0.009,0,0.052,0.016,0,17.2932,6933,70.1353,438.374,188,188,1,0.954,6,6,10000,0,0,0,0,0,0,0,0,0,96,64,358,759,6933,1773,0,0,0,0,7.29391,0,0,0,0,0,0,0,0,0,7.29825,6.88599,0,6.82938,7.27855,7.3379,0,0,0,0,1.80539,0,0,0,0,0,0,0,0,0,1.80939,0.799537,0,1.0753,1.71731,1.95369,0,0,0,0,
reTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample1.bin,SGrid,3,100,10,1268146,1.26815,99424870,61071,74856,0.074856,0,0,0.014,0,0.002,2.725,0,0.031,2.773,0.01,0,0.03,0.009,0.001,45.7516,4963,65.3595,558.022,613,613,1,2.734,6,0,54,56,0,63,4864,4963,0,0,0,0,52,58,0,63,4864,4963,0,0,0,0,7.12588,6.88969,0,6.70495,7.27592,7.32539,0,0,0,0,7.12361,6.89987,0,6.70495,7.27592,7.32539,0,0,0,0,1.60424,0.778709,0,0.999688,1.76866,1.85643,0,0,0,0,1.62881,0.778322,0,0.999688,1.76866,1.85643,0,0,0,0,
cTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample2.bin,SGrid,3,100,10,113382,0.113382,76729549,549,592,0.000592,379,470,0.014,0,0.006,0.259,0,0.062,0.343,0.001,0,0.059,0.004,0.002,45.1987,5590,31.707,318.26,605,605,1,0.263,6,0,48,44,1015,1173,2900,4441,0,0,0,0,47,174,877,1786,1056,5590,0,0,0,0,6.97139,7.22225,6.84493,7.57186,7.32296,7.33172,0,0,0,0,8.04459,7.91559,6.99969,7.13174,7.03037,7.42682,0,0,0,0,1.34042,2.09444,1.5031,1.9589,1.85032,1.81271,0,0,0,0,1.80136,2.04359,1.62922,1.70112,1.58757,1.90437,0,0,0,0,
dTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample2.bin,SGrid,3,100,10,9564,0.009564,79624460,1028,592,0.000592,706,589,0.017,0,0.04,0.05,0,0.051,0.121,0.001,0,0.051,0.009,0.001,17.7165,8636,68.7165,540.894,183,183,1,0.059,6,6,10000,0,0,0,0,0,0,0,0,0,331,4,175,148,8636,0,0,0,0,0,7.29391,0,0,0,0,0,0,0,0,0,7.30948,6.66163,0,7.15467,7.2883,7.35543,0,0,0,0,1.80539,0,0,0,0,0,0,0,0,0,1.8386,1.04066,0,0.477685,1.68542,1.81858,0,0,0,0,
reTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample2.bin,SGrid,3,100,10,259671,0.259671,92672656,132,592,0.000592,82,589,0.013,0,0.003,0.594,0,0.032,0.645,0,0,0.031,0.007,0.001,48.0392,4968,63.1667,545.119,613,613,1,0.601,6,0,0,0,0,63,4887,4968,0,0,0,0,36,55,0,3,4956,4361,0,0,0,0,0,0,0,6.70495,7.27821,7.32406,0,0,0,0,7.02448,6.68406,0,6.9466,7.27483,7.34817,0,0,0,0,0,0,0,0.999688,1.76991,1.85623,0,0,0,0,1.16821,1.02171,0,0.565412,1.79621,1.86339,0,0,0,0,
cTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample3.bin,SGrid,3,100,10,95160,0.09516,70851232,3578,757,0.000757,966,1322,0.012,0,0.006,0.226,0,0.064,0.311,0,0,0.061,0.007,0.002,43.7086,6330,29.3245,322.169,605,605,1,0.233,6,0,27,359,434,872,1012,6330,0,0,0,0,332,233,921,1876,866,4450,0,0,0,0,6.17947,7.03293,6.78873,7.28702,7.59872,7.33948,0,0,0,0,6.91124,6.84979,7.42625,7.19634,6.96674,7.40013,0,0,0,0,1.06712,1.63725,1.2705,1.81708,1.98208,1.84025,0,0,0,0,1.1857,1.61115,1.82673,1.78171,1.5181,1.87757,0,0,0,0,
dTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample3.bin,SGrid,3,100,10,11850,0.01185,63282000,952,757,0.000757,1210,590,0.016,0,0.047,0.056,0,0.053,0.131,0,0,0.051,0.014,0.002,17.7165,6221,66.8819,396.609,183,183,1,0.07,6,6,10000,0,0,0,0,0,0,0,0,0,247,238,1247,837,6221,0,0,0,0,0,7.29391,0,0,0,0,0,0,0,0,0,7.28816,8.26798,0,0,7.17005,7.45566,0,0,0,0,1.80539,0,0,0,0,0,0,0,0,0,1.8048,1.135,0,0,1.63065,1.93245,0,0,0,0,
reTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample3.bin,SGrid,3,100,10,260695,0.260695,93094072,155,757,0.000757,76,590,0.019,0,0.002,0.568,0,0.029,0.62,0,0,0.028,0.004,0.001,47.0588,4978,63.183,546.727,613,613,1,0.572,6,0,1,0,0,56,4889,4978,0,0,0,0,30,5,0,4,4904,4467,0,0,0,0,6.89927,0,0,6.71853,7.27826,7.3222,0,0,0,0,7.98867,7.92668,0,5.67971,7.18866,7.38524,0,0,0,0,0.0894643,0,0,1.0122,1.76959,1.85532,0,0,0,0,1.96787,1.22556,0,0.737004,1.70078,1.89281,0,0,0,0,
cTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample4.bin,SGrid,3,100,10,138825,0.138825,68871595,1846,922,0.000922,312,1513,0.015,0,0.006,0.319,0,0.061,0.403,0,0,0.058,0.01,0.002,43.543,5480,30.0911,283.535,605,605,1,0.329,6,0,91,159,449,444,3065,5480,0,0,0,0,214,155,1367,1727,2920,2104,0,0,0,0,6.83321,6.61254,7.22607,7.31152,7.30978,7.3226,0,0,0,0,7.26159,7.48349,7.53555,7.24378,7.46889,7.31115,0,0,0,0,1.45341,1.50293,1.66299,1.94271,1.83693,1.80666,0,0,0,0,1.52785,2.14954,2.00183,1.83014,1.89834,1.77445,0,0,0,0,
