Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
cTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,SGrid,3,100,10,415810,1.66324,19186103,121781,37540,0.15016,0,0,0.012,0,0.004,0.87,0,0.038,0.926,0.006,0,0.038,0.01,0.001,33.9869,1246,32.6797,135.989,307,307,1,0.88,6,0,481,603,893,872,1246,905,0,0,0,0,366,555,1006,956,1129,988,0,0,0,0,7.05738,7.56288,7.36945,7.93316,7.08215,7.00141,0,0,0,0,7.29641,7.44041,7.21878,7.94982,7.11679,7.0014,0,0,0,0,1.74142,1.91511,1.79342,2.14237,1.68148,1.57072,0,0,0,0,1.90499,1.8522,1.77771,2.1171,1.71008,1.53202,0,0,0,0,
dTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,SGrid,3,100,10,227175,0.9087,16229650,74273,37540,0.15016,43,0,0.005,0,0.368,0.478,0,0.028,0.511,0.004,0,0.027,0.003,0,17.5,2150,73.75,262.665,90,90,1,0.481,5,5,5000,0,0,0,0,0,0,0,0,0,147,361,353,1946,2150,0,0,0,0,0,7.32286,0,0,0,0,0,0,0,0,0,7.32066,7.53812,7.45717,6.88945,7.43649,0,0,0,0,0,1.83638,0,0,0,0,0,0,0,0,0,1.82705,1.83096,1.8776,1.45513,2.02176,0,0,0,0,0,
reTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,SGrid,3,100,10,469877,1.87951,23809756,55426,37540,0.15016,0,0,0.01,0,0.002,1.011,0,0.016,1.04,0.003,0,0.015,0.007,0,36.8421,2675,65.7895,330.496,305,305,1,1.018,5,0,171,85,1175,894,2675,0,0,0,0,0,136,120,1175,894,2675,0,0,0,0,0,7.35118,7.81872,7.36536,6.89668,7.42905,0,0,0,0,0,7.30776,7.73156,7.36536,6.89668,7.42905,0,0,0,0,0,1.83509,1.92702,1.79805,1.46369,1.93736,0,0,0,0,0,1.81868,1.92055,1.79805,1.46369,1.93736,0,0,0,0,0,
cTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample2.bin,SGrid,3,100,10,22532,0.090128,8967752,288,122,0.000488,1728,2174,0.006,0,0.002,0.057,0,0.034,0.1,0,0,0.033,0.003,0.001,44.7712,2008,19.9281,156.625,307,307,1,0.06,6,0,46,24,334,41,819,2008,0,0,0,0,297,96,7,98,993,1335,0,0,0,0,5.9544,6.70717,7.32186,7.54591,6.92102,7.54784,0,0,0,0,7.37468,7.80622,7.55083,7.72316,7.35894,7.21891,0,0,0,0,0.728274,1.25402,2.01729,1.74465,1.47233,1.97568,0,0,0,0,2.00281,1.7329,1.88767,1.87817,1.77117,1.76942,0,0,0,0,
dTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample2.bin,SGrid,3,100,10,3270,0.01308,4853446,106,122,0.000488,1851,1613,0.008,0,0.008,0.014,0,0.021,0.044,0,0,0.021,0.005,0,17.6471,1445,77.9853,195.73,73,73,1,0.019,5,4,5000,0,0,0,0,0,0,0,0,0,1189,66,449,1445,0,0,0,0,0,0,7.32286,0,0,0,0,0,0,0,0,0,7.24607,0,7.49075,7.71393,7.20595,0,0,0,0,0,1.83638,0,0,0,0,0,0,0,0,0,1.75589,0,1.94928,1.85434,1.63621,0,0,0,0,0,
reTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample2.bin,SGrid,3,100,10,31018,0.124072,15437751,329,122,0.000488,154,1613,0.014,0,0.001,0.071,0,0.013,0.101,0,0,0.013,0.003,0.001,44.0789,2681,54.1645,286.962,305,305,1,0.074,5,0,36,0,1215,914,2681,0,0,0,0,0,840,0,475,207,1865,0,0,0,0,0,6.42379,0,7.3651,6.90305,7.42862,0,0,0,0,0,7.21538,0,7.52589,7.64882,7.15861,0,0,0,0,0,0.870453,0,1.78459,1.46565,1.93763,0,0,0,0,0,1.81822,0,1.95132,1.68202,1.72939,0,0,0,0,0,
cTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample3.bin,SGrid,3,100,10,9444,0.037776,5630027,801,193,0.000772,2678,1903,0.007,0,0.003,0.026,0,0.032,0.068,0,0,0.031,0.006,0,45.098,1868,17.7092,125.886,307,307,1,0.032,6,0,51,244,594,830,334,269,0,0,0,0,27,79,637,276,1868,210,0,0,0,0,7.50368,7.09509,7.11782,7.89779,6.99637,7.22659,0,0,0,0,7.50248,8.19632,7.14067,6.87331,7.49128,6.86913,0,0,0,0,1.82248,1.64284,1.50689,2.16417,1.53664,1.79505,0,0,0,0,1.95883,2.37156,1.64014,1.32797,1.99536,1.49485,0,0,0,0,
dTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample3.bin,SGrid,3,100,10,3661,0.014644,5468584,332,193,0.000772,2799,1215,0.006,0,0.01,0.015,0,0.025,0.048,0,0,0.025,0.005,0,18.3673,828,53.449,112.961,82,82,1,0.02,5,5,5000,0,0,0,0,0,0,0,0,0,197,0,1019,553,432,0,0,0,0,0,7.32286,0,0,0,0,0,0,0,0,0,7.39185,0,7.65473,7.74984,7.17727,0,0,0,0,0,1.83638,0,0,0,0,0,0,0,0,0,1.88282,0,2.12338,1.85281,1.65045,0,0,0,0,0,
reTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample3.bin,SGrid,3,100,10,23222,0.092888,17770303,32,193,0.000772,245,1215,0.007,0,0.001,0.054,0,0.016,0.078,0,0,0.015,0.003,0,46.0526,2683,56.1842,320.866,305,305,1,0.057,5,0,0,0,1175,897,2683,0,0,0,0,0,301,0,38,877,2569,0,0,0,0,0,0,0,7.36536,6.89809,7.43042,0,0,0,0,0,6.70486,0,7.6888,7.71682,7.28494,0,0,0,0,0,0,0,1.79805,1.46179,1.93594,0,0,0,0,0,1.27684,0,2.07659,1.97707,1.82723,0,0,0,0,0,
cTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample4.bin,SGrid,3,100,10,18930,0.07572,6299947,1072,157,0.000628,2023,2727,0.006,0,0.003,0.044,0,0.033,0.087,0,0,0.032,0.003,0,43.7908,1602,17.1569,118.9,307,307,1,0.047,6,0,3,63,93,813,1602,403,0,0,0,0,49,168,381,575,809,291,0,0,0,0,10.1104,6.79339,7.0178,7.19836,7.07975,7.17985,0,0,0,0,7.97405,7.01548,7.00811,6.92911,7.12615,7.09164,0,0,0,0,3.43137,0.799046,1.27919,1.52223,1.69446,1.78758,0,0,0,0,2.13312,1.71252,1.56523,1.58219,1.73353,1.63582,0,0,0,0,
