Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
cTOUCH:BU(Case4)D1,1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,2,0.00005,3478217,0,0,0,31,18,0.003,0,0.002,0.009,0,0.015,0.03,0,0,0.015,0.004,0,20.1613,830,31.8629,118.859,125,125,1,0.013,5,0,407,117,107,557,781,0,0,0,0,0,375,114,173,490,830,0,0,0,0,0,1.49269,1.51583,1.5073,1.48784,1.49924,0,0,0,0,0,1.49263,1.51428,1.50143,1.49907,1.49876,0,0,0,0,0,0.201926,0.215351,0.208722,0.197929,0.207172,0,0,0,0,0,0.201239,0.204358,0.20594,0.204855,0.200561,0,0,0,0,0
cTOUCH:TD(Case1)D1,1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,2,0.00005,704125,0,0,0,31,18,0.001,0,0.002,0.003,0.002,0.012,0.024,0,0,0.011,0.006,0,20.1613,830,31.8629,118.859,125,125,1,0.009,5,0,407,117,107,557,781,0,0,0,0,0,375,114,173,490,830,0,0,0,0,0,1.49269,1.51583,1.5073,1.48784,1.49924,0,0,0,0,0,1.49263,1.51428,1.50143,1.49907,1.49876,0,0,0,0,0,0.201926,0.215351,0.208722,0.197929,0.207172,0,0,0,0,0,0.201239,0.204358,0.20594,0.204855,0.200561,0,0,0,0,0
dTOUCH:BU(Case4)D1,1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,4,0.0001,2195200,0,0,0,114,8,0.001,0,0.004,0.009,0,0.006,0.016,0,0,0.006,0.006,0,18.1818,848,72.7727,158.083,35,35,1,0.015,4,4,2000,0,0,0,0,0,0,0,0,0,282,76,680,848,0,0,0,0,0,0,1.49549,0,0,0,0,0,0,0,0,0,1.49699,1.49787,1.49578,1.5047,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,0.194426,0.20441,0.195299,0.210533,0,0,0,0,0,0
dTOUCH:TD(Case1)D1,1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,4,0.0001,904604,0,0,0,114,8,0.001,0,0.006,0.005,0.001,0.007,0.02,0,0,0.006,0.007,0,18.1818,848,72.7727,158.083,35,35,1,0.012,4,4,2000,0,0,0,0,0,0,0,0,0,282,76,680,848,0,0,0,0,0,0,1.49549,0,0,0,0,0,0,0,0,0,1.49699,1.49787,1.49578,1.5047,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,0.194426,0.20441,0.195299,0.210533,0,0,0,0,0,0
reTOUCH:BU(Case4)D1,1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,6,0.00015,3366163,0,0,0,9,8,0,0,0,0.011,0,0.004,0.017,0,0,0.003,0.01,0.001,20.9677,951,64.2419,174.33,125,125,1,0.021,4,0,341,223,476,951,0,0,0,0,0,0,274,281,491,946,0,0,0,0,0,0,1.49655,1.50657,1.49386,1.49344,0,0,0,0,0,0,1.50759,1.50042,1.49615,1.49567,0,0,0,0,0,0,0.208811,0.207205,0.203851,0.201637,0,0,0,0,0,0,0.199585,0.202016,0.199748,0.204551,0,0,0,0,0,0
reTOUCH:TD(Case1)D1,1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,0,0,1072598,0,0,0,9,8,0.003,0,0.001,0.003,0.001,0.006,0.02,0,0,0.006,0.006,0,20.9677,951,64.2419,174.33,125,125,1,0.009,4,0,341,223,476,951,0,0,0,0,0,0,274,281,491,946,0,0,0,0,0,0,1.49655,1.50657,1.49386,1.49344,0,0,0,0,0,0,1.50759,1.50042,1.49615,1.49567,0,0,0,0,0,0,0.208811,0.207205,0.203851,0.201637,0,0,0,0,0,0,0.199585,0.202016,0.199748,0.204551,0,0,0,0,0,0
cTOUCH:BU(Case4)D1,1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,0,0,3032741,0,0,0,34,27,0.002,0,0.002,0.011,0,0.013,0.028,0,0,0.012,0.006,0,17.7419,852,31.7661,101.493,125,125,1,0.017,5,0,485,266,245,521,449,0,0,0,0,0,299,177,209,436,852,0,0,0,0,0,1.49276,1.51729,1.49252,1.49096,1.49288,0,0,0,0,0,1.49363,1.51611,1.49515,1.50433,1.5002,0,0,0,0,0,0.201042,0.207801,0.202014,0.205382,0.203847,0,0,0,0,0,0.204711,0.199457,0.206638,0.208494,0.208676,0,0,0,0,0
cTOUCH:TD(Case1)D1,1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,0,0,276982,0,0,0,34,27,0.001,0,0.001,0.005,0.002,0.011,0.025,0,0,0.01,0.005,0.001,17.7419,852,31.7661,101.493,125,125,1,0.01,5,0,485,266,245,521,449,0,0,0,0,0,299,177,209,436,852,0,0,0,0,0,1.49276,1.51729,1.49252,1.49096,1.49288,0,0,0,0,0,1.49363,1.51611,1.49515,1.50433,1.5002,0,0,0,0,0,0.201042,0.207801,0.202014,0.205382,0.203847,0,0,0,0,0,0.204711,0.199457,0.206638,0.208494,0.208676,0,0,0,0,0
dTOUCH:BU(Case4)D1,1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,0,0,2132182,0,0,0,101,17,0.001,0,0.006,0.008,0,0.007,0.017,0,0,0.006,0.006,0,18.1818,841,73.0909,148.612,35,35,1,0.014,4,4,2000,0,0,0,0,0,0,0,0,0,170,334,554,841,0,0,0,0,0,0,1.49549,0,0,0,0,0,0,0,0,0,1.50335,1.49665,1.50285,1.50076,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,0.198807,0.200957,0.201496,0.21204,0,0,0,0,0,0
dTOUCH:TD(Case1)D1,1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,0,0,951475,0,0,0,101,17,0.002,0,0.006,0.004,0.003,0.011,0.025,0,0,0.011,0.005,0,18.1818,841,73.0909,148.612,35,35,1,0.009,4,4,2000,0,0,0,0,0,0,0,0,0,170,334,554,841,0,0,0,0,0,0,1.49549,0,0,0,0,0,0,0,0,0,1.50335,1.49665,1.50285,1.50076,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,0.198807,0.200957,0.201496,0.21204,0,0,0,0,0,0
