Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
cTOUCH:BU(Case4),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,10857,0.271425,579908,2583,917,0.022925,628,1506,0.006,0,0.001,0.025,0,0.016,0.048,0,0,0.016,0.003,0,41.9355,810,15.0484,80.6796,125,125,1,0.028,5,0,81,65,82,334,810,0,0,0,0,0,122,34,62,202,74,0,0,0,0,0,11.6981,11.4401,11.5457,11.5862,11.5605,0,0,0,0,0,11.5111,12.2096,13.0313,11.7454,12.5062,0,0,0,0,0,1.18158,0.973459,1.20767,0.976289,0.952561,0,0,0,0,0,1.42651,1.4675,1.93792,0.993444,1.71622,0,0,0,0,0,
cTOUCH:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,10857,0.271425,41477,2583,917,0.022925,628,1506,0.002,0,0.001,0.024,0.024,0.015,0.045,0,0,0.015,0.002,0,41.9355,810,15.0484,80.6796,125,125,1,0.026,5,0,81,65,82,334,810,0,0,0,0,0,122,34,62,202,74,0,0,0,0,0,11.6981,11.4401,11.5457,11.5862,11.5605,0,0,0,0,0,11.5111,12.2096,13.0313,11.7454,12.5062,0,0,0,0,0,1.18158,0.973459,1.20767,0.976289,0.952561,0,0,0,0,0,1.42651,1.4675,1.93792,0.993444,1.71622,0,0,0,0,0,
dTOUCH:BU(Case4),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,11687,0.292175,304435,2526,917,0.022925,1309,1470,0.002,0,0.024,0.03,0,0.009,0.042,0,0,0.009,0.001,0,18.75,345,72.125,86.5144,26,26,1,0.031,4,3,2000,0,0,0,0,0,0,0,0,0,321,25,345,0,0,0,0,0,0,0,11.6216,0,0,0,0,0,0,0,0,0,11.9502,0,13.3167,11.9958,0,0,0,0,0,0,1.10244,0,0,0,0,0,0,0,0,0,1.20189,0,1.92821,1.26282,0,0,0,0,0,0,
dTOUCH:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,11687,0.292175,205635,2526,917,0.022925,1309,1470,0.003,0,0.026,0.03,0.027,0.006,0.042,0,0,0.006,0.003,0,18.75,345,72.125,86.5144,26,26,1,0.033,4,3,2000,0,0,0,0,0,0,0,0,0,321,25,345,0,0,0,0,0,0,0,11.6216,0,0,0,0,0,0,0,0,0,11.9502,0,13.3167,11.9958,0,0,0,0,0,0,1.10244,0,0,0,0,0,0,0,0,0,1.20189,0,1.92821,1.26282,0,0,0,0,0,0,
reTOUCH:BU(Case4),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,10578,0.26445,938740,2575,917,0.022925,227,1470,0.004,0,0,0.026,0,0.007,0.038,0,0,0.007,0.002,0.001,45.1613,1537,37.1452,203.488,125,125,1,0.028,4,0,2,0,234,1537,0,0,0,0,0,0,10,0,25,495,0,0,0,0,0,0,11.1603,0,11.4006,11.6567,0,0,0,0,0,0,13.1484,0,12.9181,11.904,0,0,0,0,0,0,0.827305,0,0.824846,1.12632,0,0,0,0,0,0,2.38887,0,1.71611,1.42807,0,0,0,0,0,0,
reTOUCH:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,10578,0.26445,796082,2575,917,0.022925,227,1470,0.003,0,0.001,0.023,0.023,0.005,0.034,0,0,0.005,0.002,0,45.1613,1537,37.1452,203.488,125,125,1,0.025,4,0,2,0,234,1537,0,0,0,0,0,0,10,0,25,495,0,0,0,0,0,0,11.1603,0,11.4006,11.6567,0,0,0,0,0,0,13.1484,0,12.9181,11.904,0,0,0,0,0,0,0.827305,0,0.824846,1.12632,0,0,0,0,0,0,2.38887,0,1.71611,1.42807,0,0,0,0,0,0,
cTOUCH:BU(Case4),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,3,100,100,0,0,430,0,0,0,1570,1999,0.003,0,0.001,0.001,0,0.012,0.017,0,0,0.012,0.001,0,49.1935,383,3.47581,34.4778,125,125,1,0.002,5,0,0,0,0,47,383,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.4809,11.8055,0,0,0,0,0,0,0,0,0,12.0265,0,0,0,0,0,0,0,0,0.838488,1.32076,0,0,0,0,0,0,0,0,0,1.1479,0,0,0,0,0,
cTOUCH:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,3,100,100,0,0,0,0,0,0,1570,1999,0.003,0,0.001,0,0,0.012,0.016,0,0,0.012,0,0,49.1935,383,3.47581,34.4778,125,125,1,0,5,0,0,0,0,47,383,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.4809,11.8055,0,0,0,0,0,0,0,0,0,12.0265,0,0,0,0,0,0,0,0,0.838488,1.32076,0,0,0,0,0,0,0,0,0,1.1479,0,0,0,0,0,
dTOUCH:BU(Case4),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,3,100,100,0,0,0,0,0,0,2000,1999,0.002,0,0,0.003,0,0.006,0.011,0,0,0.006,0.003,0,0,100,0.5,0.5,22,22,1,0.006,4,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6216,0,0,0,0,0,0,0,0,0,12.0265,0,0,0,0,0,0,0,0,0,1.10244,0,0,0,0,0,0,0,0,0,1.1479,0,0,0,0,0,0,0,0,0,
dTOUCH:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,3,100,100,0,0,0,0,0,0,2000,1999,0.003,0,0,0,0,0.009,0.016,0,0,0.009,0.003,0,0,100,0.5,0.5,22,22,1,0.003,4,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6216,0,0,0,0,0,0,0,0,0,12.0265,0,0,0,0,0,0,0,0,0,1.10244,0,0,0,0,0,0,0,0,0,1.1479,0,0,0,0,0,0,0,0,0,
