Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 stdl0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
TOUCH,10,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample1.bin,,3,100,100,17144,0.4286,2608700,14920,2026,0.05065,0,0,0.004,0,0,0.02,0.015,0.005,0.03,0,0,0.004,0.005,41.9355,1053,64.5161,192.937,19,19,500,0.025251,248,448,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
cTOUCH,10,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample1.bin,,3,100,100,17131,0.428275,81463,14920,2026,0.05065,0,0,0.003,0,0.003,0.015,0.014,0.015,0.043,0,0,0.014,0.007,32.2581,958,64.5161,142.882,125,125,500,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
dTOUCH,10,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample1.bin,,3,100,100,17143,0.428575,4490,14920,2026,0.05065,89,0,0.003,0,0.016,0.018,0.018,0.006,0.04,0,0,0.005,0.011,21.4286,986,45.5,154.685,105,105,500,0.029251,248,140,86,0,0,0,0,0,0,606,581,377,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
reTOUCH,10,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample1.bin,,3,100,100,17139,0.428475,1269315,14920,2026,0.05065,0,0,0.002,0,0.001,0.015,0.014,0.004,0.032,0.002,0,0.003,0.008,100,1053,129.032,157.282,125,125,500,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
rereTOUCH,10,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample1.bin,,3,100,100,17140,0.4285,1195056,14920,2026,0.05065,0,0,0.003,0,0.002,0.015,0.015,0.004,0.031,0,0,0.003,0.007,141.935,1011,129.032,149.78,125,125,500,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TOUCH,10,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample2.bin,,3,100,100,250,0.00625,2587100,39,14,0.00035,2,0,0.004,0,0,0.007,0.004,0.01,0.022,0,0,0.01,0.003,41.9355,1041,64.4516,191.459,19,19,500,0.01263,243,451,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
cTOUCH,10,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample2.bin,,3,100,100,256,0.0064,95020,41,14,0.00035,0,2,0.007,0,0.002,0.004,0.002,0.01,0.03,0,0,0.008,0.007,33.871,685,64.4839,121.355,125,125,500,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
dTOUCH,10,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample2.bin,,3,100,100,250,0.00625,4975,39,14,0.00035,21,2,0.003,0,0.01,0.005,0.003,0.008,0.028,0,0,0.008,0.01,26.1905,986,47.119,187.585,105,105,500,0.015263,243,124,85,0,0,0,0,0,0,336,399,888,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
reTOUCH,10,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample2.bin,,3,100,100,242,0.00605,1254322,39,14,0.00035,8,2,0.003,0,0.002,0.003,0.003,0.004,0.022,0.002,0,0.004,0.009,100,1041,128.71,155.706,125,125,500,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
rereTOUCH,10,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample2.bin,,3,100,100,264,0.0066,1171412,37,14,0.00035,8,17,0.003,0,0.002,0.003,0.002,0.005,0.021,0,0,0.004,0.008,145.161,1003,128.226,148.71,125,125,500,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
