Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
reTOUCH,5,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample2.bin,SGrid,3,100,100,38,0.00095,1214577,9,3,7.5e-05,27,5,0.003,0,0.001,0.003,0.003,0.005,1.134,0,0,0.005,1.121,0.001,17.7419,1022,64,186.242,125,125,500,1.124,4,0,300,212,463,998,0,0,0,0,0,0,286,246,441,1022,0,0,0,0,0,0,0.135262,0.12859,0.124543,0.126284,0,0,0,0,0,0,0.128231,0.118801,0.126394,0.119189,0,0,0,0,0,0,0.112849,0.0976436,0.0886061,0.0968851,0,0,0,0,0,0,0.0907274,0.09104,0.100902,0.0931697,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample2.bin,SGrid,3,100,100,60,0.0015,1177666,17,3,7.5e-05,27,47,0.007,0,0.002,0.003,0.001,0.004,0.408,0,0,0.004,0.391,0,24.1935,998,63.3226,183.72,125,125,500,0.394,4,0,300,212,463,998,0,0,0,0,0,0,313,195,463,982,0,0,0,0,0,0,0.135262,0.12859,0.124543,0.126284,0,0,0,0,0,0,0.125867,0.120684,0.126729,0.11953,0,0,0,0,0,0,0.112849,0.0976436,0.0886061,0.0968851,0,0,0,0,0,0,0.0897513,0.0964948,0.10046,0.0934838,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample3.bin,SGrid,3,100,100,56,0.0014,1204446,13,3,7.5e-05,15,9,0.003,0,0.002,0.003,0.003,0.01,0.408,0,0,0.009,0.388,0.001,19.3548,1027,64.129,185.102,125,125,500,0.391,4,0,389,154,463,979,0,0,0,0,0,0,281,250,433,1027,0,0,0,0,0,0,0.131562,0.130975,0.124227,0.127037,0,0,0,0,0,0,0.12924,0.119755,0.122819,0.127132,0,0,0,0,0,0,0.109893,0.0967588,0.0893797,0.0972545,0,0,0,0,0,0,0.091116,0.090847,0.0948803,0.0990007,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample3.bin,SGrid,3,100,100,50,0.00125,1151109,21,3,7.5e-05,15,46,0.006,0,0.001,0.003,0.003,0.005,0.426,0,0.001,0.005,0.409,0,22.5806,979,63.5323,181.389,125,125,500,0.412,4,0,389,154,463,979,0,0,0,0,0,0,391,145,446,972,0,0,0,0,0,0,0.131562,0.130975,0.124227,0.127037,0,0,0,0,0,0,0.124263,0.121165,0.125363,0.127109,0,0,0,0,0,0,0.109893,0.0967588,0.0893797,0.0972545,0,0,0,0,0,0,0.0945535,0.0881669,0.0959778,0.0981991,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample2.bin,./samples/2000/sample3.bin,SGrid,3,100,100,49,0.001225,3998000,2,5,0.000125,0,0,0.005,0,0.001,0.002,0.001,0.005,0.39,0,0,0.005,0.376,0,46.7742,2000,64.5161,353.278,125,125,500,0.378,4,0,0,0,0,2000,0,0,0,0,0,0,1,0,0,1999,0,0,0,0,0,0,0,0,0,0.121932,0,0,0,0,0,0,0.125614,0,0,0.125621,0,0,0,0,0,0,0,0,0,0.0943521,0,0,0,0,0,0,0,0,0,0.0962785,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample2.bin,./samples/2000/sample3.bin,SGrid,3,100,100,47,0.001175,4000000,2,5,0.000125,0,0,0.004,0,0.001,0.003,0.001,0.01,0.025,0.002,0,0.01,0.005,0,48.3871,2000,64.5161,353.369,125,125,500,0.008,4,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0.121932,0,0,0,0,0,0,0,0,0,0.125621,0,0,0,0,0,0,0,0,0,0.0943521,0,0,0,0,0,0,0,0,0,0.0962545,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample4.bin,SGrid,3,100,100,43,0.001075,1260596,7,3,7.5e-05,13,7,0.006,0,0.001,0.003,0.003,0.005,1.136,0,0,0.005,1.119,0.001,17.7419,1056,64.1935,190.472,125,125,500,1.122,4,0,284,236,453,1014,0,0,0,0,0,0,253,239,445,1056,0,0,0,0,0,0,0.13328,0.129076,0.123967,0.1274,0,0,0,0,0,0,0.120135,0.121794,0.123212,0.124169,0,0,0,0,0,0,0.111499,0.0962431,0.0888961,0.0983249,0,0,0,0,0,0,0.092734,0.0878426,0.0939802,0.101496,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample4.bin,SGrid,3,100,100,50,0.00125,1238648,9,3,7.5e-05,13,27,0.007,0.001,0.002,0.002,0.002,0.008,0.033,0,0,0.007,0.013,0,27.4194,1030,63.871,188.822,125,125,500,0.015,4,0,284,236,453,1014,0,0,0,0,0,0,265,216,462,1030,0,0,0,0,0,0,0.13328,0.129076,0.123967,0.1274,0,0,0,0,0,0,0.116666,0.127807,0.122093,0.124403,0,0,0,0,0,0,0.111499,0.0962431,0.0888961,0.0983249,0,0,0,0,0,0,0.0918183,0.0873795,0.0952229,0.101552,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample2.bin,./samples/2000/sample4.bin,SGrid,3,100,100,75,0.001875,3998000,18,7,0.000175,0,0,0.006,0,0.001,0.002,0.001,0.006,0.401,0,0,0.005,0.385,0,46.7742,2000,64.5161,353.278,125,125,500,0.387,4,0,0,0,0,2000,0,0,0,0,0,0,1,0,0,1999,0,0,0,0,0,0,0,0,0,0.121932,0,0,0,0,0,0,0.207616,0,0,0.123174,0,0,0,0,0,0,0,0,0,0.0943521,0,0,0,0,0,0,0,0,0,0.0972873,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample2.bin,./samples/2000/sample4.bin,SGrid,3,100,100,75,0.001875,4000000,18,7,0.000175,0,0,0.005,0,0.001,0.002,0.001,0.004,0.016,0,0,0.004,0.003,0,48.3871,2000,64.5161,353.369,125,125,500,0.005,4,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0.121932,0,0,0,0,0,0,0,0,0,0.123216,0,0,0,0,0,0,0,0,0,0.0943521,0,0,0,0,0,0,0,0,0,0.0972813,0,0,0,0,0,0,
