Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
reTOUCH,5,2000,2000,./samples/2000/sample2.bin,./samples/2000/sample1.bin,SGrid,3,100,100,49,0.001225,3994000,13,3,7.5e-05,0,0,0.007,0,0.001,0.002,0.001,0.005,1.127,0,0,0.004,1.111,0,43.5484,2000,64.5161,353.096,125,125,500,1.113,4,0,0,0,0,2000,0,0,0,0,0,0,1,1,1,1997,0,0,0,0,0,0,0,0,0,0.121932,0,0,0,0,0,0,0.0933417,0.0768613,0.0743643,0.127611,0,0,0,0,0,0,0,0,0,0.0943521,0,0,0,0,0,0,0,0,0,0.0980568,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample2.bin,./samples/2000/sample1.bin,SGrid,3,100,100,42,0.00105,4000000,9,3,7.5e-05,0,0,0.002,0,0.001,0.004,0.002,0.005,0.018,0,0,0.004,0.005,0,48.3871,2000,64.5161,353.369,125,125,500,0.009,4,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0.121932,0,0,0,0,0,0,0,0,0,0.127542,0,0,0,0,0,0,0,0,0,0.0943521,0,0,0,0,0,0,0,0,0,0.098,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample3.bin,./samples/2000/sample1.bin,SGrid,3,100,100,45,0.001125,2236922,7,3,7.5e-05,0,3,0.004,0,0.001,0.002,0.001,0.004,0.402,0.002,0,0.004,0.389,0.001,38.7097,1429,64.4677,260.403,125,125,500,0.391,4,0,80,59,432,1429,0,0,0,0,0,0,85,34,461,1417,0,0,0,0,0,0,0.128882,0.129032,0.121172,0.126643,0,0,0,0,0,0,0.140547,0.116902,0.124404,0.128081,0,0,0,0,0,0,0.0851673,0.0859276,0.0950941,0.0975409,0,0,0,0,0,0,0.11712,0.101688,0.0879701,0.0997159,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample3.bin,./samples/2000/sample1.bin,SGrid,3,100,100,48,0.0012,2213421,7,3,7.5e-05,0,3,0.002,0,0.002,0.002,0.002,0.004,0.39,0,0,0.004,0.379,0,41.9355,1429,64.4677,258.878,125,125,500,0.381,4,0,80,59,432,1429,0,0,0,0,0,0,80,49,473,1395,0,0,0,0,0,0,0.128882,0.129032,0.121172,0.126643,0,0,0,0,0,0,0.135567,0.134226,0.12414,0.128044,0,0,0,0,0,0,0.0851673,0.0859276,0.0950941,0.0975409,0,0,0,0,0,0,0.110689,0.119599,0.0881372,0.0995663,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample3.bin,./samples/2000/sample2.bin,SGrid,3,100,100,52,0.0013,2249543,8,5,0.000125,0,3,0.003,0,0.001,0.003,0.002,0.005,0.02,0,0,0.004,0.007,0,40.3226,1429,64.4677,261.16,125,125,500,0.01,4,0,83,55,433,1429,0,0,0,0,0,0,79,27,467,1424,0,0,0,0,0,0,0.129921,0.12675,0.121054,0.126712,0,0,0,0,0,0,0.128472,0.126911,0.123004,0.121219,0,0,0,0,0,0,0.0840671,0.0871282,0.0951402,0.0975344,0,0,0,0,0,0,0.0850369,0.0883093,0.0986586,0.0935268,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample3.bin,./samples/2000/sample2.bin,SGrid,3,100,100,51,0.001275,2226738,5,5,0.000125,0,3,0.003,0,0.002,0.003,0.002,0.004,0.019,0,0,0.004,0.007,0,41.9355,1429,64.4677,259.56,125,125,500,0.01,4,0,83,55,433,1429,0,0,0,0,0,0,76,38,483,1400,0,0,0,0,0,0,0.129921,0.12675,0.121054,0.126712,0,0,0,0,0,0,0.121472,0.153247,0.124693,0.120252,0,0,0,0,0,0,0.0840671,0.0871282,0.0951402,0.0975344,0,0,0,0,0,0,0.0810667,0.102564,0.0983678,0.0932396,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample4.bin,./samples/2000/sample1.bin,SGrid,3,100,100,62,0.00155,1178266,11,3,7.5e-05,9,2,0.002,0,0.002,0.003,0.003,0.004,0.403,0,0,0.004,0.391,0,20.9677,991,64.3387,182.863,125,125,500,0.394,4,0,362,148,490,991,0,0,0,0,0,0,349,212,452,985,0,0,0,0,0,0,0.121759,0.114194,0.125999,0.124006,0,0,0,0,0,0,0.131802,0.132191,0.123352,0.127023,0,0,0,0,0,0,0.0936794,0.077359,0.097699,0.101109,0,0,0,0,0,0,0.100157,0.11478,0.0902022,0.09672,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample4.bin,./samples/2000/sample1.bin,SGrid,3,100,100,55,0.001375,1150429,7,3,7.5e-05,9,15,0.003,0,0.002,0.004,0.004,0.006,0.027,0,0,0.005,0.011,0,22.5806,991,64.129,180.937,125,125,500,0.015,4,0,362,148,490,991,0,0,0,0,0,0,394,152,489,950,0,0,0,0,0,0,0.121759,0.114194,0.125999,0.124006,0,0,0,0,0,0,0.129122,0.132323,0.123756,0.12763,0,0,0,0,0,0,0.0936794,0.077359,0.097699,0.101109,0,0,0,0,0,0,0.10142,0.109002,0.0933933,0.0971318,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample4.bin,./samples/2000/sample2.bin,SGrid,3,100,100,81,0.002025,1175253,40,7,0.000175,9,3,0.002,0,0.001,0.003,0.002,0.003,0.77,0,0,0.003,0.76,0,19.3548,991,64.3226,182.545,125,125,500,0.763,4,0,391,128,481,991,0,0,0,0,0,0,344,226,449,978,0,0,0,0,0,0,0.12105,0.118916,0.12537,0.123958,0,0,0,0,0,0,0.119154,0.125657,0.127138,0.119675,0,0,0,0,0,0,0.0926403,0.0845984,0.0967034,0.100908,0,0,0,0,0,0,0.0867601,0.0924443,0.101173,0.0940782,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample4.bin,./samples/2000/sample2.bin,SGrid,3,100,100,76,0.0019,1139969,39,7,0.000175,9,15,0.003,0,0.002,0.003,0.002,0.005,0.4,0,0,0.004,0.387,0,22.5806,991,64.129,179.904,125,125,500,0.39,4,0,391,128,481,991,0,0,0,0,0,0,397,149,507,932,0,0,0,0,0,0,0.12105,0.118916,0.12537,0.123958,0,0,0,0,0,0,0.124916,0.122268,0.124552,0.118988,0,0,0,0,0,0,0.0926403,0.0845984,0.0967034,0.100908,0,0,0,0,0,0,0.0894615,0.091946,0.0979043,0.0946075,0,0,0,0,0,0,
