Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
reTOUCH,1,2000,2000,./samplesDendrites/2000/sample1.bin,./samplesAxons/2000/sample1.bin,SGrid,3,100,100,36600,0.915,210360,36582,13,0.000325,1517,1503,0.008,0,0.002,0.088,0.087,0.006,0.801,0,0,0.005,0.696,0,40.3226,462,15.8065,80.9191,125,125,500,0.784,4,0,22,6,0,455,0,0,0,0,0,0,5,10,20,462,0,0,0,0,0,0,2.01678,105.96,0,6.50418,0,0,0,0,0,0,38.7182,34.9906,15.0772,14.0401,0,0,0,0,0,0,2.08588,15.9195,0,20.3697,0,0,0,0,0,0,31.1046,48.3832,10.6063,43.9712,0,0,0,0,0,0,
rereTOUCH,1,2000,2000,./samplesDendrites/2000/sample1.bin,./samplesAxons/2000/sample1.bin,SGrid,3,100,100,22781,0.569525,186179,22044,13,0.000325,1517,1588,0.013,0,0.002,0.066,0.066,0.007,0.397,0,0,0.007,0.307,0.001,46.7742,455,14.4355,76.4025,125,125,500,0.373,4,0,22,6,0,455,0,0,0,0,0,0,3,0,0,409,0,0,0,0,0,0,2.01678,105.96,0,6.50418,0,0,0,0,0,0,108.086,0,0,15.8659,0,0,0,0,0,0,2.08588,15.9195,0,20.3697,0,0,0,0,0,0,12.6094,0,0,46.4421,0,0,0,0,0,0,
reTOUCH,1,2000,2000,./samplesDendrites/2000/sample1.bin,./samplesAxons/2000/sample2.bin,SGrid,3,100,100,0,0,0,0,0,0,2000,1999,0.008,0,0.002,0,0,0.007,0.401,0,0,0.007,0.384,0,48.3871,1,0.016129,0.125972,125,125,500,0.384,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
rereTOUCH,1,2000,2000,./samplesDendrites/2000/sample1.bin,./samplesAxons/2000/sample2.bin,SGrid,3,100,100,0,0,0,0,0,0,2000,2000,0.005,0,0.002,0,0,0.006,0.013,0,0,0.005,0,0,50,0,0,0,125,125,500,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
reTOUCH,1,2000,2000,./samplesDendrites/2000/sample1.bin,./samplesAxons/2000/sample3.bin,SGrid,3,100,100,0,0,13805,0,0,0,1749,1698,0.007,0,0.002,0.001,0,0.008,0.03,0,0,0.007,0.01,0.001,43.5484,251,8.91935,39.105,125,125,500,0.011,4,0,0,0,0,251,0,0,0,0,0,0,201,0,46,55,0,0,0,0,0,0,0,0,0,2.99456,0,0,0,0,0,0,14.8463,0,62.4659,11.0407,0,0,0,0,0,0,0,0,0,3.89376,0,0,0,0,0,0,30.0331,0,97.9324,12.7788,0,0,0,0,0,0,
rereTOUCH,1,2000,2000,./samplesDendrites/2000/sample1.bin,./samplesAxons/2000/sample3.bin,SGrid,3,100,100,0,0,8785,0,0,0,1749,1965,0.007,0,0.003,0.001,0.001,0.008,0.022,0,0,0.008,0.003,0,48.3871,251,4.6129,31.8532,125,125,500,0.004,4,0,0,0,0,251,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,2.99456,0,0,0,0,0,0,0,0,0,12.8236,0,0,0,0,0,0,0,0,0,3.89376,0,0,0,0,0,0,0,0,0,11.0798,0,0,0,0,0,0,
reTOUCH,1,2000,2000,./samplesDendrites/2000/sample1.bin,./samplesAxons/2000/sample4.bin,SGrid,3,100,100,0,0,0,0,0,0,2000,1993,0.005,0,0.003,0,0,0.007,0.344,0,0,0.007,0.328,0,46.7742,5,0.112903,0.674533,125,125,500,0.328,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988507,0,0,0,0,0,0,0,0,0,
rereTOUCH,1,2000,2000,./samplesDendrites/2000/sample1.bin,./samplesAxons/2000/sample4.bin,SGrid,3,100,100,0,0,0,0,0,0,2000,2000,0.007,0,0.002,0,0,0.008,0.017,0,0,0.008,0,0,50,0,0,0,125,125,500,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
reTOUCH,1,2000,2000,./samplesDendrites/2000/sample1.bin,./samplesAxons/2000/sample5.bin,SGrid,3,100,100,0,0,0,0,0,0,2000,2000,0.006,0,0.002,0,0,0.008,0.018,0,0,0.007,0,0,50,0,0,0,125,125,500,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
rereTOUCH,1,2000,2000,./samplesDendrites/2000/sample1.bin,./samplesAxons/2000/sample5.bin,SGrid,3,100,100,0,0,0,0,0,0,2000,2000,0.01,0,0.002,0,0,0.006,0.019,0,0,0.005,0,0,50,0,0,0,125,125,500,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
