Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
TOUCH,5,2000,2000,./samplesAxons/2000/sample1.bin,./samplesDendrites/2000/sample1.bin,SGrid,3,100,100,2960,0.074,2901800,607,158,0.00395,170,0,0.014,0,0.002,0.012,0.009,0.007,0.037,0,0,0.007,0.003,0.001,50,1156,29.5161,166.032,5,5,500,0.015,4,0,21,0,653,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95641,0,5.95243,5.44899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6729,0,19.5678,16.8681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cTOUCH,5,2000,2000,./samplesAxons/2000/sample1.bin,./samplesDendrites/2000/sample1.bin,SGrid,3,100,100,370321,9.25802,19665,344191,158,0.00395,1567,698,0.01,0,0.004,0.829,0.829,0.012,3.641,0.008,0,0.011,2.781,0.001,38.7097,789,13.9919,79.0902,125,125,500,3.61,5,0,75,30,34,236,58,0,0,0,0,0,63,65,44,341,789,0,0,0,0,0,10.818,33.0699,7.99442,9.30215,21.7916,0,0,0,0,0,4.20983,10.7127,12.8075,6.07935,3.95691,0,0,0,0,0,18.1595,49.9722,6.46901,22.2826,46.3872,0,0,0,0,0,7.28745,35.597,26.1343,19.2649,6.27053,0,0,0,0,0,
dTOUCH,5,2000,2000,./samplesAxons/2000/sample1.bin,./samplesDendrites/2000/sample1.bin,SGrid,3,100,100,9048,0.2262,1292,6596,158,0.00395,1452,170,0.008,0,0.112,0.032,0.031,0.011,0.474,0,0,0.01,0.419,0,50,279,10.96,46.6626,113,113,500,0.451,4,4,21,0,187,88,0,0,0,0,0,0,86,0,279,183,0,0,0,0,0,0,4.95641,0,4.33228,4.40805,0,0,0,0,0,0,8.53249,0,20.1836,10.5422,0,0,0,0,0,0,6.6729,0,13.0077,5.57887,0,0,0,0,0,0,8.34028,0,53.8175,29.408,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samplesAxons/2000/sample1.bin,./samplesDendrites/2000/sample1.bin,SGrid,3,100,100,7533,0.188325,506578,4850,158,0.00395,1420,170,0.006,0,0.002,0.022,0.021,0.006,0.512,0,0,0.006,0.475,0.001,43.5484,1156,38.871,172.545,125,125,500,0.497,4,0,0,0,354,226,0,0,0,0,0,0,21,0,653,1156,0,0,0,0,0,0,0,0,19.174,7.19993,0,0,0,0,0,0,4.95641,0,5.95243,5.44899,0,0,0,0,0,0,0,0,50.1562,18.501,0,0,0,0,0,0,6.6729,0,19.5678,16.8681,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samplesAxons/2000/sample1.bin,./samplesDendrites/2000/sample1.bin,SGrid,3,100,100,6481,0.162025,316940,4374,158,0.00395,1420,1310,0.006,0,0.004,0.023,0.023,0.006,0.062,0,0,0.006,0.022,0.001,46.7742,575,20.4839,89.2828,125,125,500,0.045,4,0,0,0,354,226,0,0,0,0,0,0,0,0,575,115,0,0,0,0,0,0,0,0,19.174,7.19993,0,0,0,0,0,0,0,0,6.53196,4.53756,0,0,0,0,0,0,0,0,50.1562,18.501,0,0,0,0,0,0,0,0,20.9122,5.90175,0,0,0,0,0,0,
TOUCH,5,2000,2000,./samplesAxons/2000/sample2.bin,./samplesDendrites/2000/sample1.bin,SGrid,3,100,100,0,0,2458600,0,0,0,573,0,0.006,0,0.001,0.004,0.002,0.01,0.021,0,0,0.009,0.002,0,50,1109,23.0161,142.998,5,5,500,0.006,4,0,57,0,261,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31594,0,5.84648,5.30717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05816,0,18.7464,16.9499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cTOUCH,5,2000,2000,./samplesAxons/2000/sample2.bin,./samplesDendrites/2000/sample1.bin,SGrid,3,100,100,0,0,0,0,0,0,1999,1445,0.013,0.001,0.003,0.001,0,0.017,0.55,0,0,0.016,0.515,0,47.5806,497,4.48387,44.5893,125,125,500,0.516,5,0,0,1,0,0,0,0,0,0,0,0,16,0,0,42,497,0,0,0,0,0,0,4.96222,0,0,0,0,0,0,0,0,4.90789,0,0,3.1797,6.03835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73594,0,0,4.07271,22.9699,0,0,0,0,0,
dTOUCH,5,2000,2000,./samplesAxons/2000/sample2.bin,./samplesDendrites/2000/sample1.bin,SGrid,3,100,100,0,0,200,0,0,0,1989,573,0.005,0,0.198,0.001,0,0.009,0.388,0,0.041,0.008,0.328,0,50,81,0.261905,1.52845,105,105,500,0.329,4,4,57,0,70,81,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,3.31594,0,9.17213,5.01587,0,0,0,0,0,0,4.97045,0,14.1343,5.01587,0,0,0,0,0,0,4.05816,0,32.7249,10.2531,0,0,0,0,0,0,2.76233,0,-nan,10.2531,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samplesAxons/2000/sample2.bin,./samplesDendrites/2000/sample1.bin,SGrid,3,100,100,0,0,11351,0,0,0,1989,573,0.01,0,0.002,0.002,0,0.008,0.647,0,0,0.008,0.623,0.001,43.5484,1109,23.1935,142.975,125,125,500,0.625,4,0,0,0,1,10,0,0,0,0,0,0,57,0,261,1109,0,0,0,0,0,0,0,0,4.96222,4.63886,0,0,0,0,0,0,3.31594,0,5.84648,5.30717,0,0,0,0,0,0,0,0,0,3.22661,0,0,0,0,0,0,4.05816,0,18.7464,16.9499,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samplesAxons/2000/sample2.bin,./samplesDendrites/2000/sample1.bin,SGrid,3,100,100,0,0,0,0,0,0,1989,2000,0.006,0,0.003,0,0,0.006,0.597,0,0,0.006,0.581,0,50,10,0.177419,1.26394,125,125,500,0.581,4,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96222,4.63886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
