Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
TOUCH,10,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample1.bin,SGrid,3,100,100,17144,0.4286,2608700,14920,2026,0.05065,0,0,0.005,0,0,0.018,0.014,0.009,0.033,0.002,0,0.008,0.003,0,50,1053,32.2581,140.189,19,19,500,0.021,4,0,251,248,448,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1329,0.128795,0.124932,0.12708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109888,0.101207,0.0884515,0.0980384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cTOUCH,10,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample1.bin,SGrid,3,100,100,3232250,80.8063,81463,3229910,2026,0.05065,0,0,0.003,0,0.003,2.607,2.602,0.015,4.252,0.024,0,0.014,1.609,0.001,16.129,522,32.2581,72.2031,125,125,500,4.216,5,0,559,239,225,642,335,0,0,0,0,0,636,323,247,509,285,0,0,0,0,0,0.131879,0.131768,0.117348,0.127925,0.123403,0,0,0,0,0,0.130547,0.13015,0.12712,0.125338,0.122183,0,0,0,0,0,0.107387,0.0979681,0.0930478,0.0959674,0.0874692,0,0,0,0,0,0.105448,0.101694,0.0933486,0.0932869,0.0877642,0,0,0,0,0
dTOUCH,10,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample1.bin,SGrid,3,100,100,2624512,65.6128,4490,2622217,2026,0.05065,89,0,0.002,0,2.213,2.443,2.44,0.006,4.037,0.064,0,0.006,1.553,0,50,986,45.5,154.685,105,105,500,3.996,4,4,251,248,140,86,0,0,0,0,0,0,355,333,237,986,0,0,0,0,0,0,0.1329,0.128795,0.1109,0.131443,0,0,0,0,0,0,0.123753,0.127319,0.133916,0.126359,0,0,0,0,0,0,0.109888,0.101207,0.0821391,0.105291,0,0,0,0,0,0,0.0959984,0.0955299,0.10587,0.097041,0,0,0,0,0,0
reTOUCH,10,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample1.bin,SGrid,3,100,100,1093931,27.3483,1269315,1091678,2026,0.05065,0,0,0.006,0,0.001,0.898,0.896,0.007,1.689,0.01,0,0.007,0.77,0.001,20.9677,1053,64.5161,189.928,125,125,500,1.668,4,0,299,221,469,1011,0,0,0,0,0,0,251,248,448,1053,0,0,0,0,0,0,0.134296,0.126912,0.124398,0.127141,0,0,0,0,0,0,0.1329,0.128795,0.124932,0.12708,0,0,0,0,0,0,0.11058,0.0964695,0.0897896,0.0979284,0,0,0,0,0,0,0.109888,0.101207,0.0884515,0.0980384,0,0,0,0,0,0
rereTOUCH,10,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample1.bin,SGrid,3,100,100,1094674,27.3668,1195056,1092372,2026,0.05065,0,0,0.002,0,0.002,0.93,0.93,0.006,1.721,0.01,0,0.006,0.774,0,20.9677,1011,64.5161,184.319,125,125,500,1.704,4,0,299,221,469,1011,0,0,0,0,0,0,321,223,476,980,0,0,0,0,0,0,0.134296,0.126912,0.124398,0.127141,0,0,0,0,0,0,0.136044,0.126695,0.122936,0.127187,0,0,0,0,0,0,0.11058,0.0964695,0.0897896,0.0979284,0,0,0,0,0,0,0.110828,0.0963143,0.0894931,0.0976806,0,0,0,0,0,0
TOUCH,10,2000,2000,./samples/2000/sample2.bin,./samples/2000/sample1.bin,SGrid,3,100,100,271,0.006775,4000000,37,14,0.00035,0,0,0.003,0,0,0.006,0.001,0.007,0.017,0,0,0.006,0.005,0,50,2000,32.2581,251.944,2,2,500,0.011,4,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cTOUCH,10,2000,2000,./samples/2000/sample2.bin,./samples/2000/sample1.bin,SGrid,3,100,100,803,0.020075,92125,448,14,0.00035,0,0,0.002,0,0.004,0.019,0.018,0.012,1.996,0,0,0.01,1.959,0,17.7419,358,32.2581,61.7197,125,125,500,1.978,5,0,537,337,279,493,354,0,0,0,0,0,560,326,382,448,284,0,0,0,0,0,0.125467,0.121649,0.129862,0.113355,0.122532,0,0,0,0,0,0.128666,0.128638,0.129369,0.129325,0.118798,0,0,0,0,0,0.0937917,0.0908422,0.104388,0.0886378,0.0969225,0,0,0,0,0,0.0992282,0.101635,0.0978621,0.101033,0.0853674,0,0,0,0,0
dTOUCH,10,2000,2000,./samples/2000/sample2.bin,./samples/2000/sample1.bin,SGrid,3,100,100,4258,0.10645,3763,2592,14,0.00035,4,0,0.002,0,1.133,0.365,0.363,0.007,1.162,0,0,0.007,0.785,0.001,50,583,33.2667,106.768,123,123,500,1.15,4,4,0,0,0,155,0,0,0,0,0,0,342,272,815,567,0,0,0,0,0,0,0,0,0,0.126943,0,0,0,0,0,0,0.122516,0.124749,0.123042,0.118958,0,0,0,0,0,0,0,0,0,0.105535,0,0,0,0,0,0,0.0927684,0.0870202,0.0966937,0.0961267,0,0,0,0,0,0
reTOUCH,10,2000,2000,./samples/2000/sample2.bin,./samples/2000/sample1.bin,SGrid,3,100,100,326,0.00815,4000000,57,14,0.00035,0,0,0.002,0,0,0.004,0.002,0.004,0.02,0,0,0.004,0.009,0.001,48.3871,2000,64.5161,353.369,125,125,500,0.013,4,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0.121932,0,0,0,0,0,0,0,0,0,0.127542,0,0,0,0,0,0,0,0,0,0.0943521,0,0,0,0,0,0,0,0,0,0.098,0,0,0,0,0,0
rereTOUCH,10,2000,2000,./samples/2000/sample2.bin,./samples/2000/sample1.bin,SGrid,3,100,100,326,0.00815,4000000,57,14,0.00035,0,0,0.002,0,0,0.005,0.003,0.004,0.022,0,0,0.003,0.009,0.001,48.3871,2000,64.5161,353.369,125,125,500,0.014,4,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0.121932,0,0,0,0,0,0,0,0,0,0.127542,0,0,0,0,0,0,0,0,0,0.0943521,0,0,0,0,0,0,0,0,0,0.098,0,0,0,0,0,0
