Filename, Average, Standard deviation, Minimum, Maximum
./samples/4000/sample1.bin,0.124756,9.96371,0.0014328,0.624025
./samples/4000/sample2.bin,0.124392,9.96611,0.000506962,0.721026
./samples/4000/sample3.bin,0.124253,9.85423,0.000558841,0.658012
./samples/4000/sample4.bin,0.123611,9.80956,0.000197009,0.643113
./samples/4000/sample5.bin,0.126221,10.0084,0.000137682,0.714705
./samples/4000/sample6.bin,0.123906,9.80224,0.000521868,0.650324
./samples/4000/sample7.bin,0.127229,10.1227,0.000149872,0.638652
./samples/4000/sample8.bin,0.126215,10.0818,0.000609531,0.766879
./samples/4000/sample9.bin,0.125569,10.0087,0.00058765,0.680668
./samples/4000/sample10.bin,0.124587,9.97945,0.000278337,0.801626
