Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
TOUCH:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,21283,0.532075,1013500,11673,917,0.022925,0,1470,0.007,0,0,0.054,0.05,0.009,0.07,0,0,0.008,0.004,0,45.1613,495,40.8065,74.326,23,23,1,0.058,4,0,2000,0,0,0,0,0,0,0,0,0,10,0,25,495,0,0,0,0,0,0,11.6216,0,0,0,0,0,0,0,0,0,13.1484,0,12.9181,11.904,0,0,0,0,0,0,1.10244,0,0,0,0,0,0,0,0,0,2.38887,0,1.71611,1.42807,0,0,0,0,0,0,
SGrid:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,NL,0,0,1000000,17927,0.448175,0,7477,917,0.022925,0,0,0.002,0,0.005,0.05,0,0,0.057,0,0,0,0,0,0,0,0,0,1,1,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PBSM:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,NL,0,0,1000000,194350,4.85875,0,32651,917,0.022925,0,0,0.002,0,0.024,0.442,0,0,0.468,0,0,0,0,0,0,0,0,0,1,1,0,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cTOUCH:BU(Case4),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,10,10857,0.271425,579908,2583,917,0.022925,628,1506,0.002,0,0.001,0.024,0,0.015,0.043,0,0,0.015,0,0,41.9355,810,15.0484,80.6796,125,125,1,0.024,5,0,81,65,82,334,810,0,0,0,0,0,122,34,62,202,74,0,0,0,0,0,11.6981,11.4401,11.5457,11.5862,11.5605,0,0,0,0,0,11.5111,12.2096,13.0313,11.7454,12.5062,0,0,0,0,0,1.18158,0.973459,1.20767,0.976289,0.952561,0,0,0,0,0,1.42651,1.4675,1.93792,0.993444,1.71622,0,0,0,0,0,
dTOUCH:BU(Case4),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,10,11687,0.292175,304435,2526,917,0.022925,1309,1470,0.002,0,0.025,0.033,0,0.006,0.042,0.001,0,0.006,0.005,0,18.75,345,72.125,86.5144,26,26,1,0.038,4,3,2000,0,0,0,0,0,0,0,0,0,321,25,345,0,0,0,0,0,0,0,11.6216,0,0,0,0,0,0,0,0,0,11.9502,0,13.3167,11.9958,0,0,0,0,0,0,1.10244,0,0,0,0,0,0,0,0,0,1.20189,0,1.92821,1.26282,0,0,0,0,0,0,
reTOUCH:BU(Case4),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,10,10578,0.26445,938740,2575,917,0.022925,227,1470,0.002,0.001,0,0.026,0,0.008,0.038,0.001,0,0.008,0.002,0.001,45.1613,1537,37.1452,203.488,125,125,1,0.028,4,0,2,0,234,1537,0,0,0,0,0,0,10,0,25,495,0,0,0,0,0,0,11.1603,0,11.4006,11.6567,0,0,0,0,0,0,13.1484,0,12.9181,11.904,0,0,0,0,0,0,0.827305,0,0.824846,1.12632,0,0,0,0,0,0,2.38887,0,1.71611,1.42807,0,0,0,0,0,0,
rereTOUCH:BU(Case4),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,10,12636,0.3159,892772,2932,900,0.0225,227,1474,0.002,0,0,0.033,0,0.005,0.041,0,0,0.005,0.002,0,45.1613,1537,37.0806,199.965,125,125,1,0.035,4,0,2,0,234,1537,0,0,0,0,0,0,12,0,145,369,0,0,0,0,0,0,11.1603,0,11.4006,11.6567,0,0,0,0,0,0,14.5839,0,12.6774,11.6056,0,0,0,0,0,0,0.827305,0,0.824846,1.12632,0,0,0,0,0,0,2.20116,0,1.70667,1.13243,0,0,0,0,0,0,
TOUCH:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,3,100,100,0,0,2000,0,0,0,0,1999,0.002,0,0.001,0.005,0.005,0.007,0.015,0,0,0.007,0,0,48.3871,100,32.2742,46.7354,22,22,1,0.005,4,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.6216,0,0,0,0,0,0,0,0,0,0,0,0,12.0265,0,0,0,0,0,0,1.10244,0,0,0,0,0,0,0,0,0,0,0,0,1.1479,0,0,0,0,0,0,
SGrid:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,NL,0,0,1000000,0,0,0,0,0,0,0,0,0.002,0,0.003,0.001,0,0,0.007,0,0,0,0,0,0,0,0,0,1,1,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PBSM:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,NL,0,0,1000000,78,0.00195,0,0,0,0,0,0,0.002,0,0.016,0.029,0,0,0.047,0,0,0,0,0,0,0,0,0,1,1,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
