Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
TOUCH:TD(Case1),5,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,6281,0.025124,19779600,864,305,0.00122,0,666,0.012,0,0,0.021,0.018,0.016,0.049,0,0,0.016,0.003,0,46.0526,3532,61.4079,292.583,54,54,1,0.024,5,0,5000,0,0,0,0,0,0,0,0,0,10,0,11,781,3532,0,0,0,0,0,7.32286,0,0,0,0,0,0,0,0,0,6.77483,0,6.41214,6.4332,6.34921,0,0,0,0,0,1.83638,0,0,0,0,0,0,0,0,0,1.14528,0,1.31026,1.00386,0.997994,0,0,0,0,0
SGrid:TD(Case1),5,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,0,0,1000000,6273,0.025092,0,663,305,0.00122,0,0,0.007,0,0.006,0.015,0,0,0.028,0,0,0,0,0,0,0,0,0,1,1,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBSM:TD(Case1),5,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,0,0,1000000,23272,0.093088,0,1687,305,0.00122,0,0,0.005,0,0.011,0.077,0,0,0.094,0,0,0,0,0,0,0,0,0,1,1,0,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cTOUCH:BU(Case4),5,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,3628,0.014512,1188949,862,305,0.00122,4512,2302,0.005,0,0.002,0.012,0,0.034,0.053,0.001,0,0.033,0.002,0,43.4641,2048,10.4118,117.934,307,307,1,0.014,6,0,87,74,113,57,157,0,0,0,0,0,205,184,251,2,2048,8,0,0,0,0,7.10681,6.39469,6.77307,6.6377,7.64798,0,0,0,0,0,6.45575,6.35653,6.40448,6.57364,6.31483,6.51211,0,0,0,0,1.45474,1.20565,1.13301,1.23581,1.75099,0,0,0,0,0,1.02776,0.972707,1.09765,1.23565,0.892982,0.963241,0,0,0,0
dTOUCH:BU(Case4),5,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,3359,0.013436,3019300,872,305,0.00122,4323,666,0.008,0,0.01,0.016,0,0.025,0.05,0,0,0.023,0.009,0,17.5,314,37.5083,54.4077,90,90,1,0.025,5,5,5000,0,0,0,0,0,0,0,0,0,149,14,253,261,0,0,0,0,0,0,7.32286,0,0,0,0,0,0,0,0,0,6.3695,0,6.49197,6.36853,6.32213,0,0,0,0,0,1.83638,0,0,0,0,0,0,0,0,0,0.994239,0,1.36113,1.01574,0.923974,0,0,0,0,0
reTOUCH:BU(Case4),5,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,3533,0.014132,20537825,718,305,0.00122,256,666,0.006,0,0.001,0.019,0,0.017,0.043,0,0,0.017,0.01,0,46.0526,3532,59.7237,373.165,305,305,1,0.029,5,0,0,0,1175,894,2675,0,0,0,0,0,10,0,11,781,3532,0,0,0,0,0,0,0,7.36536,6.89668,7.42905,0,0,0,0,0,6.77483,0,6.41214,6.4332,6.34921,0,0,0,0,0,0,0,1.79805,1.46369,1.93736,0,0,0,0,0,1.14528,0,1.31026,1.00386,0.997994,0,0,0,0,0
rereTOUCH:BU(Case4),5,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,3520,0.01408,19506257,753,305,0.00122,256,672,0.005,0,0.001,0.018,0,0.017,0.041,0.001,0,0.016,0.009,0,48.6842,3455,59.6842,369.753,305,305,1,0.027,5,0,0,0,1175,894,2675,0,0,0,0,0,0,0,0,873,3455,0,0,0,0,0,0,0,7.36536,6.89668,7.42905,0,0,0,0,0,0,0,0,6.40881,6.35385,0,0,0,0,0,0,0,1.79805,1.46369,1.93736,0,0,0,0,0,0,0,0,1.01387,0.997688,0,0,0,0,0
TOUCH:TD(Case1),15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,105138,0.420552,20622000,42146,4182,0.016728,0,548,0.007,0,0,0.241,0.232,0.016,0.264,0,0,0.015,0.008,0,46.7105,3760,62.1842,308.878,54,54,1,0.249,5,0,5000,0,0,0,0,0,0,0,0,0,13,0,7,672,3760,0,0,0,0,0,17.3229,0,0,0,0,0,0,0,0,0,16.4816,0,16.9116,16.4493,16.3414,0,0,0,0,0,1.83638,0,0,0,0,0,0,0,0,0,1.04683,0,0.825314,1.02476,0.996647,0,0,0,0,0
SGrid:TD(Case1),15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,0,0,1000000,88456,0.353824,0,33316,4182,0.016728,0,0,0.005,0,0.01,0.185,0,0,0.201,0,0,0,0,0,0,0,0,0,1,1,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBSM:TD(Case1),15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,0,0,1000000,920419,3.68168,0,154192,4182,0.016728,0,0,0.007,0,0.029,2.026,0,0,2.064,0.002,0,0,0,0,0,0,0,0,1,1,0,2.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
