Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
TOUCH,1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,232,0.0058,945500,44,13,0.000325,0,1503,0.007,0,0,0.003,0.003,0.007,0.025,0,0,0.007,0,0,40.3226,462,40.2742,71.0918,25,25,1,0.003,4,0,2000,0,0,0,0,0,0,0,0,0,5,10,20,462,0,0,0,0,0,0,19.9483,0,0,0,0,0,0,0,0,0,93.7668,71.871,41.1731,34.2118,0,0,0,0,0,0,28.8906,0,0,0,0,0,0,0,0,0,66.7191,85.234,20.2223,67.2407,0,0,0,0,0,0,
cTOUCH,1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,906,0.02265,25375,3,13,0.000325,741,1571,0.006,0,0.001,0.003,0.003,0.012,0.023,0,0,0.011,0,0,40.3226,784,13.6129,76.5289,125,125,1,0.003,5,0,43,86,100,246,784,0,0,0,0,0,115,25,41,231,17,0,0,0,0,0,32.0621,20.4293,24.9882,19.919,17.2325,0,0,0,0,0,27.5046,30.7113,64.931,24.2919,88.138,0,0,0,0,0,44.3257,41.7693,46.4459,29.435,14.1225,0,0,0,0,0,47.5533,52.1008,71.5424,24.26,104.142,0,0,0,0,0,
dTOUCH,1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,1164,0.0291,84660,3,13,0.000325,1476,1503,0.003,0,0.004,0.004,0.003,0.008,0.019,0,0,0.008,0.001,0,18.75,191,60.125,56.0913,51,51,1,0.005,4,3,2000,0,0,0,0,0,0,0,0,0,357,148,19,0,0,0,0,0,0,0,19.9483,0,0,0,0,0,0,0,0,0,35.1515,114,46.8026,29.7414,0,0,0,0,0,0,28.8906,0,0,0,0,0,0,0,0,0,68.4903,96.2372,8.9611,36.5068,0,0,0,0,0,0,
reTOUCH,1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,2739,0.068475,696208,7,13,0.000325,289,1503,0.004,0,0,0.01,0.009,0.008,0.024,0,0,0.007,0.001,0,40.3226,1483,35.6129,195.376,125,125,1,0.011,4,0,22,6,200,1483,0,0,0,0,0,0,5,10,20,462,0,0,0,0,0,0,11.2454,188.158,22.1473,19.1771,0,0,0,0,0,0,93.7668,71.871,41.1731,34.2118,0,0,0,0,0,0,7.33016,23.2991,36.2129,26.9093,0,0,0,0,0,0,66.7191,85.234,20.2223,67.2407,0,0,0,0,0,0,
rereTOUCH,1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,3357,0.083925,345539,0,13,0.000325,289,1508,0.002,0,0,0.009,0.009,0.005,0.017,0,0,0.005,0.001,0,45.1613,1483,35.5323,194.212,125,125,1,0.01,4,0,22,6,200,1483,0,0,0,0,0,0,3,0,63,426,0,0,0,0,0,0,11.2454,188.158,22.1473,19.1771,0,0,0,0,0,0,201.031,0,69.3181,29.3256,0,0,0,0,0,0,7.33016,23.2991,36.2129,26.9093,0,0,0,0,0,0,17.2071,0,127.924,48.3016,0,0,0,0,0,0,
TOUCH,4,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,1539,0.038475,957500,411,94,0.00235,0,1490,0.003,0,0,0.009,0.008,0.006,0.018,0,0,0.006,0.001,0,40.3226,467,40.4839,71.5178,25,25,1,0.01,4,0,2000,0,0,0,0,0,0,0,0,0,13,8,22,467,0,0,0,0,0,0,181.469,0,0,0,0,0,0,0,0,0,350.634,381.606,327.189,222.541,0,0,0,0,0,0,90.1598,0,0,0,0,0,0,0,0,0,232.643,274.854,169.611,177.575,0,0,0,0,0,0,
cTOUCH,4,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,7053,0.176325,35021,11,94,0.00235,717,1547,0.002,0,0.001,0.017,0.016,0.012,0.034,0,0,0.012,0.001,0,41.129,792,14,77.776,125,125,1,0.018,5,0,50,69,101,271,792,0,0,0,0,0,116,27,46,228,36,0,0,0,0,0,209.326,161.906,197.277,179.806,173.334,0,0,0,0,0,193.232,232.888,324.838,201.386,322.709,0,0,0,0,0,119.661,73.7021,128.825,106.65,58.6372,0,0,0,0,0,161.018,162.286,199.322,84.0366,249.484,0,0,0,0,0,
dTOUCH,4,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,7629,0.190725,99943,29,94,0.00235,1511,1490,0.002,0,0.014,0.018,0.018,0.006,0.028,0,0,0.006,0.001,0,18.75,166,58,51.4004,51,51,1,0.019,4,3,2000,0,0,0,0,0,0,0,0,0,286,169,34,0,0,0,0,0,0,0,181.469,0,0,0,0,0,0,0,0,0,225.873,437.413,363.249,232.925,0,0,0,0,0,0,90.1598,0,0,0,0,0,0,0,0,0,177.26,302.476,236.628,167.456,0,0,0,0,0,0,
reTOUCH,4,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,25013,0.625325,719276,0,94,0.00235,267,1490,0.006,0,0,0.056,0.056,0.007,0.071,0,0,0.007,0.001,0,40.3226,1505,36.1774,198.329,125,125,1,0.057,4,0,1,16,211,1505,0,0,0,0,0,0,13,8,22,467,0,0,0,0,0,0,229.229,245.906,176.22,182.047,0,0,0,0,0,0,350.634,381.606,327.189,222.541,0,0,0,0,0,0,0,207.016,91.3638,88.2301,0,0,0,0,0,0,232.643,274.854,169.611,177.575,0,0,0,0,0,0,
rereTOUCH,4,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,27084,0.6771,346150,1,94,0.00235,267,1491,0.006,0,0.001,0.062,0.061,0.006,0.076,0,0,0.006,0,0,43.5484,1505,36.1613,197.171,125,125,1,0.062,4,0,1,16,211,1505,0,0,0,0,0,0,1,5,73,430,0,0,0,0,0,0,229.229,245.906,176.22,182.047,0,0,0,0,0,0,873.302,742.889,359.269,202.854,0,0,0,0,0,0,0,207.016,91.3638,88.2301,0,0,0,0,0,0,0,94.8526,288.636,133.516,0,0,0,0,0,0,
