Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Partitions, gridSize, Compared #, Compared %, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
TOUCH,5,1000,1000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,7,0.0007,0,0,0,70,0,0.002,0,0,0.004,0.002,0.004,0.002,0.023,0,0,0.003,29.4118,368,54.7059,89.3583,13,13
cTOUCH,5,1000,1000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,6,0.0006,0,0,0,14,67,0.002,0,0.006,0.003,0.003,0.011,0.076,0.052,0,0,0.009,74.1935,888,61.9032,183.726,2519,2519
dTOUCH,5,1000,1000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,10,0.001,0,0,0,371,70,0.003,0,0,0.004,0.002,0.004,0.002,0.026,0,0,0.004,32,200,44,53.1917,18,18
reTOUCH,5,1000,1000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,3,0.0003,0,0,0,118,72,0.002,0,0.001,0.002,0.002,0.001,0,0.022,0,0,0.001,35.2941,140,106.471,-nan,181,181
TOUCH,5,2000,2000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,70,0.00175,0,0,0,134,0,0.003,0,0.001,0.004,0.001,0.007,0.001,0.031,0,0,0.006,80.6452,1206,60.1935,233.898,7,7
cTOUCH,5,2000,2000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,185,0.004625,0,0,0,49,134,0.002,0,0.005,0.004,0.004,0.016,0.076,0.062,0.001,0,0.015,50,1229,61.5645,171.242,2032,2032
dTOUCH,5,2000,2000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,53,0.001325,0,0,0,52,134,0.005,0,0,0.005,0.002,0.011,0.002,0.046,0,0,0.01,74.1379,1613,34.7414,210.726,16,16
reTOUCH,5,2000,2000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,150,0.00375,0,0,0,228,142,0.005,0,0.001,0.003,0.003,0.002,0,0.032,0,0,0.001,6.45161,137,117.097,-nan,743,743
TOUCH,5,3000,3000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,133,0.00147778,0,0,0,191,0,0.005,0,0,0.008,0.005,0.012,0.005,0.055,0,0,0.011,61.7021,1292,59.766,200.753,19,19
cTOUCH,5,3000,3000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,825,0.00916667,0,0,0,23,190,0.004,0,0.017,0.005,0.005,0.016,1.457,0.095,0,0,0.014,67.033,3336,63.5934,357.191,4245,4245
dTOUCH,5,3000,3000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,130,0.00144444,0,0,0,49,191,0.004,0,0,0.006,0.001,0.016,0.001,0.062,0,0.001,0.015,75.9036,2780,40.5904,303.029,21,21
reTOUCH,5,3000,3000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,508,0.00564444,0,0,0,359,204,0.005,0,0.002,0.004,0.002,0.003,0.001,0.04,0,0,0.003,10.6383,131,115.681,-nan,1696,1696
TOUCH,5,4000,4000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,213,0.00133125,0,0,0,255,0,0.007,0,0.001,0.009,0.006,0.011,0.006,0.058,0,0,0.011,72.5806,1726,60.4032,271.854,18,18
cTOUCH,5,4000,4000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,9388,0.058675,0,0,0,32,252,0.006,0,0.036,0.007,0.007,0.024,0.027,0.158,0,0,0.021,42.5,2592,64.3,247.395,5737,5737
dTOUCH,5,4000,4000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,213,0.00133125,0,0,0,78,255,0.007,0,0.001,0.009,0.004,0.02,0.003,0.08,0,0,0.02,78.4483,1958,36.6379,228.778,26,26
reTOUCH,5,4000,4000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,1054,0.0065875,0,0,0,490,274,0.007,0,0.003,0.009,0.009,0.006,0.077,0.071,0,0,0.005,3.22581,149,116.71,-nan,3035,3035
TOUCH,5,5000,5000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,306,0.001224,0,0,0,314,0,0.007,0,0.001,0.01,0.005,0.013,0.005,0.063,0,0,0.012,76.3158,3873,61.6579,442.013,19,19
cTOUCH,5,5000,5000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,28322,0.113288,0,0,0,24,314,0.009,0,0.033,0.012,0.011,0.028,0.717,0.18,0,0,0.026,61.4379,3741,63.1503,422.338,9277,9277
