Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
reTOUCH:TD(Case1),1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,290,0.00725,696208,49,13,0.000325,289,1503,0.006,0,0,0.002,0.002,0.006,0.017,0,0,0.006,0.002,0,40.3226,1483,35.6129,195.376,125,125,1,0.004,4,0,22,6,200,1483,0,0,0,0,0,0,5,10,20,462,0,0,0,0,0,0,11.2454,188.158,22.1473,19.1771,0,0,0,0,0,0,93.7668,71.871,41.1731,34.2118,0,0,0,0,0,0,7.33016,23.2991,36.2129,26.9093,0,0,0,0,0,0,66.7191,85.234,20.2223,67.2407,0,0,0,0,0,0,
reTOUCH:TD(Case1),3,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,1047,0.026175,708359,167,42,0.00105,280,1494,0.006,0,0,0.005,0.005,0.009,0.025,0,0,0.009,0.004,0,40.3226,1495,35.9032,196.98,125,125,1,0.009,4,0,0,21,204,1495,0,0,0,0,0,0,10,9,22,465,0,0,0,0,0,0,0,168.759,104.024,100.996,0,0,0,0,0,0,212.256,233.707,206.483,132.361,0,0,0,0,0,0,0,172.441,79.7292,60.5912,0,0,0,0,0,0,125.814,195.307,127.008,134.002,0,0,0,0,0,0,
reTOUCH:TD(Case1),5,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,2672,0.0668,730795,648,158,0.00395,264,1488,0.007,0,0,0.007,0.006,0.008,0.029,0,0,0.007,0.006,0,40.3226,1512,36.2581,199.343,125,125,1,0.013,4,0,0,14,210,1512,0,0,0,0,0,0,11,7,22,472,0,0,0,0,0,0,0,336.802,282.002,296.949,0,0,0,0,0,0,543.413,594.45,487.651,349.297,0,0,0,0,0,0,0,235.264,110.931,119.064,0,0,0,0,0,0,321.089,368.152,219.362,228.26,0,0,0,0,0,0,
reTOUCH:TD(Case1),7,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,7004,0.1751,752359,2446,391,0.009775,239,1478,0.005,0,0,0.017,0.016,0.007,0.039,0.001,0,0.007,0.009,0,40.3226,1522,36.8226,201.047,125,125,1,0.026,4,0,2,12,225,1522,0,0,0,0,0,0,13,3,25,481,0,0,0,0,0,0,544.3,562.367,610.638,652.453,0,0,0,0,0,0,982.505,1421.3,958.733,733.777,0,0,0,0,0,0,124.661,92.9221,162.983,193.847,0,0,0,0,0,0,432.194,544.661,365.268,353.437,0,0,0,0,0,0,
reTOUCH:TD(Case1),9,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,14641,0.366025,789370,5996,725,0.018125,230,1472,0.002,0,0.001,0.033,0.033,0.006,0.053,0,0,0.006,0.01,0,45.1613,1536,37.0645,203.283,125,125,1,0.043,4,0,2,0,232,1536,0,0,0,0,0,0,11,0,24,493,0,0,0,0,0,0,1059.12,0,1133.87,1215.53,0,0,0,0,0,0,1774.99,0,1740.71,1331.29,0,0,0,0,0,0,206.58,0,195.188,287.434,0,0,0,0,0,0,652.232,0,556.712,505.028,0,0,0,0,0,0,
reTOUCH:TD(Case1),11,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,29781,0.744525,801519,13918,1132,0.0283,223,1469,0.002,0,0.001,0.062,0.061,0.008,0.084,0,0,0.008,0.009,0,43.5484,1546,37.2258,204.54,125,125,1,0.071,4,0,0,2,229,1546,0,0,0,0,0,0,7,3,25,496,0,0,0,0,0,0,0,1629.22,1905.27,2036.06,0,0,0,0,0,0,2529.29,3633.31,2729.77,2190.17,0,0,0,0,0,0,0,127.883,264.688,396.482,0,0,0,0,0,0,798.379,682.761,748.504,682.66,0,0,0,0,0,0,
reTOUCH:TD(Case1),13,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,50851,1.27127,814580,25950,1766,0.04415,217,1465,0.005,0,0,0.102,0.1,0.005,0.127,0.001,0,0.005,0.013,0,43.5484,1553,37.3871,205.543,125,125,1,0.115,4,0,0,2,228,1553,0,0,0,0,0,0,7,2,25,501,0,0,0,0,0,0,0,2710.27,2984.68,3157.71,0,0,0,0,0,0,3808.87,5891.14,4076.56,3361.75,0,0,0,0,0,0,0,200.412,358.48,522.326,0,0,0,0,0,0,1044.55,93.5194,969.663,886.507,0,0,0,0,0,0,
reTOUCH:TD(Case1),15,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,82827,2.07068,829937,46012,2566,0.06415,209,1465,0.006,0,0.001,0.163,0.163,0.009,0.198,0.001,0,0.009,0.017,0,43.5484,1564,37.5161,206.959,125,125,1,0.18,4,0,0,0,227,1564,0,0,0,0,0,0,7,1,23,504,0,0,0,0,0,0,0,0,4403.95,4631.44,0,0,0,0,0,0,5461.85,8221.37,5890.08,4894.44,0,0,0,0,0,0,0,0,463.686,665.879,0,0,0,0,0,0,1323.56,0,1236.45,1125.94,0,0,0,0,0,0,
reTOUCH:TD(Case1),1,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,3,100,100,0,0,1478,0,0,0,322,1999,0.006,0,0.001,0.002,0.001,0.014,0.028,0,0,0.014,0.004,0,48.3871,1478,27.0806,187.107,125,125,1,0.006,4,0,0,0,200,1478,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22.1473,19.0784,0,0,0,0,0,0,0,0,0,22.3854,0,0,0,0,0,0,0,0,36.2129,26.8372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
reTOUCH:TD(Case1),3,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,3,100,100,0,0,1490,0,0,0,307,1999,0.006,0,0.001,0.002,0.001,0.013,0.03,0.001,0,0.012,0.006,0,48.3871,1490,27.3226,188.66,125,125,1,0.008,4,0,0,0,203,1490,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,103.308,100.988,0,0,0,0,0,0,0,0,0,117.709,0,0,0,0,0,0,0,0,79.2686,60.6568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
