Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
reTOUCH:TDDemand(Case3),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,136616,3.4154,938740,108450,917,0.022925,227,1470,0.007,0,0,1.209,0,0.009,1.225,0.001,0,0.009,0.919,0,45.1613,1537,37.1452,203.488,125,125,1,2.128,4,0,2,0,234,1537,0,0,0,0,0,0,10,0,25,495,0,0,0,0,0,0,1401.33,0,1487.46,1590.9,0,0,0,0,0,0,2298.64,0,2186.96,1724.87,0,0,0,0,0,0,249.619,0,233.7,339.961,0,0,0,0,0,0,789.353,0,647.194,590.149,0,0,0,0,0,0,
reTOUCH:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,1127466,28.1867,796082,832307,917,0.022925,227,1470,0.006,0,0,2.349,2.347,0.007,3.284,0.007,0,0.007,0.914,0,45.1613,1537,37.1452,203.488,125,125,1,3.263,4,0,2,0,234,1537,0,0,0,0,0,0,10,0,25,495,0,0,0,0,0,0,1401.33,0,1487.46,1590.9,0,0,0,0,0,0,2298.64,0,2186.96,1724.87,0,0,0,0,0,0,249.619,0,233.7,339.961,0,0,0,0,0,0,789.353,0,647.194,590.149,0,0,0,0,0,0,
reTOUCH:BU(Case4),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,1127466,28.1867,938740,832307,917,0.022925,227,1470,0.006,0,0.001,3.332,0,0.008,3.348,0.006,0,0.008,0.919,0,45.1613,1537,37.1452,203.488,125,125,1,4.251,4,0,2,0,234,1537,0,0,0,0,0,0,10,0,25,495,0,0,0,0,0,0,1401.33,0,1487.46,1590.9,0,0,0,0,0,0,2298.64,0,2186.96,1724.87,0,0,0,0,0,0,249.619,0,233.7,339.961,0,0,0,0,0,0,789.353,0,647.194,590.149,0,0,0,0,0,0,
reTOUCH:TDDemand(Case3),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,3,100,100,0,0,1760,0,0,0,240,1999,0.005,0,0.001,0.468,0,0.005,0.48,0,0,0.005,0.468,0,48.3871,1537,28.4032,194.792,125,125,1,0.936,4,0,0,0,223,1537,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1492.25,1590.9,0,0,0,0,0,0,0,0,0,1716.35,0,0,0,0,0,0,0,0,235.259,339.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
reTOUCH:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,3,100,100,0,0,1537,0,0,0,240,1999,0.006,0,0,0.001,0,0.006,0.487,0,0,0.005,0.473,0,48.3871,1537,28.4032,194.792,125,125,1,0.474,4,0,0,0,223,1537,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1492.25,1590.9,0,0,0,0,0,0,0,0,0,1716.35,0,0,0,0,0,0,0,0,235.259,339.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
reTOUCH:BU(Case4),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample2.bin,SGrid,3,100,100,0,0,1760,0,0,0,240,1999,0.006,0,0.001,0.477,0,0.011,0.496,0,0,0.011,0.477,0,48.3871,1537,28.4032,194.792,125,125,1,0.954,4,0,0,0,223,1537,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1492.25,1590.9,0,0,0,0,0,0,0,0,0,1716.35,0,0,0,0,0,0,0,0,235.259,339.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
reTOUCH:TDDemand(Case3),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample3.bin,SGrid,3,100,100,0,0,543741,0,0,0,230,1665,0.003,0,0,0.309,0,0.005,0.317,0,0,0.005,0.298,0,43.5484,1547,33.9516,196.566,125,125,1,0.607,4,0,0,0,223,1547,0,0,0,0,0,0,155,0,82,98,0,0,0,0,0,0,0,0,1492.25,1591.27,0,0,0,0,0,0,1715.72,0,2399.51,1644.03,0,0,0,0,0,0,0,0,235.259,339.525,0,0,0,0,0,0,592.986,0,906.174,349.539,0,0,0,0,0,0,
reTOUCH:TD(Case1),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample3.bin,SGrid,3,100,100,0,0,153574,0,0,0,230,1665,0.008,0,0,0.006,0.005,0.012,0.309,0,0,0.011,0.283,0,43.5484,1547,33.9516,196.566,125,125,1,0.289,4,0,0,0,223,1547,0,0,0,0,0,0,155,0,82,98,0,0,0,0,0,0,0,0,1492.25,1591.27,0,0,0,0,0,0,1715.72,0,2399.51,1644.03,0,0,0,0,0,0,0,0,235.259,339.525,0,0,0,0,0,0,592.986,0,906.174,349.539,0,0,0,0,0,0,
reTOUCH:BU(Case4),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample3.bin,SGrid,3,100,100,0,0,543741,0,0,0,230,1665,0.006,0,0.001,0.301,0,0.005,0.313,0,0,0.005,0.296,0,43.5484,1547,33.9516,196.566,125,125,1,0.597,4,0,0,0,223,1547,0,0,0,0,0,0,155,0,82,98,0,0,0,0,0,0,0,0,1492.25,1591.27,0,0,0,0,0,0,1715.72,0,2399.51,1644.03,0,0,0,0,0,0,0,0,235.259,339.525,0,0,0,0,0,0,592.986,0,906.174,349.539,0,0,0,0,0,0,
reTOUCH:TDDemand(Case3),10,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample4.bin,SGrid,3,100,100,0,0,54358,0,0,0,229,1966,0.003,0,0.001,0.943,0,0.008,0.956,0,0,0.008,0.935,0,46.7742,1537,29.1129,194.72,125,125,1,1.878,4,0,11,0,223,1537,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1469.8,0,1492.25,1590.9,0,0,0,0,0,0,1450.78,0,0,0,0,0,0,0,0,0,249.653,0,235.259,339.961,0,0,0,0,0,0,219.034,0,0,0,0,0,0,0,0,0,
