Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Partitions, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
TOUCH,1,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,951,0.00264167,27577900,653,20,5.55556e-05,897,0,0.023,0,0.002,0.149,0.08,0.017,0,0.386,0.002,0,0.017,0,92.3077,4560,56.0769,476.431,8,8
cTOUCH,1,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,396059,1.10016,386766,0,20,5.55556e-05,4932,1538,0.018,0,0.01,0.854,0.849,0.039,0,1.848,0,0,0.036,0.003,85.7143,3249,30.3846,246.164,365,365
dTOUCH,1,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,386,0.00107222,2974335,27,20,5.55556e-05,4968,897,0.017,0,0.003,0.009,0.006,0.031,0,0.134,0,0,0.03,0.003,88.8889,386,9.64198,48.3757,19,19
reTOUCH,1,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,47785,0.132736,113814,0,20,5.55556e-05,5306,2447,0.018,0,0.007,0.121,0.12,0.005,0,0.309,0,0,0.004,0.002,142.857,656,46.6703,85.1985,365,365
rereTOUCH,1,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,45757,0.127103,88710,0,20,5.55556e-05,5306,4720,0.018,0,0.009,0.104,0.104,0.004,0,0.274,0,0,0.003,0.001,168.132,91,21.6923,8.54554,365,365
TOUCH,1,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1064,0.0016625,54350400,730,23,3.59375e-05,1002,0,0.024,0,0.004,0.216,0.1,0.023,0,0.535,0,0,0.022,0,96.6667,6704,58.3167,609.688,5,5
cTOUCH,1,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,415873,0.649802,874660,0,23,3.59375e-05,6973,2440,0.026,0,0.012,0.918,0.912,0.056,0,2.032,0,0.001,0.051,0.003,87.1369,2109,27.332,183.577,483,483
dTOUCH,1,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,619,0.000967187,7385646,49,23,3.59375e-05,6900,1002,0.023,0,0.004,0.01,0.007,0.043,0,0.18,0,0,0.041,0.003,95.0893,846,5.79018,58.0814,12,12
reTOUCH,1,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,74835,0.11693,184279,0,23,3.59375e-05,7223,2883,0.021,0,0.008,0.175,0.169,0.005,0,0.428,0,0,0.004,0.004,142.5,763,49.1167,95.2196,481,481
rereTOUCH,1,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,56205,0.0878203,195620,0,23,3.59375e-05,7223,3927,0.022,0,0.011,0.128,0.128,0.005,0,0.339,0,0,0.004,0.003,172.5,146,40.4167,-nan,481,481
