Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Partitions, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
TOUCH,1,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,5,1.38889e-05,21778400,3,1,2.77778e-06,394,0,0.012,0,0.001,0.033,0.017,0.014,0,0.122,0,0,0.013,0,63.7363,2688,61.6044,312.723,34,34
cTOUCH,1,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,281894,0.783039,9184518,0,1,2.77778e-06,100,378,0.016,0,0.006,0.426,0.424,0.031,0,0.966,0,0,0.026,0.003,73.6264,4809,63.3077,492.062,365,365
dTOUCH,1,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,84,0.000233333,18122037,0,1,2.77778e-06,397,394,0.007,0,0.001,0.01,0.004,0.027,0,0.1,0,0,0.026,0.005,63.8554,2221,38.5422,220.85,61,61
reTOUCH,1,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,24989,0.0694139,529987,0,1,2.77778e-06,807,431,0.008,0,0.005,0.032,0.031,0.006,0,0.111,0,0,0.005,0.003,96.7033,147,118.264,-nan,365,365
rereTOUCH,1,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,26426,0.0734056,536708,0,1,2.77778e-06,807,571,0.012,0,0.006,0.034,0.032,0.006,0,0.12,0,0,0.005,0.002,69.2308,180,116.725,-nan,365,365
TOUCH,1,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,4,6.25e-06,39380000,3,1,1.5625e-06,518,0,0.015,0,0.001,0.045,0.021,0.026,0,0.177,0,0,0.025,0,77.5,4038,62.35,397.59,28,28
cTOUCH,1,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,446952,0.698362,8662092,0,1,1.5625e-06,17,507,0.014,0,0.008,0.723,0.713,0.04,0,1.583,0,0,0.035,0.003,63.9004,6431,64.2158,537.694,483,483
dTOUCH,1,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,144,0.000225,49505707,1,1,1.5625e-06,173,518,0.022,0,0.005,0.033,0.022,0.085,0,0.318,0,0.001,0.079,0.009,80.1802,7031,39.1081,471.461,45,45
reTOUCH,1,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,35008,0.0547,732788,0,1,1.5625e-06,1082,588,0.022,0,0.013,0.118,0.114,0.014,0,0.355,0,0,0.011,0.01,96.6667,137,119.417,-nan,481,481
rereTOUCH,1,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,36618,0.0572156,731591,0,1,1.5625e-06,1082,766,0.024,0,0.021,0.123,0.115,0.014,0,0.392,0,0,0.01,0.01,66.6667,102,117.933,-nan,481,481
TOUCH,3,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,305,0.000847222,22046800,175,8,2.22222e-05,375,0,0.017,0,0.002,0.525,0.232,0.031,0,1.152,0,0,0.03,0,68.1319,2735,61.8132,317.061,30,30
cTOUCH,3,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,275004,0.7639,1634940,1,8,2.22222e-05,61,376,0.017,0,0.017,0.787,0.779,0.078,0,1.813,0,0,0.07,0.006,73.6264,4891,63.533,502.617,365,365
dTOUCH,3,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,203,0.000563889,25806900,3,8,2.22222e-05,87,375,0.019,0,0.003,0.035,0.023,0.066,0,0.268,0,0,0.062,0.012,74.0964,4408,40.2289,353.096,44,44
reTOUCH,3,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,31650,0.0879167,662148,1,8,2.22222e-05,511,408,0.016,0,0.01,0.101,0.095,0.012,0,0.298,0.002,0,0.01,0.008,86.8132,128,121.769,-nan,365,365
rereTOUCH,3,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,33486,0.0930167,679950,1,8,2.22222e-05,511,450,0.018,0,0.014,0.105,0.099,0.01,0,0.316,0.002,0,0.008,0.008,68.1319,240,121.308,-nan,365,365
TOUCH,3,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,523,0.000817187,39789900,300,13,2.03125e-05,502,0,0.022,0,0.001,0.307,0.12,0.037,0,0.737,0.002,0,0.036,0,80,4100,62.4833,402.043,25,25
cTOUCH,3,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,432675,0.676055,2338376,0,13,2.03125e-05,0,501,0.012,0,0.009,0.467,0.457,0.041,0,1.068,0,0,0.037,0.004,66.39,6303,64.3112,529.122,483,483
dTOUCH,3,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,377,0.000589062,52564599,3,13,2.03125e-05,43,502,0.015,0,0.001,0.015,0.009,0.031,0,0.136,0.002,0,0.029,0.005,86.4865,7597,39.7027,508.878,31,31
reTOUCH,3,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,48469,0.0757328,1014680,1,13,2.03125e-05,663,549,0.015,0,0.005,0.059,0.057,0.008,0,0.186,0,0.001,0.006,0.004,85,183,123.233,-nan,481,481
rereTOUCH,3,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,51303,0.0801609,1057661,1,13,2.03125e-05,663,589,0.008,0,0.01,0.062,0.056,0.008,0,0.188,0.002,0,0.006,0.004,66.6667,196,122.9,-nan,481,481
TOUCH,5,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,2933,0.00814722,22241700,2395,34,9.44444e-05,372,0,0.007,0,0.001,0.805,0.326,0.017,0,1.664,0,0,0.016,0,70.3297,2773,61.8462,320.256,28,28
cTOUCH,5,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,293844,0.816233,2380139,4,34,9.44444e-05,42,372,0.01,0,0.006,0.325,0.315,0.031,0,0.754,0,0,0.028,0.003,74.1758,4911,63.6593,496.865,365,365
dTOUCH,5,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,488,0.00135556,25992213,39,34,9.44444e-05,69,372,0.009,0,0.001,0.016,0.011,0.022,0,0.105,0,0,0.02,0.005,75.3012,4435,40.2771,355.028,42,42
reTOUCH,5,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,40134,0.111483,847901,5,34,9.44444e-05,336,391,0.011,0,0.004,0.047,0.045,0.008,0,0.15,0,0,0.007,0.003,83.5165,196,123.879,-nan,365,365
rereTOUCH,5,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,43672,0.121311,902439,4,34,9.44444e-05,336,404,0.009,0,0.005,0.055,0.051,0.005,0,0.156,0,0,0.004,0.004,68.1319,219,123.736,-nan,365,365
TOUCH,5,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,4884,0.00763125,40131300,4100,61,9.53125e-05,493,0,0.014,0,0.001,1.1,0.354,0.018,0,2.266,0,0,0.017,0,80.8333,4150,62.5583,405.728,24,24
cTOUCH,5,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,461005,0.72032,2685493,3,61,9.53125e-05,0,491,0.011,0,0.009,0.46,0.451,0.043,0,1.056,0,0,0.038,0.004,66.39,6325,64.3527,531.44,483,483
dTOUCH,5,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,843,0.00131719,52115618,70,61,9.53125e-05,29,493,0.012,0,0.002,0.019,0.009,0.032,0,0.142,0,0,0.03,0.009,86.9369,7390,39.5811,495.475,30,30
reTOUCH,5,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,79581,0.124345,1728833,7,61,9.53125e-05,362,518,0.012,0,0.006,0.1,0.092,0.005,0,0.255,0,0,0.004,0.004,92.5,268,126,-nan,481,481
rereTOUCH,5,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,83184,0.129975,1708720,4,61,9.53125e-05,362,527,0.017,0,0.007,0.106,0.101,0.006,0,0.283,0,0,0.004,0.005,78.3333,252,125.925,-nan,481,481
TOUCH,7,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,13931,0.0386972,22375100,11710,68,0.000188889,371,0,0.012,0,0,2.004,0.833,0.015,0,4.065,0,0,0.014,0,70.3297,2796,61.8571,322.428,28,28
cTOUCH,7,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,311557,0.865436,2605624,7,68,0.000188889,35,369,0.013,0,0.006,0.338,0.332,0.032,0,0.789,0,0,0.029,0.003,74.7253,4929,63.7143,497.801,365,365
dTOUCH,7,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,969,0.00269167,26319640,145,68,0.000188889,42,371,0.011,0,0.001,0.02,0.013,0.026,0,0.125,0,0,0.025,0.007,77.1084,4475,40.4036,358.196,39,39
reTOUCH,7,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,60518,0.168106,1316812,8,68,0.000188889,271,374,0.011,0,0.004,0.076,0.074,0.004,0,0.202,0,0,0.003,0.003,91.2088,272,124.78,-nan,365,365
rereTOUCH,7,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,63027,0.175075,1295169,6,68,0.000188889,271,382,0.009,0,0.005,0.074,0.073,0.006,0,0.198,0,0.001,0.005,0.003,81.3187,233,124.692,-nan,365,365
TOUCH,7,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,23313,0.0364266,40480700,19400,115,0.000179687,487,0,0.012,0,0.001,2.622,0.873,0.021,0,5.312,0,0,0.019,0,81.6667,4202,62.6083,409.559,23,23
cTOUCH,7,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,494369,0.772452,2898176,5,115,0.000179687,0,486,0.017,0,0.008,0.94,0.922,0.042,0,2.027,0,0,0.038,0.004,68.0498,6365,64.3734,534.852,483,483
dTOUCH,7,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,1724,0.00269375,52272216,233,115,0.000179687,39,487,0.022,0,0.003,0.071,0.041,0.089,0,0.398,0,0,0.083,0.03,83.4081,7419,39.2466,495.805,38,38
reTOUCH,7,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,132672,0.2073,2810742,14,115,0.000179687,221,491,0.025,0,0.011,0.412,0.406,0.014,0,0.949,0,0.001,0.011,0.01,138.333,358,127.4,-nan,481,481
rereTOUCH,7,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,136903,0.213911,2779015,8,115,0.000179687,221,501,0.023,0,0.02,0.447,0.436,0.015,0,1.036,0,0,0.013,0.011,144.167,349,127.317,68.3232,481,481
TOUCH,9,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,47222,0.131172,22584000,39510,130,0.000361111,359,0,0.018,0,0.003,4.524,1.592,0.033,0,9.158,0,0,0.031,0,70.3297,2839,61.989,325.916,28,28
cTOUCH,9,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,349056,0.9696,7338046,10,130,0.000361111,16,360,0.014,0,0.006,0.347,0.341,0.028,0,0.798,0,0,0.024,0.002,74.7253,4976,63.8681,499.903,365,365
dTOUCH,9,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,1779,0.00494167,26714160,383,130,0.000361111,41,359,0.008,0,0.001,0.025,0.013,0.023,0,0.124,0,0,0.023,0.011,78.3133,4505,40.3916,362.401,37,37
reTOUCH,9,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,99069,0.275192,2086160,9,130,0.000361111,173,364,0.009,0,0.005,0.102,0.102,0.005,0,0.252,0,0,0.004,0.004,137.363,321,125.967,-nan,365,365
rereTOUCH,9,6000,6000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,100942,0.280394,2062781,11,130,0.000361111,173,366,0.014,0,0.005,0.108,0.107,0.004,0,0.273,0,0,0.003,0.004,143.956,307,125.945,64.232,365,365
TOUCH,9,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,80349,0.125545,40916200,67982,231,0.000360937,469,0,0.017,0,0.002,5.178,1.706,0.018,0,10.43,0,0,0.017,0,83.3333,4264,62.7583,414.322,21,21
cTOUCH,9,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,568557,0.88837,7511597,19,231,0.000360937,0,470,0.012,0,0.008,0.609,0.602,0.04,0,1.349,0,0,0.036,0.004,69.7095,6311,64.4398,549.005,483,483
dTOUCH,9,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,3209,0.00501406,54442644,669,231,0.000360937,0,469,0.016,0,0.002,0.032,0.016,0.033,0,0.177,0,0,0.031,0.016,89.2377,7816,39.4305,522.205,25,25
reTOUCH,9,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,154723,0.241755,3199557,26,231,0.000360937,124,479,0.011,0,0.005,0.176,0.175,0.006,0,0.406,0,0,0.005,0.004,142.5,474,128.308,-nan,481,481
rereTOUCH,9,8000,8000,../../data/RandomData-100K.bin,../../data/RandomData-Normal-500-250-160K.bin,SGrid,2,4,100,159024,0.248475,3246123,23,231,0.000360937,124,485,0.012,0,0.007,0.18,0.174,0.007,0,0.426,0.002,0,0.005,0.005,151.667,464,128.258,98.9523,481,481
