Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Partitions, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
TOUCH,1,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,951,0.00264167,27577900,653,20,5.55556e-05,897,0,0.021,0,0.002,0.155,0.083,0.018,0,0.398,0,0,0.017,0,92.3077,4560,56.0769,476.431,8,8
cTOUCH,1,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,396059,1.10016,386766,0,20,5.55556e-05,4932,1538,0.017,0,0.009,0.858,0.852,0.04,0,1.861,0,0,0.037,0.004,85.7143,3249,30.3846,246.164,365,365
dTOUCH,1,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,386,0.00107222,2974335,27,20,5.55556e-05,4968,897,0.015,0,0.003,0.009,0.007,0.032,0,0.138,0,0,0.032,0.002,88.8889,386,9.64198,48.3757,19,19
reTOUCH,1,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,51155,0.142097,121892,0,20,5.55556e-05,5306,2447,0.016,0,0.006,0.127,0.126,0.004,0,0.312,0,0.001,0.003,0.002,142.857,656,46.6703,85.1985,365,365
rereTOUCH,1,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,68276,0.189656,471733,0,20,5.55556e-05,5306,2447,0.018,0,0.008,0.163,0.156,0.005,0,0.396,0,0,0.004,0.003,170.33,3646,47.6923,379.779,365,365
TOUCH,1,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1064,0.0016625,54350400,730,23,3.59375e-05,1002,0,0.022,0,0.004,0.218,0.098,0.024,0,0.536,0,0,0.023,0,96.6667,6704,58.3167,609.688,5,5
cTOUCH,1,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,415873,0.649802,874660,0,23,3.59375e-05,6973,2440,0.022,0,0.013,0.906,0.901,0.056,0,2.005,0,0,0.052,0.004,87.1369,2109,27.332,183.577,483,483
dTOUCH,1,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,619,0.000967187,7385646,49,23,3.59375e-05,6900,1002,0.026,0,0.004,0.011,0.008,0.047,0,0.198,0,0,0.045,0.002,95.0893,846,5.79018,58.0814,12,12
reTOUCH,1,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,80369,0.125577,196949,0,23,3.59375e-05,7223,2883,0.023,0,0.009,0.206,0.202,0.006,0,0.498,0,0,0.005,0.004,142.5,763,49.1167,95.2196,481,481
rereTOUCH,1,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,74538,0.116466,580762,0,23,3.59375e-05,7223,2883,0.023,0,0.011,0.175,0.167,0.007,0,0.442,0,0,0.005,0.004,176.667,5243,50.1667,476.405,481,481
