Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Partitions, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
TOUCH,1,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1249,0.00346944,27577900,10,20,5.55556e-05,897,0,0.021,0,0.003,0.01,0.006,0.018,0,0.109,0,0,0.017,0,92.3077,4560,56.0769,476.431,8,8
cTOUCH,1,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,745,0.00206944,386766,7,20,5.55556e-05,4932,1538,0.018,0,0.01,0.008,0.004,0.042,0,0.17,0,0,0.039,0.005,85.7143,3249,30.3846,246.164,365,365
dTOUCH,1,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,386,0.00107222,2974335,27,20,5.55556e-05,4968,897,0.018,0,0.003,0.01,0.008,0.032,0,0.14,0,0,0.031,0.002,88.8889,386,9.64198,48.3757,19,19
reTOUCH,1,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,593,0.00164722,113542,6,20,5.55556e-05,5306,2447,0.017,0,0.007,0.008,0.007,0.004,0,0.085,0,0,0.003,0.005,142.857,656,46.6703,85.1985,365,365
rereTOUCH,1,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,581,0.00161389,123742,8,20,5.55556e-05,5306,3737,0.019,0,0.009,0.004,0.002,0.004,0,0.08,0,0,0.003,0.003,190.11,93,33.5165,-nan,365,365
TOUCH,1,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1521,0.00237656,54350400,14,23,3.59375e-05,1002,0,0.023,0,0.004,0.012,0.006,0.026,0,0.134,0,0,0.026,0,96.6667,6704,58.3167,609.688,5,5
cTOUCH,1,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,794,0.00124062,874660,10,22,3.4375e-05,6973,2440,0.022,0,0.013,0.012,0.009,0.056,0,0.222,0,0,0.05,0.006,87.1369,2109,27.332,183.577,483,483
dTOUCH,1,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,619,0.000967187,7385646,49,23,3.59375e-05,6900,1002,0.023,0,0.004,0.01,0.008,0.044,0,0.184,0,0,0.042,0.002,95.0893,846,5.79018,58.0814,12,12
reTOUCH,1,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,522,0.000815625,184111,9,22,3.4375e-05,7223,2883,0.024,0,0.009,0.01,0.006,0.005,0,0.112,0,0,0.004,0.006,142.5,763,49.1167,95.2196,481,481
rereTOUCH,1,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,488,0.0007625,192364,9,23,3.59375e-05,7223,3833,0.022,0,0.012,0.006,0.005,0.005,0,0.102,0,0,0.004,0.004,188.333,229,42.25,-nan,481,481
