Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Partitions, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
TOUCH,5,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,0,0,33200,0,0,0,396,0,0.004,0,0,3.806,2.574,0.002,0,7.628,0,0,0.002,0,75,57,13,22.655,3,3
cTOUCH,5,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,0,0,0,0,0,0,452,497,0.004,0,0.001,0,0,0.007,0,0.027,0,0,0.006,0,82.3529,48,3,11.2616,35,35
dTOUCH,5,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,0,0,6200,0,0,0,500,396,0.003,0,0,0.003,0.002,0.003,0,0.022,0,0,0.003,0.001,77.7778,47,5.55556,14.6827,3,3
reTOUCH,5,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1008,0.4032,1440,0,0,0,452,433,0.004,0,0.001,0.002,0.002,0.001,0,0.02,0,0,0.001,0,162.5,32,14.375,6.08148,33,33
rereTOUCH,5,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,0,0,0,0,0,0,452,500,0.001,0,0.001,0,0,0,0,0.004,0,0,0,0,187.5,48,6,15.8745,33,33
TOUCH,5,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,0,0,761500,0,0,0,153,0,0.003,0,0.001,0.869,0.241,0.005,0,1.756,0,0,0.004,0,88.2353,846,49.8235,199.044,3,3
cTOUCH,5,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,479,0.0479,716,0,0,0,952,346,0.007,0,0.002,0.002,0.002,0.009,0,0.042,0,0,0.009,0,87.0968,622,22.6452,109.822,63,63
dTOUCH,5,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,0,0,146375,0,0,0,934,153,0.003,0,0.001,0.004,0.004,0.005,0,0.031,0,0,0.005,0,82.1429,151,7.78571,29.5168,6,6
reTOUCH,5,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,31,0.0031,160,0,0,0,992,902,0.003,0,0.001,0,0,0,0,0.012,0,0,0,0.001,170.588,32,6.23529,10.4292,69,69
rereTOUCH,5,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,0,0,0,0,0,0,992,1000,0.004,0,0.002,0,0,0,0,0.013,0,0,0,0,194.118,8,0.470588,1.88235,69,69
TOUCH,5,1500,1500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,20666,0.918489,1591900,14733,58,0.00257778,321,0,0.005,0,0.001,1.167,0.626,0.005,0,2.356,0,0,0.005,0,73.913,960,51.2609,196.38,7,7
cTOUCH,5,1500,1500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,12852,0.5712,2272,3,58,0.00257778,1275,1289,0.008,0,0.002,0.03,0.029,0.011,0,0.106,0,0,0.011,0.001,76.5957,230,9.2766,36.3111,95,95
dTOUCH,5,1500,1500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1898,0.0843556,244300,491,58,0.00257778,1321,321,0.008,0,0.001,0.009,0.008,0.01,0,0.062,0,0,0.009,0.001,82.9268,179,7.39024,28.5502,8,8
reTOUCH,5,1500,1500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,9849,0.437733,15720,0,58,0.00257778,1347,1156,0.007,0,0.002,0.025,0.024,0.001,0,0.074,0,0,0.001,0.001,156.522,109,21.6087,22.4591,93,93
rereTOUCH,5,1500,1500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,15976,0.710044,17743,3,58,0.00257778,1347,1339,0.01,0,0.002,0.039,0.038,0.002,0,0.11,0,0,0.001,0,186.957,77,13.6522,17.7767,93,93
TOUCH,5,2000,2000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,77706,1.94265,2901800,68065,158,0.00395,170,0,0.007,0,0.002,1.566,0.706,0.007,0,3.167,0,0,0.007,0,87.0968,1156,59.0323,231.065,5,5
cTOUCH,5,2000,2000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,41319,1.03297,19665,0,158,0.00395,1567,698,0.009,0,0.003,0.094,0.093,0.012,0,0.243,0,0,0.011,0.001,74.1935,847,27.9839,126.757,125,125
dTOUCH,5,2000,2000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,3182,0.07955,767590,1064,158,0.00395,1467,170,0.008,0,0.001,0.014,0.01,0.01,0,0.073,0,0,0.008,0.004,82.4561,286,12.4912,47.3061,11,11
reTOUCH,5,2000,2000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,37578,0.93945,98493,0,158,0.00395,1554,678,0.011,0,0.002,0.09,0.089,0.002,0,0.217,0,0,0.002,0.001,154.839,687,57.0323,118.262,125,125
rereTOUCH,5,2000,2000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,30083,0.752075,53801,0,158,0.00395,1554,1581,0.011,0,0.003,0.071,0.071,0.001,0,0.172,0,0,0.001,0,174.194,97,27.9032,22.4382,125,125
TOUCH,5,2500,2500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,109313,1.74901,4737300,96380,262,0.004192,139,0,0.006,0,0.001,1.571,0.733,0.009,0,3.177,0.004,0,0.009,0,86.8421,1644,62.1316,282.754,6,6
cTOUCH,5,2500,2500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,78790,1.26064,32838,0,262,0.004192,2046,707,0.013,0,0.005,0.186,0.184,0.015,0,0.442,0,0,0.013,0.001,80.2632,1175,29.5658,142.847,153,153
dTOUCH,5,2500,2500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,4517,0.072272,869680,1642,262,0.004192,1993,139,0.012,0,0.001,0.019,0.016,0.013,0,0.098,0,0,0.013,0.003,81.9444,207,10.1111,34.8463,14,14
reTOUCH,5,2500,2500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,59176,0.946816,147645,12,262,0.004192,2087,469,0.007,0,0.003,0.143,0.142,0.002,0,0.319,0,0,0.002,0.002,155.263,1055,64.3158,170.37,153,153
rereTOUCH,5,2500,2500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,44731,0.715696,70296,0,262,0.004192,2087,1953,0.011,0,0.003,0.111,0.11,0.003,0,0.26,0,0,0.002,0.001,168.421,110,25.2632,19.2889,153,153
TOUCH,5,3000,3000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,75040,0.833778,7711200,65003,276,0.00306667,84,0,0.01,0,0.001,1.095,0.447,0.01,0,2.234,0.002,0,0.009,0,91.4894,2846,62.0426,410.512,5,5
cTOUCH,5,3000,3000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,63910,0.710111,44923,7,276,0.00306667,2509,730,0.014,0,0.005,0.145,0.143,0.019,0,0.376,0,0,0.018,0.002,76.9231,1339,30.3407,153.743,183,183
dTOUCH,5,3000,3000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,4594,0.0510444,1362180,1543,276,0.00306667,2528,84,0.01,0,0.002,0.017,0.014,0.016,0,0.103,0,0,0.015,0.003,85.0575,223,8.5977,39.197,14,14
reTOUCH,5,3000,3000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,57409,0.637878,134430,7,276,0.00306667,2578,425,0.008,0,0.006,0.133,0.131,0.002,0,0.307,0,0,0.002,0.003,161.702,1473,63.766,211.641,189,189
