Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,5,100,13628655,85.1791,13628655,0,305,0.00190625,83,0,0.012,0,0.002,30.877,30.875,0.014,30.875,61.814,0,0,0.012,0,99.6675,3668,3.25603,105.795,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,5,100,92327,0.577044,99269,0,305,0.00190625,3608,2166,0.012,0,0.013,0.218,0.218,0.031,0.218,0.552,0,0,0.026,0,98.4186,1040,0.926342,23.4305,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,5,100,2726865,17.0429,2726865,0,305,0.00190625,3140,83,0.011,0,0.002,5.962,5.962,0.026,5.962,12.016,0,0.001,0.024,0,99.617,557,0.413191,12.921,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,5,100,104480,0.653,104480,0,305,0.00190625,3551,2413,0.012,0,0.004,0.234,0.231,0.005,0.231,0.514,0,0.001,0.003,0,99.9169,313,1.69244,14.2389,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,5,100,75852,0.474075,76980,0,305,0.00190625,3551,3073,0.01,0,0.007,0.168,0.165,0.005,0.165,0.384,0,0.001,0.003,0,198.587,130,1.14381,6.17756,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,20,100,13005280,81.283,13005280,0,305,0.00190625,195,0,0.011,0,0.002,29.511,29.51,0.014,29.51,59.079,0,0,0.013,0,98.3444,3071,12.5993,178.458,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,20,100,491985,3.07491,524896,0,305,0.00190625,3079,1609,0.012,0,0.008,1.089,1.085,0.025,1.085,2.27,0,0,0.023,0,93.6877,1204,5.50166,63.4712,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,20,100,2609197,16.3075,2609197,0,305,0.00190625,3161,195,0.01,0,0.002,5.572,5.572,0.024,5.571,11.228,0,0,0.023,0,98.2699,548,1.71799,24.3389,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,20,100,317601,1.98501,317601,0,305,0.00190625,3483,696,0.011,0,0.005,0.703,0.702,0.003,0.702,1.449,0,0,0.002,0,100,1687,12.6523,102.456,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,20,100,165346,1.03341,174793,0,305,0.00190625,3483,2072,0.013,0,0.007,0.374,0.373,0.003,0.373,0.794,0,0,0.002,0,195.364,115,8.09603,10.6026,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,35,100,14284905,89.2807,14284905,0,305,0.00190625,85,0,0.01,0,0.002,32.345,32.345,0.014,32.345,64.745,0,0,0.013,0,97.7143,2832,22.3714,226.97,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,35,100,337367,2.10854,348096,0,305,0.00190625,3567,1173,0.016,0,0.007,0.77,0.769,0.027,0.769,1.642,0,0,0.025,0,93.6232,2120,9.44928,119.108,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,35,100,2907224,18.1701,2907224,0,305,0.00190625,3202,85,0.013,0,0.002,6.394,6.394,0.023,6.394,12.874,0,0,0.022,0,97.076,442,2.7076,29.287,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,35,100,271764,1.69853,271764,0,305,0.00190625,3511,847,0.012,0,0.004,0.653,0.651,0.004,0.651,1.346,0,0,0.003,0,100,1657,20.8114,130.042,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,35,100,117516,0.734475,121176,0,305,0.00190625,3511,3094,0.009,0,0.006,0.268,0.268,0.003,0.268,0.574,0,0,0.002,0,193.714,124,7.97143,16.6898,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,50,100,14829500,92.6844,14829500,0,305,0.00190625,153,0,0.009,0,0.001,33.296,33.296,0.012,33.296,66.639,0,0,0.011,0,96.6667,3641,32.0583,331.077,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,50,100,198068,1.23792,215554,0,305,0.00190625,3489,1506,0.016,0,0.006,0.442,0.442,0.026,0.442,0.982,0,0,0.023,0,87.9668,1525,12.4689,102.03,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,50,100,2446800,15.2925,2446800,0,305,0.00190625,3227,153,0.01,0,0.002,5.598,5.598,0.024,5.598,11.279,0,0,0.023,0,95.7082,455,3.73391,35.8894,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,50,100,192831,1.20519,192831,0,305,0.00190625,3548,817,0.015,0,0.004,0.425,0.423,0.005,0.423,0.898,0,0,0.004,0,100,1689,30.2917,158.616,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,50,100,125023,0.781394,125583,0,305,0.00190625,3548,3072,0.015,0,0.005,0.283,0.282,0.002,0.282,0.615,0,0,0.002,0,188.333,148,11.5,14.898,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,65,100,12805950,80.0372,12805950,0,305,0.00190625,283,0,0.013,0,0.002,29.046,29.046,0.014,29.046,58.152,0,0,0.013,0,93.617,3071,39.5426,318.296,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,65,100,226376,1.41485,245225,0,305,0.00190625,3457,674,0.017,0,0.007,0.523,0.521,0.028,0.521,1.153,0,0,0.024,0,86.1702,2089,20.5798,157.687,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,65,100,1705912,10.6619,1705912,0,305,0.00190625,3224,283,0.017,0,0.002,3.712,3.712,0.022,3.712,7.522,0,0,0.02,0,90.8571,253,5.85143,28.0907,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,65,100,174485,1.09053,175017,0,305,0.00190625,3285,2349,0.016,0,0.005,0.399,0.396,0.003,0.396,0.849,0,0,0.003,0,98.9362,409,25.1702,58.2941,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,65,100,301172,1.88233,308306,0,305,0.00190625,3285,2471,0.013,0,0.006,0.682,0.68,0.002,0.679,1.408,0,0,0.001,0,186.17,563,23.8723,67.1094,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,80,100,15000080,93.7505,15000080,0,305,0.00190625,158,0,0.015,0,0.002,33.29,33.29,0.011,33.29,66.636,0,0,0.011,0,94.7368,3657,50.5526,416.882,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,80,100,186181,1.16363,221403,0,305,0.00190625,3431,772,0.016,0,0.008,0.446,0.444,0.025,0.444,0.99,0,0,0.023,0,87.5817,2100,24.817,175.881,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,80,100,1632630,10.2039,1632630,0,305,0.00190625,3417,158,0.01,0,0.002,3.713,3.712,0.026,3.712,7.514,0,0,0.024,0,91.8919,178,4.66216,23.7195,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,80,100,314516,1.96572,314516,0,305,0.00190625,3540,625,0.021,0,0.004,0.714,0.71,0.003,0.71,1.484,0,0,0.002,0,100,1774,50.4605,205.923,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,80,100,131299,0.820619,132427,0,305,0.00190625,3540,3134,0.011,0,0.006,0.291,0.29,0.004,0.29,0.624,0,0,0.003,0,186.842,164,17.4474,25.5564,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,95,100,15027035,93.919,15027035,0,305,0.00190625,159,0,0.014,0,0.002,38.443,38.443,0.011,38.443,76.941,0,0,0.011,0,95.4545,3632,58.197,443.911,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,95,100,533261,3.33288,541620,0,305,0.00190625,3269,1010,0.014,0,0.007,1.175,1.172,0.025,1.172,2.447,0,0,0.023,0,84.7328,1555,28.4046,158.006,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,95,100,1558894,9.74309,1558894,0,305,0.00190625,3400,159,0.016,0,0.001,3.473,3.472,0.022,3.472,7.036,0,0.001,0.02,0,92.1875,180,5.57031,26.6264,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,95,100,258440,1.61525,258440,0,305,0.00190625,3520,645,0.012,0,0.004,0.577,0.574,0.003,0.574,1.196,0,0,0.002,0,100,1849,58.1061,229.53,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,95,100,156546,0.978413,158346,0,305,0.00190625,3520,2679,0.019,0,0.005,0.337,0.337,0.003,0.337,0.733,0,0,0.002,0,184.848,163,27.2879,20.8223,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,110,100,11042590,69.0162,11042590,0,305,0.00190625,238,0,0.012,0,0.002,24.416,24.416,0.011,24.416,48.885,0,0,0.011,0,86.2069,3435,64.8621,447.157,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,110,100,119311,0.745694,136174,0,305,0.00190625,3515,2114,0.01,0,0.006,0.285,0.281,0.026,0.281,0.654,0,0,0.024,0,81.982,667,21.3604,84.6193,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,110,100,2106493,13.1656,2106493,0,305,0.00190625,3297,238,0.009,0,0.002,4.875,4.874,0.022,4.874,9.828,0,0,0.02,0,86.9159,343,10.1121,46.5283,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,110,100,313143,1.95714,313143,0,305,0.00190625,3530,688,0.01,0,0.005,0.748,0.746,0.003,0.746,1.532,0,0,0.002,0,100,1722,65.2069,229.103,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,110,100,155214,0.970087,155878,0,305,0.00190625,3530,3126,0.015,0,0.006,0.351,0.351,0.002,0.351,0.75,0,0,0.002,0,184.483,177,23.1724,29.0031,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,125,100,12895875,80.5992,12895875,0,305,0.00190625,105,0,0.01,0,0.002,28.966,28.966,0.015,28.966,57.988,0,0,0.014,0,86,3601,77.9,503.869,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,125,100,160195,1.00122,176807,0,305,0.00190625,3465,2284,0.024,0,0.006,0.364,0.361,0.029,0.361,0.849,0,0,0.026,0,73.4694,777,22.9694,91.986,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,125,100,1867875,11.6742,1867875,0,305,0.00190625,3420,105,0.009,0,0.002,4.056,4.056,0.023,4.055,8.194,0,0,0.023,0,84.375,298,10.0521,44.9264,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,125,100,210276,1.31422,210276,0,305,0.00190625,3521,663,0.013,0,0.004,0.473,0.471,0.003,0.471,0.986,0,0,0.002,0,98,1911,76.32,269.934,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,125,100,157207,0.982544,160879,0,305,0.00190625,3521,2352,0.01,0,0.008,0.345,0.343,0.004,0.342,0.734,0,0,0.004,0,174,151,42.54,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,140,100,14214060,88.8379,14214060,0,305,0.00190625,65,0,0.016,0,0.002,31.219,31.219,0.012,31.219,62.498,0,0,0.012,0,89.1304,3729,85.5435,543.41,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,140,100,194930,1.21831,274494,0,305,0.00190625,3428,1445,0.012,0,0.007,0.427,0.425,0.027,0.425,0.948,0,0,0.025,0,75.2809,1181,35.1348,145.843,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,140,100,3306220,20.6639,3306220,0,305,0.00190625,3230,65,0.013,0,0.002,7.205,7.205,0.02,7.205,14.49,0,0,0.019,0,88.0952,596,14.5833,74.4379,1,1
