Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
NL,5,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,NL,0,0,0,4000000,100,0,0,158,0.00395,0,0,0.006,0,0,0,0,0,8.492,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PS,5,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,NL,0,0,0,88455,2.21137,0,0,158,0.00395,0,0,0.003,0,0,0,0,0,0.194,0,0,0.002,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SGrid,5,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,NL,0,0,1000000,2647,0.066175,0,537,158,0.00395,0,0,0.002,0,0.003,0.01,0,0,0.015,0,0,0,0,0,0,0,0,0,1,1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S3,5,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,NL,0,0,4681,266420,6.6605,0,0,156,0.0039,0,0,0.004,0,0,0.562,0,0,0.566,0,0,0,0,0,0,0,0,0,1,1,0,0.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOUCH,5,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,2469,0.061725,967000,716,158,0.00395,0,1488,0.002,0,0.001,0.011,0.01,0.004,0.024,0,0,0.004,0.007,0,40.3226,472,40.5161,72.0235,87,87,1,0.018,4,0,2000,0,0,0,0,0,0,0,0,0,11,7,22,472,0,0,0,0,0,0,294.768,0,0,0,0,0,0,0,0,0,543.413,594.45,487.651,349.297,0,0,0,0,0,0,119.454,0,0,0,0,0,0,0,0,0,321.089,368.152,219.362,228.26,0,0,0,0,0,0,
PBSM,5,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,NL,0,0,1000000,15279,0.381975,0,1675,158,0.00395,0,0,0.002,0,0.011,0.067,0,0,0.08,0,0,0,0,0,0,0,0,0,1,1,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cTOUCH,5,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,2280,0.057,38185,615,158,0.00395,706,1538,0.003,0,0.001,0.007,0.005,0.011,0.026,0,0,0.011,0.004,0,41.129,795,14.1613,78.2574,125,125,1,0.011,5,0,53,69,94,283,795,0,0,0,0,0,120,26,50,224,42,0,0,0,0,0,329.399,269.168,312.849,291.801,283.921,0,0,0,0,0,318.65,382.14,470.756,322.834,459.717,0,0,0,0,0,153.575,98.0092,171.886,139.165,80.5782,0,0,0,0,0,234.046,217.097,252.104,113.711,305.181,0,0,0,0,0,
dTOUCH,5,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,2566,0.06415,170886,606,158,0.00395,1477,1488,0.006,0,0.008,0.008,0.008,0.01,0.031,0.001,0,0.01,0.005,0,18.75,287,60.5625,73.0351,51,51,1,0.013,4,3,2000,0,0,0,0,0,0,0,0,0,199,37,287,0,0,0,0,0,0,0,294.768,0,0,0,0,0,0,0,0,0,355.126,531.719,511.092,373.732,0,0,0,0,0,0,119.454,0,0,0,0,0,0,0,0,0,230.686,361.357,174.016,215.328,0,0,0,0,0,0,
reTOUCH,5,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,2672,0.0668,730795,648,158,0.00395,264,1488,0.002,0,0,0.008,0.008,0.005,0.02,0,0,0.004,0.004,0,40.3226,1512,36.2581,199.343,125,125,1,0.012,4,0,0,14,210,1512,0,0,0,0,0,0,11,7,22,472,0,0,0,0,0,0,0,336.802,282.002,296.949,0,0,0,0,0,0,543.413,594.45,487.651,349.297,0,0,0,0,0,0,0,235.264,110.931,119.064,0,0,0,0,0,0,321.089,368.152,219.362,228.26,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,../../../data/samplesDendrites/2000/sample1.bin,../../../data/samplesAxons/2000/sample1.bin,SGrid,3,100,100,2679,0.066975,346248,619,158,0.00395,264,1489,0.002,0,0,0.01,0.009,0.005,0.024,0,0,0.005,0.006,0,45.1613,1512,36.2419,198.019,125,125,1,0.016,4,0,0,14,210,1512,0,0,0,0,0,0,0,5,76,430,0,0,0,0,0,0,0,336.802,282.002,296.949,0,0,0,0,0,0,0,1026.54,530.536,323.967,0,0,0,0,0,0,0,235.264,110.931,119.064,0,0,0,0,0,0,0,114.075,360.575,177.747,0,0,0,0,0,0,
