Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe
TOUCH,50,500,500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,6582945,2633.18,84100,5729572,4218,1.6872,287,0,0.003,0,0,13.671,13.45,0.001,0,27.356,0.274,0,0.001,0.084,75,157,26.625,52.576,3,3,0,13.755
cTOUCH,50,500,500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,6231087,2492.43,19050,5432049,4218,1.6872,305,345,0.002,0,0.001,12.032,12.03,0.005,0,24.631,0.226,0,0.004,0.161,70.5882,232,20.5882,55.0978,35,35,0,12.193
dTOUCH,50,500,500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,6258323,2503.33,35834,5456724,4218,1.6872,305,287,0.002,0,0,12.152,11.955,0.003,0,24.319,0.216,0,0.002,0.089,63.6364,122,23.7273,39.6074,5,5,50,12.241
reTOUCH,50,500,500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,6479004,2591.6,21258,5641850,4218,1.6872,305,331,0.001,0,0,12.029,12.029,0.001,0,24.595,0.23,0,0.001,0.15,87.5,89,45.5,14.9666,33,33,0,12.179
rereTOUCH,50,500,500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,6231413,2492.57,30963,5430978,4218,1.6872,305,339,0.001,0,0,12.096,12.096,0.001,0,24.797,0.298,0,0,0.15,150,123,44.5,21.2044,33,33,0,12.246
TOUCH,50,1000,1000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,1127262,112.726,821700,879024,4240,0.424,87,0,0.003,0,0.001,2.203,2.129,0.004,0,4.427,0.044,0,0.004,0.052,94.1176,913,53.7059,214.824,2,2,0,2.255
cTOUCH,50,1000,1000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,1123302,112.33,32720,879024,4240,0.424,788,275,0.002,0,0.002,2.144,2.144,0.006,0,4.604,0.038,0,0.005,0.128,80.6452,289,30.2258,75.7405,63,63,0,2.272
dTOUCH,50,1000,1000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,2730172,273.017,278072,2263802,4240,0.424,785,87,0.004,0,0,5.47,5.381,0.007,0,10.966,0.094,0,0.006,0.042,82.7586,165,13.1034,41.8967,6,6,50,5.512
reTOUCH,50,1000,1000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,1125273,112.527,39737,879024,4240,0.424,786,479,0.006,0,0.002,2.184,2.184,0.002,0,4.614,0.038,0,0.001,0.093,94.1176,315,43.2353,74.9565,69,69,0,2.277
rereTOUCH,50,1000,1000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,2926659,292.666,44084,2410845,4240,0.424,786,794,0.005,0,0.002,5.691,5.691,0.001,0,11.629,0.136,0,0.001,0.046,188.235,187,24.7059,38.5941,69,69,0,5.737
