, max level, t probe
,6,0.254
,11,0.255
,16,0.251
,21,0.257
,26,0.257
,31,0.273
,36,0.265
,41,0.259
,46,0.255
,51,0.258
,56,0.267
,61,0.268
,66,0.257
,71,0.264
,76,0.262
,81,0.26
,86,0.255
,91,0.261
,96,0.279
,101,0.269
,106,0.268
,111,0.274
,116,0.277
,121,0.276
,126,0.277
,131,0.265
,136,0.274
,141,0.267
,146,0.271
,151,0.271
,156,0.285
,161,0.272
,166,0.266
,171,0.271
,176,0.272
,181,0.276
,186,0.278
,191,0.274
,196,0.276
,201,0.281
,206,0.277
,211,0.274
,216,0.283
,221,0.278
,226,0.282
,231,0.292
,236,0.292
,241,0.281
,246,0.275
,251,0.291
,256,0.278
,261,0.28
,266,0.276
,271,0.288
,276,0.291
,281,0.279
,286,0.276
,291,0.275
,296,0.278
,301,0.281
,306,0.284
,311,0.279
,316,0.278
,321,0.282
,326,0.278
,331,0.277
,336,0.294
,341,0.279
,346,0.302
,351,0.279
,356,0.275
,361,0.277
,366,0.276
,371,0.305
,376,0.279
,381,0.276
,386,0.276
,391,0.278
,396,0.289
,401,0.279
,406,0.279
,411,0.282
,416,0.28
,421,0.279
,426,0.283
,431,0.28
,436,0.281
,441,0.285
,446,0.283
,451,0.284
,456,0.28
,461,0.282
,466,0.28
,471,0.281
,476,0.284
,481,0.283
,486,0.283
,491,0.284
,496,0.297
,501,0.288
,506,0.285
,511,0.283
,516,0.282
,521,0.286
,526,0.296
,531,0.302
,536,0.286
,541,0.306
,546,0.289
,551,0.287
,556,0.282
,561,0.283
,566,0.283
,571,0.28
,576,0.28
,581,0.281
,586,0.28
,591,0.279
,596,0.283
,601,0.282
,606,0.28
,611,0.29
,616,0.306
,621,0.286
,626,0.286
,631,0.284
,636,0.284
,641,0.287
,646,0.286
,651,0.292
,656,0.287
,661,0.286
,666,0.287
,671,0.287
,676,0.29
,681,0.289
,686,0.296
,691,0.287
,696,0.287
,701,0.289
,706,0.286
,711,0.286
,716,0.289
,721,0.284
,726,0.289
,731,0.287
,736,0.33
,741,0.293
,746,0.287
,751,0.292
,756,0.299
,761,0.294
,766,0.288
,771,0.29
,776,0.289
,781,0.291
,786,0.287
,791,0.29
,796,0.287
,801,0.287
,806,0.285
,811,0.29
,816,0.287
,821,0.289
,826,0.29
,831,0.295
,836,0.287
,841,0.289
,846,0.294
,851,0.288
,856,0.289
,861,0.287
,866,0.29
,871,0.292
,876,0.287
,881,0.287
,886,0.291
,891,0.288
,896,0.315
,901,0.29
,906,0.287
,911,0.288
,916,0.293
,921,0.287
,926,0.296
,931,0.283
,936,0.285
,941,0.305
,946,0.284
,951,0.284
,956,0.292
,961,0.285
,966,0.285
,971,0.299
,976,0.292
,981,0.292
,986,0.293
,991,0.292
,996,0.299
