Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
TOUCH,5,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,0,0,761500,0,0,0,153,0,0.007,0,0.001,0.004,0.001,0.006,0.019,0,0,0.006,0.003,0.001,50,846,24.9118,142.933,3,3,500,0.007,4,0,1,0,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664116,0,4.29919,0,0,0,0,0,0,0,0.664116,0,3637.12,0,0,0,0,0,0,0,0,0,17.5697,0,0,0,0,0,0,0,0.44105,0,276791,0,0,0,0,0,0,0,
cTOUCH,5,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,0,0,716,0,0,0,952,346,0.002,0,0.002,0,0,0.007,0.016,0,0,0.006,0.004,0.001,45.1613,622,11.3226,78.4719,63,63,500,0.004,4,0,0,0,47,1,0,0,0,0,0,0,622,0,8,24,0,0,0,0,0,0,2243.48,0,7.06689,117.311,0,0,0,0,0,0,3.60688,0,41.518,4.88797,0,0,0,0,0,0,23092.6,0,4.93365,-nan,0,0,0,0,0,0,4.91088,0,-nan,5.55237,0,0,0,0,0,0,
dTOUCH,5,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,0,0,305,0,0,0,934,153,0.003,0,0.003,0.001,0.001,0.004,0.015,0,0,0.004,0.005,0,50,234,3,11.5758,57,57,500,0.006,4,3,1,0,234,0,0,0,0,0,0,0,55,0,11,0,0,0,0,0,0,0,0.664116,0,3.59541,0,0,0,0,0,0,0,7.55522,0,4.92314,0,0,0,0,0,0,0,0,0,4.77068,0,0,0,0,0,0,0,5.5185,0,3.04498,0,0,0,0,0,0,0,
reTOUCH,5,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,0,0,57528,0,0,0,932,153,0.004,0,0.002,0.003,0.002,0.003,0.018,0,0,0.003,0.006,0,44.1176,846,26.9118,143.046,69,69,500,0.009,4,0,0,0,68,0,0,0,0,0,0,0,1,0,846,0,0,0,0,0,0,0,0.664116,0,60.7197,0,0,0,0,0,0,0,0.664116,0,4.88054,0,0,0,0,0,0,0,0.44105,0,21.6204,0,0,0,0,0,0,0,0,0,17.6096,0,0,0,0,0,0,0,
rereTOUCH,5,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,0,0,952,0,0,0,932,986,0.002,0,0.002,0.001,0.001,0.003,0.009,0,0,0.003,0,0,47.0588,68,2.41176,11.6597,69,69,500,0.001,4,0,0,0,68,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8.54003,0,0,0,0,0,0,0,0,0,41.4802,0,0,0,0,0,0,0,0,0,5.88044,0,0,0,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,
TOUCH,10,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,65,0.0065,771300,0,0,0,143,0,0.004,0,0.001,0.007,0.002,0.003,0.016,0,0,0.003,0.005,0,50,857,25.2059,144.797,2,2,500,0.012,4,0,0,0,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28433,0,0,0,0,0,0,0,0,0,3671.67,0,0,0,0,0,0,0,0,0,17.4585,0,0,0,0,0,0,0,0,0,276944,0,0,0,0,0,0,0,
cTOUCH,10,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,23,0.0023,2196,0,0,0,942,326,0.003,0,0.001,0,0,0.005,0.02,0,0,0.004,0.01,0.001,41.9355,613,11.8065,77.3782,63,63,500,0.01,4,0,4,0,51,3,0,0,0,0,0,0,617,0,24,33,0,0,0,0,0,0,585.885,0,8.19577,56.7114,0,0,0,0,0,0,3.79828,0,17.416,5.15558,0,0,0,0,0,0,-nan,0,4.26579,-nan,0,0,0,0,0,0,5.5178,0,-nan,5.62317,0,0,0,0,0,0,
dTOUCH,10,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,49,0.0049,335,0,0,0,920,143,0.003,0,0.005,0.001,0.001,0.006,0.024,0,0,0.005,0.012,0,50,238,3.63636,12.9844,57,57,500,0.013,4,3,0,0,238,0,0,0,0,0,0,0,60,0,20,0,0,0,0,0,0,0,0,0,3.60341,0,0,0,0,0,0,0,7.08218,0,7.16352,0,0,0,0,0,0,0,0,0,5.09112,0,0,0,0,0,0,0,7.32869,0,6.13654,0,0,0,0,0,0,0,
reTOUCH,10,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,62,0.0062,73702,0,0,0,914,143,0.003,0,0.001,0.003,0.003,0.002,0.023,0,0,0.002,0.014,0,47.0588,857,27.7353,145.085,69,69,500,0.017,4,0,0,0,86,0,0,0,0,0,0,0,0,0,857,0,0,0,0,0,0,0,0,0,49.8647,0,0,0,0,0,0,0,0,0,5.00392,0,0,0,0,0,0,0,0,0,29.0635,0,0,0,0,0,0,0,0,0,17.5853,0,0,0,0,0,0,0,
rereTOUCH,10,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,24,0.0024,1806,0,0,0,914,979,0.003,0,0.002,0,0,0.002,0.008,0,0,0.002,0.001,0,47.0588,86,3.14706,14.8525,69,69,500,0.001,4,0,0,0,86,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,8.59268,0,0,0,0,0,0,0,0,0,35.1891,0,0,0,0,0,0,0,0,0,7.63178,0,0,0,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,
TOUCH,15,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,686,0.0686,782100,104,8,0.0008,131,0,0.003,0,0,0.012,0.004,0.004,0.021,0,0,0.004,0.008,0.001,50,869,25.5588,146.824,2,2,500,0.02,4,0,0,0,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35029,0,0,0,0,0,0,0,0,0,3780.4,0,0,0,0,0,0,0,0,0,17.3798,0,0,0,0,0,0,0,0,0,278934,0,0,0,0,0,0,0,
cTOUCH,15,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,666,0.0666,12166,104,8,0.0008,903,308,0.003,0,0.002,0.002,0.002,0.005,0.029,0,0,0.005,0.016,0.001,41.9355,586,12.7258,74.5527,63,63,500,0.018,4,0,11,0,71,15,0,0,0,0,0,0,587,1,37,67,0,0,0,0,0,0,212.336,2.61345,6.73432,31.2537,0,0,0,0,0,0,3.97903,2.61345,12.9226,6.9971,0,0,0,0,0,0,-nan,6.83012,4.24378,-nan,0,0,0,0,0,0,6.01188,0,-nan,6.71559,0,0,0,0,0,0,
dTOUCH,15,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,590,0.059,403,104,8,0.0008,898,131,0.003,0,0.007,0.003,0.003,0.005,0.032,0,0,0.005,0.018,0.001,50,241,4.63636,14.9105,57,57,500,0.021,4,3,0,0,241,0,0,0,0,0,0,0,60,0,42,0,0,0,0,0,0,0,0,0,3.55559,0,0,0,0,0,0,0,8.10515,0,6.31146,0,0,0,0,0,0,0,0,0,5.13708,0,0,0,0,0,0,0,10.9738,0,5.24535,0,0,0,0,0,0,0,
reTOUCH,15,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,622,0.0622,92983,104,8,0.0008,893,131,0.003,0,0.001,0.006,0.005,0.004,0.033,0,0,0.004,0.017,0.001,47.0588,869,28.7059,147.388,69,69,500,0.023,4,0,0,0,107,0,0,0,0,0,0,0,0,0,869,0,0,0,0,0,0,0,0,0,42.6335,0,0,0,0,0,0,0,0,0,5.24947,0,0,0,0,0,0,0,0,0,30.3944,0,0,0,0,0,0,0,0,0,17.6067,0,0,0,0,0,0,0,
rereTOUCH,15,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,931,0.0931,5564,272,8,0.0008,893,948,0.004,0,0.002,0.003,0.002,0.003,0.014,0,0,0.003,0.002,0,47.0588,107,4.67647,19.8594,69,69,500,0.005,4,0,0,0,107,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,9.33272,0,0,0,0,0,0,0,0,0,19.2039,0,0,0,0,0,0,0,0,0,8.31506,0,0,0,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,
TOUCH,5,2000,2000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,2960,0.074,2901800,607,158,0.00395,170,0,0.004,0,0.002,0.013,0.009,0.007,0.028,0,0,0.007,0.004,0.001,50,1156,29.5161,166.032,5,5,500,0.017,4,0,21,0,653,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95641,0,5.95243,5.44899,0,0,0,0,0,0,104.085,0,3886.94,6299.03,0,0,0,0,0,0,6.6729,0,19.5678,16.8681,0,0,0,0,0,0,1450.97,0,273169,363244,0,0,0,0,0,0,
cTOUCH,5,2000,2000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,2471,0.061775,19665,643,158,0.00395,1567,698,0.007,0,0.005,0.007,0.006,0.013,0.038,0.002,0,0.012,0.004,0.001,38.7097,789,13.9919,79.0902,125,125,500,0.011,5,0,75,30,34,236,58,0,0,0,0,0,63,65,44,341,789,0,0,0,0,0,14.3542,56.2807,24.5688,18.0863,75.6192,0,0,0,0,0,17.0884,25.9757,18.985,12.5172,5.55882,0,0,0,0,0,17.3277,58.4591,24.46,29.0791,-nan,0,0,0,0,0,17.6271,48.626,23.8395,25.5916,14.7364,0,0,0,0,0,
dTOUCH,5,2000,2000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,2813,0.070325,1302,607,158,0.00395,1445,170,0.008,0,0.012,0.008,0.008,0.008,0.038,0,0,0.008,0.01,0.001,50,334,11.1,52.8648,113,113,500,0.018,4,4,21,0,189,87,0,0,0,0,0,0,38,0,334,183,0,0,0,0,0,0,4.95641,0,6.31749,5.2657,0,0,0,0,0,0,8.55976,0,18.1273,10.5469,0,0,0,0,0,0,6.6729,0,21.2257,6.98873,0,0,0,0,0,0,10.5859,0,49.465,29.4065,0,0,0,0,0,0,
reTOUCH,5,2000,2000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,2917,0.072925,506578,607,158,0.00395,1420,170,0.011,0,0.002,0.011,0.01,0.006,0.037,0,0,0.005,0.005,0.001,43.5484,1156,38.871,172.545,125,125,500,0.016,4,0,0,0,354,226,0,0,0,0,0,0,21,0,653,1156,0,0,0,0,0,0,104.085,0,30.1541,35.0717,0,0,0,0,0,0,4.95641,0,16.3469,6.85658,0,0,0,0,0,0,1450.97,0,52.3992,27.7736,0,0,0,0,0,0,6.6729,0,41.4026,18.5544,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,2700,0.0675,316940,828,158,0.00395,1420,1310,0.004,0,0.004,0.01,0.009,0.007,0.031,0,0,0.007,0.004,0.001,46.7742,575,20.4839,89.2828,125,125,500,0.014,4,0,0,0,354,226,0,0,0,0,0,0,0,0,575,115,0,0,0,0,0,0,0,0,29.7839,9.50886,0,0,0,0,0,0,0,0,18.3365,18.687,0,0,0,0,0,0,0,0,52.6863,18.2183,0,0,0,0,0,0,0,0,43.8048,21.9262,0,0,0,0,0,0,
